Actual,Predicted,Model
10.0,11.66679018670785,Ridge
10.0,10.32632842215497,Ridge
10.0,8.371255439390389,Ridge
3.168,2.5781240970503507,Ridge
0.748,1.755690734216504,Ridge
2.288,1.3395293386584814,Ridge
2.498,3.287748707041853,Ridge
10.0,9.88706104187221,Ridge
2.411,4.308395693766903,Ridge
2.055,2.1645989889133794,Ridge
1.742,2.6616735109112213,Ridge
10.0,9.377734789099682,Ridge
3.856,3.869104390022377,Ridge
10.0,9.14477783898529,Ridge
1.199,1.9001453565263233,Ridge
1.321,1.8260306752052866,Ridge
10.0,10.70217673034492,Ridge
2.146,2.1596753449565416,Ridge
2.318,2.621296379205221,Ridge
2.374,1.5483730171879433,Ridge
3.441,3.309485693393462,Ridge
10.0,2.549,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.168,4.896,DecisionTreeRegressor
0.748,1.859,DecisionTreeRegressor
2.288,2.988,DecisionTreeRegressor
2.498,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.411,10.0,DecisionTreeRegressor
2.055,4.896,DecisionTreeRegressor
1.742,0.182,DecisionTreeRegressor
10.0,1.621,DecisionTreeRegressor
3.856,2.8735,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.199,3.341,DecisionTreeRegressor
1.321,1.427,DecisionTreeRegressor
10.0,1.621,DecisionTreeRegressor
2.146,2.7765,DecisionTreeRegressor
2.318,2.9305000000000003,DecisionTreeRegressor
2.374,2.254,DecisionTreeRegressor
3.441,2.159,DecisionTreeRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
3.168,9.840200902790299,GradientBoostingRegressor
0.748,9.840200902790299,GradientBoostingRegressor
2.288,9.840200902790299,GradientBoostingRegressor
2.498,9.840200902790299,GradientBoostingRegressor
10.0,10.0,GradientBoostingRegressor
2.411,9.840200902790299,GradientBoostingRegressor
2.055,9.840200902790299,GradientBoostingRegressor
