Actual,Predicted,Model
2.521,1.9123338108305217,Ridge
1.474,1.853871599317615,Ridge
1.026,1.9850409787679446,Ridge
10.0,7.875564811861208,Ridge
1.923,1.943880657153799,Ridge
4.615,4.286525330581499,Ridge
6.41,4.84117408442247,Ridge
0.128,1.3239098195891512,Ridge
10.0,7.494626898096373,Ridge
1.923,2.695326743562339,Ridge
4.615,3.772463248216482,Ridge
1.923,2.52899797952589,Ridge
10.0,12.802866103726462,Ridge
0.128,1.2619034844040682,Ridge
5.962,4.771693720322094,Ridge
3.568,2.5371190381085817,Ridge
1.026,2.060143303536833,Ridge
10.0,11.027202059654847,Ridge
5.064,3.830601731334884,Ridge
1.923,1.9683358299544382,Ridge
6.41,6.558905866505335,Ridge
2.521,2.564,DecisionTreeRegressor
1.474,2.7455000000000003,DecisionTreeRegressor
1.026,1.026,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.923,1.923,DecisionTreeRegressor
4.615,4.615,DecisionTreeRegressor
6.41,1.026,DecisionTreeRegressor
0.128,0.128,DecisionTreeRegressor
10.0,3.7180000000000013,DecisionTreeRegressor
1.923,3.718,DecisionTreeRegressor
4.615,5.962,DecisionTreeRegressor
1.923,6.41,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.128,0.427,DecisionTreeRegressor
5.962,5.962,DecisionTreeRegressor
3.568,3.4186666666666667,DecisionTreeRegressor
1.026,6.41,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.064,1.538,DecisionTreeRegressor
1.923,1.923,DecisionTreeRegressor
6.41,10.0,DecisionTreeRegressor
2.521,2.756939788647223,GradientBoostingRegressor
1.474,2.851692215825233,GradientBoostingRegressor
1.026,2.9161038003653097,GradientBoostingRegressor
10.0,8.029653869621184,GradientBoostingRegressor
1.923,2.9161038003653097,GradientBoostingRegressor
4.615,4.320631359510674,GradientBoostingRegressor
6.41,5.809022115444263,GradientBoostingRegressor
0.128,2.666136657423275,GradientBoostingRegressor
10.0,4.320631359510674,GradientBoostingRegressor
1.923,2.9161038003653097,GradientBoostingRegressor
