Actual,Predicted,Model
2.521,1.9000380063437063,Ridge
1.474,1.857958821341004,Ridge
1.026,1.9896966094265855,Ridge
10.0,8.132947802075536,Ridge
1.923,2.0021763607280514,Ridge
4.615,4.283131865981525,Ridge
6.41,4.836109139250221,Ridge
0.128,1.329304242033539,Ridge
10.0,8.103495919349127,Ridge
1.923,2.6983396887520703,Ridge
4.615,3.781002397078513,Ridge
1.923,2.572836522297795,Ridge
10.0,12.973601261902804,Ridge
0.128,1.2583230223072754,Ridge
5.962,4.766158775274239,Ridge
3.568,2.5737578657615465,Ridge
1.026,2.106658131446485,Ridge
10.0,11.065559972808085,Ridge
5.064,3.8179999550255004,Ridge
1.923,2.0146768194443654,Ridge
6.41,6.498747008516647,Ridge
2.521,3.141,DecisionTreeRegressor
1.474,1.474,DecisionTreeRegressor
1.026,1.026,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.923,1.026,DecisionTreeRegressor
4.615,4.615000000000001,DecisionTreeRegressor
6.41,6.41,DecisionTreeRegressor
0.128,0.128,DecisionTreeRegressor
10.0,3.718,DecisionTreeRegressor
1.923,1.923,DecisionTreeRegressor
4.615,7.308,DecisionTreeRegressor
1.923,2.1365,DecisionTreeRegressor
10.0,6.41,DecisionTreeRegressor
0.128,0.192,DecisionTreeRegressor
5.962,5.962,DecisionTreeRegressor
3.568,3.643,DecisionTreeRegressor
1.026,2.1365,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.064,3.718,DecisionTreeRegressor
1.923,1.923,DecisionTreeRegressor
6.41,6.41,DecisionTreeRegressor
2.521,2.9820171013382493,GradientBoostingRegressor
1.474,3.0208233030648675,GradientBoostingRegressor
1.026,3.064712021918526,GradientBoostingRegressor
10.0,7.4013975618596834,GradientBoostingRegressor
1.923,3.064712021918526,GradientBoostingRegressor
4.615,4.347721438057754,GradientBoostingRegressor
6.41,5.892319028205338,GradientBoostingRegressor
0.128,2.9820171013382493,GradientBoostingRegressor
10.0,7.13669351049935,GradientBoostingRegressor
1.923,3.064712021918526,GradientBoostingRegressor
4.615,3.1035182236451444,GradientBoostingRegressor
1.923,3.064712021918526,GradientBoostingRegressor
10.0,7.808436258629892,GradientBoostingRegressor
0.128,2.9820171013382493,GradientBoostingRegressor
5.962,4.386527639784372,GradientBoostingRegressor
3.568,3.064712021918526,GradientBoostingRegressor
1.026,3.064712021918526,GradientBoostingRegressor
10.0,8.097563368004352,GradientBoostingRegressor
