Actual,Predicted,Model
2.521,1.8873512925629692,Ridge
1.474,1.8536211576780812,Ridge
1.026,1.9911596942187586,Ridge
10.0,8.200510700152211,Ridge
1.923,2.0430168026596216,Ridge
4.615,4.279043186113893,Ridge
6.41,4.845767008294941,Ridge
0.128,1.3320288292895723,Ridge
10.0,8.578064228731568,Ridge
1.923,2.700056463549781,Ridge
4.615,3.790234279993876,Ridge
1.923,2.5878147158038822,Ridge
10.0,12.994374669214091,Ridge
0.128,1.258292821658038,Ridge
5.962,4.773892666537944,Ridge
3.568,2.581571325611908,Ridge
1.026,2.128749184300998,Ridge
10.0,11.097106386304354,Ridge
5.064,3.814437182917148,Ridge
1.923,2.0479580652500355,Ridge
6.41,6.496801540476048,Ridge
2.521,2.393,DecisionTreeRegressor
1.474,2.2115,DecisionTreeRegressor
1.026,1.026,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.923,1.026,DecisionTreeRegressor
4.615,2.9275,DecisionTreeRegressor
6.41,6.41,DecisionTreeRegressor
0.128,0.128,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.923,2.1155,DecisionTreeRegressor
4.615,5.962,DecisionTreeRegressor
1.923,1.474,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.128,0.192,DecisionTreeRegressor
5.962,5.962,DecisionTreeRegressor
3.568,5.2135,DecisionTreeRegressor
1.026,3.718,DecisionTreeRegressor
10.0,8.2905,DecisionTreeRegressor
5.064,5.438000000000001,DecisionTreeRegressor
1.923,1.923,DecisionTreeRegressor
6.41,3.1945,DecisionTreeRegressor
2.521,2.9820171013382493,GradientBoostingRegressor
1.474,3.0208233030648675,GradientBoostingRegressor
1.026,3.064712021918526,GradientBoostingRegressor
10.0,7.4013975618596834,GradientBoostingRegressor
1.923,3.064712021918526,GradientBoostingRegressor
4.615,4.347721438057754,GradientBoostingRegressor
6.41,5.892319028205338,GradientBoostingRegressor
0.128,2.9820171013382493,GradientBoostingRegressor
10.0,7.135704342725148,GradientBoostingRegressor
1.923,3.064712021918526,GradientBoostingRegressor
4.615,3.1035182236451444,GradientBoostingRegressor
1.923,3.064712021918526,GradientBoostingRegressor
10.0,7.808436258629892,GradientBoostingRegressor
0.128,2.9820171013382493,GradientBoostingRegressor
5.962,4.386527639784372,GradientBoostingRegressor
3.568,3.064712021918526,GradientBoostingRegressor
1.026,3.064712021918526,GradientBoostingRegressor
10.0,8.097563368004352,GradientBoostingRegressor
5.064,4.386527639784372,GradientBoostingRegressor
1.923,3.064712021918526,GradientBoostingRegressor
6.41,5.892319028205338,GradientBoostingRegressor
2.521,2.554569999999999,RandomForestRegressor
1.474,1.9133899999999995,RandomForestRegressor
1.026,1.2415399999999992,RandomForestRegressor
10.0,7.3527499999999995,RandomForestRegressor
1.923,1.9007000000000005,RandomForestRegressor
4.615,4.410950000000004,RandomForestRegressor
6.41,4.99285857142858,RandomForestRegressor
0.128,0.13870000000000007,RandomForestRegressor
10.0,5.970540000000001,RandomForestRegressor
1.923,2.6959300000000006,RandomForestRegressor
4.615,4.173639999999999,RandomForestRegressor
1.923,3.02075,RandomForestRegressor
10.0,8.572979999999996,RandomForestRegressor
0.128,0.35597,RandomForestRegressor
5.962,5.304520000000001,RandomForestRegressor
3.568,4.16188,RandomForestRegressor
1.026,2.71419,RandomForestRegressor
10.0,9.430309999999999,RandomForestRegressor
5.064,4.747650000000005,RandomForestRegressor
1.923,1.9499700000000006,RandomForestRegressor
6.41,5.880840000000001,RandomForestRegressor
2.521,1.7050135135135127,AdaBoostRegressor
1.474,1.8759770114942527,AdaBoostRegressor
1.026,1.9803711340206174,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
1.923,2.088203883495146,AdaBoostRegressor
4.615,4.910317647058823,AdaBoostRegressor
6.41,6.4099999999999975,AdaBoostRegressor
0.128,1.6598679245283023,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
1.923,2.1201299999999974,AdaBoostRegressor
4.615,4.895358208955222,AdaBoostRegressor
1.923,2.0935999999999986,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.128,1.6598679245283023,AdaBoostRegressor
5.962,5.2890303030303025,AdaBoostRegressor
3.568,2.08348148148148,AdaBoostRegressor
1.026,2.088203883495146,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.064,5.16590909090909,AdaBoostRegressor
1.923,2.088203883495146,AdaBoostRegressor
6.41,6.4099999999999975,AdaBoostRegressor
2.521,2.7685504311039195,KNeighborsRegressor
1.474,1.474,KNeighborsRegressor
1.026,1.026,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
1.923,1.5848372741164898,KNeighborsRegressor
4.615,4.109291929607892,KNeighborsRegressor
6.41,2.4012868545880237,KNeighborsRegressor
0.128,0.128,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
1.923,1.8593087693459487,KNeighborsRegressor
