Actual,Predicted,Model
2.521,1.8920537158253783,Ridge
1.474,1.8555067565433077,Ridge
1.026,1.9893283641564379,Ridge
10.0,8.180721098682458,Ridge
1.923,2.021306916005895,Ridge
4.615,4.280640008299212,Ridge
6.41,4.840189594255526,Ridge
0.128,1.329845321694716,Ridge
10.0,8.331864584400583,Ridge
1.923,2.698394365432082,Ridge
4.615,3.784907931143046,Ridge
1.923,2.5797055922510026,Ridge
10.0,12.997801234964918,Ridge
0.128,1.2576626668606274,Ridge
5.962,4.769309484327495,Ridge
3.568,2.5754852772358805,Ridge
1.026,2.116628828528082,Ridge
10.0,11.07907611190621,Ridge
5.064,3.8153759645076333,Ridge
1.923,2.0298393386541616,Ridge
6.41,6.497546067920357,Ridge
2.521,3.2905,DecisionTreeRegressor
1.474,1.7733333333333334,DecisionTreeRegressor
1.026,1.7876666666666665,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.923,3.7176666666666667,DecisionTreeRegressor
4.615,3.718,DecisionTreeRegressor
6.41,6.41,DecisionTreeRegressor
0.128,0.128,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.923,1.026,DecisionTreeRegressor
4.615,5.962,DecisionTreeRegressor
1.923,2.436,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.128,0.192,DecisionTreeRegressor
5.962,7.308,DecisionTreeRegressor
3.568,2.222,DecisionTreeRegressor
1.026,2.436,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.064,4.9145,DecisionTreeRegressor
1.923,2.8203333333333336,DecisionTreeRegressor
6.41,6.41,DecisionTreeRegressor
2.521,2.9820171013382493,GradientBoostingRegressor
1.474,3.0208233030648675,GradientBoostingRegressor
1.026,3.064712021918526,GradientBoostingRegressor
10.0,7.4013975618596834,GradientBoostingRegressor
1.923,3.064712021918526,GradientBoostingRegressor
4.615,4.347721438057754,GradientBoostingRegressor
6.41,5.892319028205338,GradientBoostingRegressor
0.128,2.9820171013382493,GradientBoostingRegressor
10.0,7.13669351049935,GradientBoostingRegressor
1.923,3.064712021918526,GradientBoostingRegressor
4.615,3.1035182236451444,GradientBoostingRegressor
1.923,3.064712021918526,GradientBoostingRegressor
10.0,7.808436258629892,GradientBoostingRegressor
0.128,2.9820171013382493,GradientBoostingRegressor
5.962,4.386527639784372,GradientBoostingRegressor
3.568,3.064712021918526,GradientBoostingRegressor
1.026,3.064712021918526,GradientBoostingRegressor
10.0,8.097563368004352,GradientBoostingRegressor
5.064,4.386527639784372,GradientBoostingRegressor
1.923,3.064712021918526,GradientBoostingRegressor
6.41,5.892319028205338,GradientBoostingRegressor
2.521,3.073364619047618,RandomForestRegressor
1.474,2.426047380952381,RandomForestRegressor
1.026,1.5182964285714289,RandomForestRegressor
10.0,7.198652174603175,RandomForestRegressor
1.923,1.964957252525253,RandomForestRegressor
4.615,4.580565650793652,RandomForestRegressor
6.41,5.236113809523808,RandomForestRegressor
0.128,0.25638697619047623,RandomForestRegressor
10.0,6.11264896825397,RandomForestRegressor
1.923,2.597644173160173,RandomForestRegressor
4.615,3.4913265216450213,RandomForestRegressor
1.923,3.149290492063491,RandomForestRegressor
10.0,8.294431761904764,RandomForestRegressor
0.128,0.4871522698412699,RandomForestRegressor
5.962,4.972950095238096,RandomForestRegressor
3.568,3.7161423888888887,RandomForestRegressor
1.026,2.461357158730159,RandomForestRegressor
10.0,9.358964658008658,RandomForestRegressor
5.064,4.94521892063492,RandomForestRegressor
1.923,2.092273490620491,RandomForestRegressor
6.41,5.9299312380952385,RandomForestRegressor
2.521,1.7532604166666672,AdaBoostRegressor
1.474,1.8114999999999992,AdaBoostRegressor
1.026,2.0019456521739123,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
1.923,1.9396146788990818,AdaBoostRegressor
4.615,4.909666666666667,AdaBoostRegressor
6.41,6.4099999999999975,AdaBoostRegressor
0.128,1.7167373737373737,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
1.923,1.956273684210525,AdaBoostRegressor
4.615,4.824354166666664,AdaBoostRegressor
1.923,2.0185499999999985,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.128,1.699114035087719,AdaBoostRegressor
5.962,5.385359375,AdaBoostRegressor
3.568,2.090420168067224,AdaBoostRegressor
1.026,2.0019456521739123,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
5.064,5.056795454545454,AdaBoostRegressor
1.923,1.956273684210525,AdaBoostRegressor
6.41,6.4099999999999975,AdaBoostRegressor
2.521,2.7685524708659477,KNeighborsRegressor
1.474,1.474,KNeighborsRegressor
1.026,1.026,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
1.923,1.5848341995297257,KNeighborsRegressor
4.615,4.109291720798387,KNeighborsRegressor
6.41,2.4013204505481918,KNeighborsRegressor
0.128,0.128,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
1.923,1.8592948276480765,KNeighborsRegressor
4.615,5.843778634810611,KNeighborsRegressor
1.923,4.337691712225706,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
0.128,0.3758699687270392,KNeighborsRegressor
5.962,5.721384569260439,KNeighborsRegressor
3.568,3.1286570385187438,KNeighborsRegressor
1.026,1.143035341532638,KNeighborsRegressor
10.0,9.48700613478922,KNeighborsRegressor
5.064,5.533958125370108,KNeighborsRegressor
1.923,1.7117053809924894,KNeighborsRegressor
6.41,3.7392338512821133,KNeighborsRegressor
2.521,1.5338247713963917,MLPRegressor
1.474,1.6132356641710068,MLPRegressor
1.026,1.0655719027264003,MLPRegressor
10.0,10.103488810013229,MLPRegressor
1.923,1.5882630976523902,MLPRegressor
4.615,4.811801280029986,MLPRegressor
6.41,5.674767212802761,MLPRegressor
0.128,0.507922780854591,MLPRegressor
10.0,10.370119344732428,MLPRegressor
1.923,2.4347737511455105,MLPRegressor
4.615,4.975757777475715,MLPRegressor
1.923,1.7620013738228837,MLPRegressor
10.0,10.182713024970813,MLPRegressor
0.128,0.5253347488688497,MLPRegressor
5.962,5.493369993079694,MLPRegressor
3.568,3.9686521843978633,MLPRegressor
1.026,1.1490783201926398,MLPRegressor
10.0,9.882436204611688,MLPRegressor
5.064,4.748989349787134,MLPRegressor
1.923,1.4676998252633398,MLPRegressor
6.41,6.112843587424155,MLPRegressor
2.521,3.2208387084778884,ElasticNet
1.474,3.383589185588536,ElasticNet
1.026,3.387924468309346,ElasticNet
10.0,5.796605469163844,ElasticNet
1.923,3.136083539852746,ElasticNet
4.615,4.38985429079283,ElasticNet
6.41,4.696480727660018,ElasticNet
0.128,2.946728636509583,ElasticNet
10.0,6.130158491842097,ElasticNet
1.923,3.4532265961734767,ElasticNet
4.615,4.074530063944135,ElasticNet
1.923,4.205292087683702,ElasticNet
10.0,8.865042508775396,ElasticNet
0.128,2.635943095266535,ElasticNet
5.962,4.2635116682414855,ElasticNet
3.568,4.071472181771354,ElasticNet
1.026,3.8488245833495336,ElasticNet
10.0,8.799289559899817,ElasticNet
5.064,4.186352345265371,ElasticNet
1.923,3.2164190235757006,ElasticNet
6.41,5.070064430251954,ElasticNet
2.521,1.9776368841320027,SGDRegressor
1.474,1.8667835094300602,SGDRegressor
1.026,2.0129092649583784,SGDRegressor
10.0,8.171270603752347,SGDRegressor
1.923,2.0513331032554163,SGDRegressor
4.615,4.2928627523071246,SGDRegressor
6.41,4.848045157111809,SGDRegressor
0.128,1.3505903833901693,SGDRegressor
10.0,8.149567179457618,SGDRegressor
1.923,2.7080098140554303,SGDRegressor
4.615,3.7375541055419976,SGDRegressor
1.923,2.612225274489904,SGDRegressor
10.0,12.986102785049834,SGDRegressor
0.128,1.268846204729607,SGDRegressor
5.962,4.724469739093238,SGDRegressor
3.568,2.688923771912565,SGDRegressor
1.026,2.155385752316256,SGDRegressor
10.0,11.216825797103066,SGDRegressor
5.064,3.8076233766967817,SGDRegressor
1.923,2.0618390382370397,SGDRegressor
6.41,6.37183089141043,SGDRegressor
2.521,1.9220357748492543,BayesianRidge
1.474,1.876395919027888,BayesianRidge
1.026,2.0114255511880903,BayesianRidge
10.0,8.140040357959087,BayesianRidge
1.923,2.032620054411296,BayesianRidge
4.615,4.291869119253803,BayesianRidge
6.41,4.824701258202096,BayesianRidge
0.128,1.345838406986696,BayesianRidge
10.0,8.296461563392752,BayesianRidge
1.923,2.71176325880828,BayesianRidge
4.615,3.792018125344141,BayesianRidge
1.923,2.619276086270596,BayesianRidge
10.0,12.944434352521728,BayesianRidge
0.128,1.2638988634679524,BayesianRidge
5.962,4.759626930229728,BayesianRidge
3.568,2.6324437201549284,BayesianRidge
1.026,2.1513814707982535,BayesianRidge
10.0,11.084045417330575,BayesianRidge
5.064,3.8217527855034596,BayesianRidge
1.923,2.0445816381249577,BayesianRidge
6.41,6.438449797424559,BayesianRidge
2.521,1.8690536009411023,KernelRidge
1.474,1.4898787511087868,KernelRidge
1.026,1.4409895315540577,KernelRidge
10.0,10.485545908349344,KernelRidge
1.923,1.5894708010785656,KernelRidge
4.615,4.7150677679266035,KernelRidge
6.41,5.278209722539835,KernelRidge
0.128,0.40974231918658344,KernelRidge
10.0,11.487279992359081,KernelRidge
1.923,2.266000171284678,KernelRidge
4.615,4.084535621442496,KernelRidge
1.923,2.0912269945114987,KernelRidge
10.0,9.273205482594983,KernelRidge
0.128,0.28053003616766414,KernelRidge
5.962,6.942224051786324,KernelRidge
3.568,4.284525707032017,KernelRidge
1.026,1.3976001996995642,KernelRidge
10.0,9.68159769381844,KernelRidge
5.064,4.917013453010535,KernelRidge
1.923,1.7496649519952747,KernelRidge
6.41,5.584018011461044,KernelRidge
2.521,1.863066909972145,LinearRegression
1.474,1.8380445871800468,LinearRegression
1.026,1.9704768200479457,LinearRegression
10.0,8.215536289701262,LinearRegression
1.923,2.010858957870785,LinearRegression
4.615,4.271372201151653,LinearRegression
6.41,4.852130186448356,LinearRegression
0.128,1.315630522933223,LinearRegression
10.0,8.366637645442326,LinearRegression
1.923,2.687827746699807,LinearRegression
4.615,3.7824962230902055,LinearRegression
1.923,2.5467784066038393,LinearRegression
10.0,13.042474780891478,LinearRegression
0.128,1.2517734079933973,LinearRegression
5.962,4.779769498355402,LinearRegression
3.568,2.5231645137378416,LinearRegression
1.026,2.0869010333165465,LinearRegression
10.0,11.067131514824796,LinearRegression
5.064,3.8103822152642817,LinearRegression
1.923,2.0165039661763102,LinearRegression
6.41,6.5527973127768915,LinearRegression
2.521,1.3729075310163967,RANSACRegressor
1.474,1.3387038015650936,RANSACRegressor
1.026,1.9138377382939802,RANSACRegressor
10.0,5.252560950500267,RANSACRegressor
1.923,1.7148876731878349,RANSACRegressor
4.615,5.1984981992898,RANSACRegressor
6.41,4.416756452864034,RANSACRegressor
0.128,0.5675882826294583,RANSACRegressor
10.0,11.507787676647464,RANSACRegressor
1.923,3.0814052670970256,RANSACRegressor
4.615,3.5971269024317607,RANSACRegressor
1.923,3.1132330605105234,RANSACRegressor
10.0,11.234503339468752,RANSACRegressor
0.128,0.2972719664854768,RANSACRegressor
