Actual,Predicted,Model
2.521,1.8859885187117187,Ridge
1.474,1.8529088182840967,Ridge
1.026,1.9933700889182964,Ridge
10.0,8.197203167565773,Ridge
1.923,2.0567678858735228,Ridge
4.615,4.278584026035551,Ridge
6.41,4.849730594538634,Ridge
0.128,1.3342140263539903,Ridge
10.0,8.728329747018925,Ridge
1.923,2.70175446333052,Ridge
4.615,3.793988762915027,Ridge
1.923,2.593259968598526,Ridge
10.0,12.977983504089295,Ridge
0.128,1.2593583394964463,Ridge
5.962,4.777267846832407,Ridge
3.568,2.586743581371831,Ridge
1.026,2.136939816650963,Ridge
10.0,11.109069803552993,Ridge
5.064,3.8148364500798606,Ridge
1.923,2.0598387088647336,Ridge
6.41,6.497125292784861,Ridge
2.521,3.433,DecisionTreeRegressor
1.474,4.503,DecisionTreeRegressor
1.026,1.7876666666666665,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.923,1.923,DecisionTreeRegressor
4.615,4.615,DecisionTreeRegressor
6.41,6.41,DecisionTreeRegressor
0.128,0.4645,DecisionTreeRegressor
10.0,4.1665,DecisionTreeRegressor
1.923,1.8946666666666665,DecisionTreeRegressor
4.615,2.29175,DecisionTreeRegressor
1.923,0.4645,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.128,1.923,DecisionTreeRegressor
5.962,5.2885,DecisionTreeRegressor
3.568,3.0696666666666665,DecisionTreeRegressor
1.026,0.4645,DecisionTreeRegressor
10.0,6.41,DecisionTreeRegressor
5.064,6.709333333333333,DecisionTreeRegressor
1.923,1.923,DecisionTreeRegressor
6.41,6.41,DecisionTreeRegressor
2.521,2.9820171013382493,GradientBoostingRegressor
1.474,3.0208233030648675,GradientBoostingRegressor
1.026,3.064712021918526,GradientBoostingRegressor
10.0,7.4013975618596834,GradientBoostingRegressor
1.923,3.064712021918526,GradientBoostingRegressor
4.615,4.347721438057754,GradientBoostingRegressor
6.41,5.892319028205338,GradientBoostingRegressor
0.128,2.9820171013382493,GradientBoostingRegressor
10.0,7.137029621171636,GradientBoostingRegressor
1.923,3.064712021918526,GradientBoostingRegressor
4.615,3.1035182236451444,GradientBoostingRegressor
1.923,3.064712021918526,GradientBoostingRegressor
10.0,7.808436258629892,GradientBoostingRegressor
0.128,2.9820171013382493,GradientBoostingRegressor
5.962,4.386527639784372,GradientBoostingRegressor
3.568,3.064712021918526,GradientBoostingRegressor
1.026,3.064712021918526,GradientBoostingRegressor
10.0,8.097563368004352,GradientBoostingRegressor
5.064,4.386527639784372,GradientBoostingRegressor
1.923,3.064712021918526,GradientBoostingRegressor
6.41,5.892319028205338,GradientBoostingRegressor
2.521,3.1609599999999993,RandomForestRegressor
1.474,1.8163999999999985,RandomForestRegressor
1.026,1.1919149999999992,RandomForestRegressor
10.0,7.505549999999997,RandomForestRegressor
1.923,1.846750000000001,RandomForestRegressor
4.615,4.714225000000006,RandomForestRegressor
6.41,4.921425000000008,RandomForestRegressor
0.128,0.1771350000000001,RandomForestRegressor
10.0,5.254720000000003,RandomForestRegressor
1.923,2.3334049999999995,RandomForestRegressor
4.615,3.9011850000000003,RandomForestRegressor
1.923,2.819939999999999,RandomForestRegressor
10.0,8.815319999999996,RandomForestRegressor
0.128,0.4525250000000002,RandomForestRegressor
5.962,5.591425,RandomForestRegressor
3.568,3.662509999999999,RandomForestRegressor
1.026,2.2330500000000004,RandomForestRegressor
10.0,9.36043,RandomForestRegressor
5.064,4.627560000000004,RandomForestRegressor
1.923,1.725610000000001,RandomForestRegressor
6.41,5.702780000000005,RandomForestRegressor
2.521,1.7145517241379307,AdaBoostRegressor
1.474,1.8069684210526287,AdaBoostRegressor
1.026,2.181720430107526,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
1.923,2.0069915254237256,AdaBoostRegressor
