Actual,Predicted,Model
2.521,1.8859870963879382,Ridge
1.474,1.8527267071197233,Ridge
1.026,1.9948506150566372,Ridge
10.0,8.19115094460983,Ridge
1.923,2.0638304209879337,Ridge
4.615,4.278487645756196,Ridge
6.41,4.851916326775516,Ridge
0.128,1.335567028528207,Ridge
10.0,8.802652222125655,Ridge
1.923,2.702854880044734,Ridge
4.615,3.795934358151433,Ridge
1.923,2.596062651939182,Ridge
10.0,12.965782592449605,Ridge
0.128,1.2601024018940232,Ridge
5.962,4.778942818637195,Ridge
3.568,2.5900410298281904,Ridge
1.026,2.141255384928117,Ridge
10.0,11.115640612142606,Ridge
5.064,3.815285980530954,Ridge
1.923,2.0660926626863776,Ridge
6.41,6.497095091758931,Ridge
2.521,2.222,DecisionTreeRegressor
1.474,2.2115,DecisionTreeRegressor
1.026,1.72,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.923,1.923,DecisionTreeRegressor
4.615,3.718,DecisionTreeRegressor
6.41,1.026,DecisionTreeRegressor
0.128,0.128,DecisionTreeRegressor
10.0,3.718,DecisionTreeRegressor
1.923,3.718,DecisionTreeRegressor
4.615,10.0,DecisionTreeRegressor
1.923,6.41,DecisionTreeRegressor
10.0,8.205,DecisionTreeRegressor
0.128,0.128,DecisionTreeRegressor
5.962,5.064,DecisionTreeRegressor
3.568,2.222,DecisionTreeRegressor
1.026,6.41,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.064,5.662,DecisionTreeRegressor
1.923,1.923,DecisionTreeRegressor
6.41,2.0085,DecisionTreeRegressor
2.521,2.9820171013382493,GradientBoostingRegressor
1.474,3.0208233030648675,GradientBoostingRegressor
1.026,3.064712021918526,GradientBoostingRegressor
10.0,7.4013975618596834,GradientBoostingRegressor
1.923,3.064712021918526,GradientBoostingRegressor
4.615,4.347721438057754,GradientBoostingRegressor
6.41,5.932811524300152,GradientBoostingRegressor
0.128,2.9820171013382493,GradientBoostingRegressor
10.0,7.13669351049935,GradientBoostingRegressor
1.923,3.064712021918526,GradientBoostingRegressor
4.615,3.1035182236451444,GradientBoostingRegressor
1.923,3.064712021918526,GradientBoostingRegressor
10.0,7.482228501699279,GradientBoostingRegressor
0.128,2.9820171013382493,GradientBoostingRegressor
5.962,4.386527639784372,GradientBoostingRegressor
3.568,3.064712021918526,GradientBoostingRegressor
1.026,3.064712021918526,GradientBoostingRegressor
10.0,8.097563368004352,GradientBoostingRegressor
5.064,4.386527639784372,GradientBoostingRegressor
1.923,3.064712021918526,GradientBoostingRegressor
6.41,5.932811524300152,GradientBoostingRegressor
2.521,2.7977,RandomForestRegressor
1.474,1.9898999999999998,RandomForestRegressor
1.026,1.181490000000001,RandomForestRegressor
10.0,6.981159999999999,RandomForestRegressor
1.923,1.6684300000000005,RandomForestRegressor
4.615,4.799399999999999,RandomForestRegressor
6.41,4.7862599999999995,RandomForestRegressor
0.128,0.14306000000000008,RandomForestRegressor
