Actual,Predicted,Model
2.521,1.8858848721454824,Ridge
1.474,1.8527642176029273,Ridge
1.026,1.9948573124448168,Ridge
10.0,8.19117358202961,Ridge
1.923,2.063802528328909,Ridge
4.615,4.278473535861398,Ridge
6.41,4.851912965013175,Ridge
0.128,1.3356129123468459,Ridge
10.0,8.802853130487078,Ridge
1.923,2.7028189607371056,Ridge
4.615,3.7958954940221217,Ridge
1.923,2.5961173301555167,Ridge
10.0,12.965797986217952,Ridge
0.128,1.260137656682069,Ridge
5.962,4.778923508225557,Ridge
3.568,2.58983117890738,Ridge
1.026,2.1412943454961866,Ridge
10.0,11.115386296825351,Ridge
5.064,3.815291775786722,Ridge
1.923,2.0660592674680003,Ridge
6.41,6.497188654940853,Ridge
2.521,4.017,DecisionTreeRegressor
1.474,1.474,DecisionTreeRegressor
1.026,1.026,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.923,1.474,DecisionTreeRegressor
4.615,4.615000000000001,DecisionTreeRegressor
6.41,6.41,DecisionTreeRegressor
0.128,0.128,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.923,2.308,DecisionTreeRegressor
4.615,2.949,DecisionTreeRegressor
1.923,1.474,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.128,1.474,DecisionTreeRegressor
5.962,6.617,DecisionTreeRegressor
3.568,2.493,DecisionTreeRegressor
1.026,0.128,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
5.064,4.1665,DecisionTreeRegressor
1.923,1.923,DecisionTreeRegressor
6.41,6.4099999999999975,DecisionTreeRegressor
2.521,2.9820171013382497,GradientBoostingRegressor
1.474,3.020823303064868,GradientBoostingRegressor
1.026,3.0647120219185267,GradientBoostingRegressor
10.0,7.4013975618596834,GradientBoostingRegressor
1.923,3.0647120219185267,GradientBoostingRegressor
4.615,4.347721438057754,GradientBoostingRegressor
6.41,5.932811524300152,GradientBoostingRegressor
0.128,2.9820171013382497,GradientBoostingRegressor
10.0,7.13669351049935,GradientBoostingRegressor
1.923,3.0647120219185267,GradientBoostingRegressor
4.615,3.103518223645145,GradientBoostingRegressor
1.923,3.0647120219185267,GradientBoostingRegressor
10.0,7.482228501699279,GradientBoostingRegressor
0.128,2.9820171013382497,GradientBoostingRegressor
5.962,4.386527639784372,GradientBoostingRegressor
3.568,3.0647120219185267,GradientBoostingRegressor
1.026,3.0647120219185267,GradientBoostingRegressor
10.0,8.097563368004352,GradientBoostingRegressor
5.064,4.386527639784372,GradientBoostingRegressor
1.923,3.0647120219185267,GradientBoostingRegressor
6.41,5.932811524300152,GradientBoostingRegressor
2.521,2.670849999999999,RandomForestRegressor
1.474,2.2003449999999973,RandomForestRegressor
1.026,1.2134199999999993,RandomForestRegressor
10.0,6.642740000000001,RandomForestRegressor
1.923,1.972290000000001,RandomForestRegressor
4.615,4.553240000000003,RandomForestRegressor
6.41,4.573040000000007,RandomForestRegressor
0.128,0.17825000000000008,RandomForestRegressor
