Actual,Predicted,Model
10.0,9.414951501231442,Ridge
10.0,10.332937581931862,Ridge
10.0,9.287873425929408,Ridge
4.472,3.626838307288503,Ridge
6.711,5.176000112991492,Ridge
3.458,2.844329704527265,Ridge
4.206,4.628787738256138,Ridge
10.0,9.95979285836404,Ridge
4.931,5.804538873134879,Ridge
3.024,2.4886194320947097,Ridge
4.531,5.468399558660273,Ridge
10.0,8.307623314609856,Ridge
4.104,5.02259160565799,Ridge
10.0,9.096080822248442,Ridge
2.842,3.2883292562601767,Ridge
3.082,4.235324582083894,Ridge
10.0,10.798066686031735,Ridge
3.48,2.4192834265815866,Ridge
3.967,5.079063082060676,Ridge
6.817,5.586038862946266,Ridge
4.472,4.854566247663102,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.472,4.562,DecisionTreeRegressor
6.711,4.24,DecisionTreeRegressor
3.458,3.945,DecisionTreeRegressor
4.206,5.071,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.931,3.743,DecisionTreeRegressor
3.024,4.088,DecisionTreeRegressor
4.531,4.952,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.104,3.967,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.842,3.772,DecisionTreeRegressor
3.082,3.337,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.48,4.088,DecisionTreeRegressor
3.967,4.976,DecisionTreeRegressor
6.817,4.816,DecisionTreeRegressor
4.472,4.131,DecisionTreeRegressor
10.0,8.661760583477365,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.472,4.991628489564648,GradientBoostingRegressor
6.711,6.197799363398315,GradientBoostingRegressor
3.458,4.7632213222295166,GradientBoostingRegressor
4.206,4.930325297997415,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.931,4.991628489564648,GradientBoostingRegressor
3.024,4.930325297997415,GradientBoostingRegressor
4.531,4.986961768388465,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.104,4.991628489564648,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
2.842,4.976504742087645,GradientBoostingRegressor
3.082,4.7783450697065195,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
3.48,4.930325297997415,GradientBoostingRegressor
3.967,4.991628489564648,GradientBoostingRegressor
6.817,6.197799363398315,GradientBoostingRegressor
4.472,4.986961768388465,GradientBoostingRegressor
10.0,9.395499999999998,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.472,4.275670000000002,RandomForestRegressor
6.711,5.430829999999999,RandomForestRegressor
3.458,3.7147800000000006,RandomForestRegressor
4.206,4.71178,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.931,4.282510000000001,RandomForestRegressor
3.024,3.3898,RandomForestRegressor
4.531,4.74001,RandomForestRegressor
10.0,9.592099999999999,RandomForestRegressor
4.104,4.18583,RandomForestRegressor
10.0,10.0,RandomForestRegressor
2.842,3.70134,RandomForestRegressor
3.082,4.870749999999999,RandomForestRegressor
10.0,9.82826,RandomForestRegressor
3.48,3.59779,RandomForestRegressor
3.967,4.4406300000000005,RandomForestRegressor
6.817,5.905379999999999,RandomForestRegressor
4.472,4.0300199999999995,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.472,3.9714177215189883,AdaBoostRegressor
6.711,6.299055555555554,AdaBoostRegressor
3.458,3.9714177215189883,AdaBoostRegressor
4.206,3.9714177215189883,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.931,3.9714177215189883,AdaBoostRegressor
3.024,3.9714177215189883,AdaBoostRegressor
4.531,3.9714177215189883,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.104,3.9714177215189883,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
2.842,3.9714177215189883,AdaBoostRegressor
3.082,3.9714177215189883,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.48,3.9714177215189883,AdaBoostRegressor
3.967,3.9714177215189883,AdaBoostRegressor
6.817,6.299055555555554,AdaBoostRegressor
4.472,3.9714177215189883,AdaBoostRegressor
10.0,7.107812198354771,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
10.0,9.526117405994418,KNeighborsRegressor
4.472,4.445078753308131,KNeighborsRegressor
6.711,5.5251909631009735,KNeighborsRegressor
3.458,3.735009637923988,KNeighborsRegressor
4.206,4.883283148007842,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
4.931,4.839474129793935,KNeighborsRegressor
3.024,3.7011345550398747,KNeighborsRegressor
4.531,4.3793826868630426,KNeighborsRegressor
10.0,10.000000000000004,KNeighborsRegressor
4.104,5.197999600824026,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
2.842,3.931025584769445,KNeighborsRegressor
3.082,4.366498026323893,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
3.48,4.006173389198173,KNeighborsRegressor
3.967,4.526892247129501,KNeighborsRegressor
6.817,5.91319927378883,KNeighborsRegressor
4.472,4.287261006320388,KNeighborsRegressor
10.0,9.640555492676219,MLPRegressor
10.0,10.271898804156015,MLPRegressor
10.0,9.654320705047201,MLPRegressor
4.472,4.405241517369669,MLPRegressor
6.711,6.192978306595205,MLPRegressor
3.458,3.1475380147219916,MLPRegressor
4.206,5.040218476897691,MLPRegressor
10.0,10.052869058321255,MLPRegressor
4.931,5.328131624855154,MLPRegressor
3.024,2.049770243101186,MLPRegressor
4.531,5.745423424188685,MLPRegressor
10.0,8.611106432293006,MLPRegressor
4.104,4.721707408835856,MLPRegressor
10.0,9.695356596988711,MLPRegressor
2.842,3.7306264516659495,MLPRegressor
3.082,4.2268193478699105,MLPRegressor
10.0,9.881416163130977,MLPRegressor
3.48,2.3054905328780677,MLPRegressor
3.967,5.12017525877695,MLPRegressor
6.817,6.259437928758221,MLPRegressor
4.472,4.7146126849153465,MLPRegressor
10.0,8.065335440646807,ElasticNet
10.0,9.040099202404827,ElasticNet
10.0,8.166392598961837,ElasticNet
4.472,4.789849945500176,ElasticNet
6.711,5.410120170729126,ElasticNet
3.458,3.715876636314272,ElasticNet
4.206,5.1668892692293085,ElasticNet
10.0,9.514480875973375,ElasticNet
4.931,5.566208304878044,ElasticNet
3.024,3.8498313747266035,ElasticNet
4.531,5.125963938410877,ElasticNet
10.0,7.851926461010661,ElasticNet
4.104,5.519892259763211,ElasticNet
10.0,9.09173721578816,ElasticNet
2.842,4.102195292066825,ElasticNet
3.082,5.066143787075399,ElasticNet
10.0,9.514796548730109,ElasticNet
3.48,3.7895609634839897,ElasticNet
3.967,5.315951363495063,ElasticNet
6.817,5.281729595904652,ElasticNet
4.472,4.882425099380169,ElasticNet
10.0,9.398569256910033,SGDRegressor
10.0,10.267419943961324,SGDRegressor
10.0,9.781780546614932,SGDRegressor
4.472,4.295100386605041,SGDRegressor
