Actual,Predicted,Model
10.0,9.332211963922454,Ridge
10.0,10.371044469605726,Ridge
10.0,9.670169375764967,Ridge
4.472,3.8111674506866686,Ridge
6.711,5.301945885249408,Ridge
3.458,3.029271870786298,Ridge
4.206,4.081857380179141,Ridge
10.0,9.71594124375224,Ridge
4.931,5.766574297778377,Ridge
3.024,2.4999337051139134,Ridge
4.531,5.0307291889499695,Ridge
10.0,8.42586123879164,Ridge
4.104,5.153571711724489,Ridge
10.0,8.82578188602597,Ridge
2.842,3.199848519606798,Ridge
3.082,3.6030196407122212,Ridge
10.0,11.021248870815764,Ridge
3.48,2.45316574389077,Ridge
3.967,4.721204765508124,Ridge
6.817,5.782426306890207,Ridge
4.472,4.462460927681556,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.472,3.455,DecisionTreeRegressor
6.711,6.25,DecisionTreeRegressor
3.458,4.824,DecisionTreeRegressor
4.206,4.869666666666666,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.931,4.343,DecisionTreeRegressor
3.024,2.582333333333333,DecisionTreeRegressor
4.531,4.869666666666666,DecisionTreeRegressor
10.0,3.340666666666667,DecisionTreeRegressor
4.104,3.5446666666666666,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.842,3.5883333333333334,DecisionTreeRegressor
3.082,2.478,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.48,2.582333333333333,DecisionTreeRegressor
3.967,4.703333333333333,DecisionTreeRegressor
6.817,10.0,DecisionTreeRegressor
4.472,3.455,DecisionTreeRegressor
10.0,8.661760583477363,GradientBoostingRegressor
10.0,8.661760583477363,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.472,4.853515234899639,GradientBoostingRegressor
6.711,6.1678315457323585,GradientBoostingRegressor
3.458,5.112247431187209,GradientBoostingRegressor
4.206,4.812548425182846,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.931,4.853515234899639,GradientBoostingRegressor
3.024,4.689537899164527,GradientBoostingRegressor
4.531,4.853515234899639,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.104,4.853515234899639,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
2.842,4.730504708881321,GradientBoostingRegressor
3.082,4.668891031557273,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
3.48,4.689537899164527,GradientBoostingRegressor
3.967,4.853515234899639,GradientBoostingRegressor
6.817,6.1678315457323585,GradientBoostingRegressor
4.472,4.853515234899639,GradientBoostingRegressor
10.0,9.3385,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.472,4.305620000000001,RandomForestRegressor
6.711,5.53466,RandomForestRegressor
3.458,3.9589999999999996,RandomForestRegressor
4.206,3.9906,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.931,4.144139999999998,RandomForestRegressor
3.024,3.450460000000001,RandomForestRegressor
4.531,4.073359999999999,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.104,3.8885800000000006,RandomForestRegressor
10.0,10.0,RandomForestRegressor
2.842,3.5310599999999988,RandomForestRegressor
3.082,4.4923199999999985,RandomForestRegressor
10.0,10.0,RandomForestRegressor
3.48,3.6558000000000006,RandomForestRegressor
3.967,4.27304,RandomForestRegressor
6.817,5.853480000000001,RandomForestRegressor
4.472,4.024259999999999,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.472,3.885089285714284,AdaBoostRegressor
6.711,5.591941176470587,AdaBoostRegressor
3.458,4.421848484848483,AdaBoostRegressor
4.206,3.8219516129032263,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.931,3.838485294117648,AdaBoostRegressor
3.024,3.7058493150684924,AdaBoostRegressor
4.531,3.832058823529412,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.104,3.885089285714284,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
2.842,3.770153846153845,AdaBoostRegressor
3.082,3.8219516129032263,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.48,3.7058493150684924,AdaBoostRegressor
3.967,3.885089285714284,AdaBoostRegressor
6.817,5.717823529411763,AdaBoostRegressor
4.472,3.832058823529412,AdaBoostRegressor
10.0,6.908082808172045,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
10.0,9.062579056544115,KNeighborsRegressor
4.472,4.368928390299593,KNeighborsRegressor
6.711,5.848195186555666,KNeighborsRegressor
3.458,3.872823955813976,KNeighborsRegressor
4.206,4.666629771113174,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
4.931,4.797423903344358,KNeighborsRegressor
3.024,3.707252697895017,KNeighborsRegressor
4.531,4.140215083963335,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
4.104,5.207149162080605,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
2.842,3.6938777773373723,KNeighborsRegressor
3.082,4.206889279789238,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
3.48,3.85986698445637,KNeighborsRegressor
3.967,4.334518566204721,KNeighborsRegressor
6.817,5.886883381836079,KNeighborsRegressor
4.472,4.264339738908317,KNeighborsRegressor
10.0,9.42922587297987,MLPRegressor
10.0,10.000815505264066,MLPRegressor
10.0,9.935377122137872,MLPRegressor
4.472,4.214731850515301,MLPRegressor
6.711,8.216027439368958,MLPRegressor
3.458,3.8957150901762674,MLPRegressor
4.206,4.254048495525307,MLPRegressor
10.0,10.004504155659959,MLPRegressor
4.931,5.795313116215467,MLPRegressor
3.024,3.3150812753249124,MLPRegressor
4.531,5.354425579300766,MLPRegressor
10.0,8.646977193769285,MLPRegressor
4.104,4.3558199541468285,MLPRegressor
10.0,9.963668603908737,MLPRegressor
2.842,4.338377449438571,MLPRegressor
3.082,1.8798292583164031,MLPRegressor
10.0,9.789020175482012,MLPRegressor
3.48,2.7368371317005815,MLPRegressor
3.967,4.640783989045075,MLPRegressor
6.817,6.240413161076203,MLPRegressor
4.472,4.339928158677038,MLPRegressor
10.0,8.065293259619786,ElasticNet
10.0,9.040057783104105,ElasticNet
10.0,8.16635212658958,ElasticNet
4.472,4.789855072060282,ElasticNet
6.711,5.410162786592387,ElasticNet
3.458,3.715912296093393,ElasticNet
4.206,5.166912454316483,ElasticNet
10.0,9.51443998710897,ElasticNet
4.931,5.566172601541747,ElasticNet
3.024,3.8498634106437066,ElasticNet
4.531,5.125963219982904,ElasticNet
10.0,7.851902420995565,ElasticNet
4.104,5.519893696935297,ElasticNet
10.0,9.091702641284297,ElasticNet
2.842,4.102192094507366,ElasticNet
3.082,5.066169456201629,ElasticNet
10.0,9.514766576900888,ElasticNet
3.48,3.7895942993213825,ElasticNet
3.967,5.315972170658266,ElasticNet
6.817,5.28176024660053,ElasticNet
4.472,4.882435282404508,ElasticNet
10.0,9.251793441030422,SGDRegressor
10.0,11.160060582442597,SGDRegressor
10.0,10.257240941376644,SGDRegressor
4.472,3.7301735448893614,SGDRegressor
6.711,5.089036539015633,SGDRegressor
3.458,2.365137417539227,SGDRegressor
4.206,3.9552743438976767,SGDRegressor
10.0,10.212142500963024,SGDRegressor
4.931,5.458093686991608,SGDRegressor
3.024,2.70557776909015,SGDRegressor
4.531,5.03246293776249,SGDRegressor
10.0,9.228746788487664,SGDRegressor
4.104,5.5841431207904355,SGDRegressor
10.0,9.426194853200863,SGDRegressor
2.842,2.960875819978691,SGDRegressor
3.082,2.8916467790357463,SGDRegressor
10.0,12.1067390017004,SGDRegressor
3.48,2.5767920096536154,SGDRegressor
3.967,4.536615588130013,SGDRegressor
6.817,5.862113399559965,SGDRegressor
4.472,4.113372134656684,SGDRegressor
10.0,9.213366779362724,BayesianRidge
10.0,10.316765493575112,BayesianRidge
10.0,9.602690784515971,BayesianRidge
4.472,3.859863150898999,BayesianRidge
6.711,5.296918678066228,BayesianRidge
3.458,2.977347624579673,BayesianRidge
4.206,4.137552506441093,BayesianRidge
10.0,9.691532418221145,BayesianRidge
4.931,5.724744733968285,BayesianRidge
3.024,2.5113843724918414,BayesianRidge
4.531,5.009712544298011,BayesianRidge
10.0,8.451018401742877,BayesianRidge
4.104,5.203600741737178,BayesianRidge
10.0,8.868063830227067,BayesianRidge
2.842,3.099343496332041,BayesianRidge
