Actual,Predicted,Model
10.0,9.414695585850986,Ridge
10.0,10.33280064111695,Ridge
10.0,9.287815888564296,Ridge
4.472,3.626905239028646,Ridge
6.711,5.176548212260258,Ridge
3.458,2.844255867699743,Ridge
4.206,4.628795951781388,Ridge
10.0,9.959603067411278,Ridge
4.931,5.80467354361567,Ridge
3.024,2.488715530460936,Ridge
4.531,5.468443758733647,Ridge
10.0,8.307700006927842,Ridge
4.104,5.022803208325503,Ridge
10.0,9.096034430290388,Ridge
2.842,3.288024163484067,Ridge
3.082,4.235120738350451,Ridge
10.0,10.798073935934873,Ridge
3.48,2.419279884105109,Ridge
3.967,5.078962966257691,Ridge
6.817,5.586106069700067,Ridge
4.472,4.854856929809813,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.472,4.1995000000000005,DecisionTreeRegressor
6.711,6.519,DecisionTreeRegressor
3.458,2.1864999999999997,DecisionTreeRegressor
4.206,5.071,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.931,4.283,DecisionTreeRegressor
3.024,3.616,DecisionTreeRegressor
4.531,3.988,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.104,4.241,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.842,3.616,DecisionTreeRegressor
3.082,3.2415000000000003,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.48,3.68,DecisionTreeRegressor
3.967,3.6925,DecisionTreeRegressor
6.817,6.056,DecisionTreeRegressor
4.472,3.215,DecisionTreeRegressor
10.0,8.661760583477365,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.472,4.991628489564648,GradientBoostingRegressor
6.711,6.197799363398315,GradientBoostingRegressor
3.458,4.763221322229516,GradientBoostingRegressor
4.206,4.930325297997415,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.931,4.991628489564648,GradientBoostingRegressor
3.024,4.930325297997415,GradientBoostingRegressor
4.531,4.986961768388465,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.104,4.991628489564648,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
2.842,4.976504742087645,GradientBoostingRegressor
3.082,4.778345069706519,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
3.48,4.930325297997415,GradientBoostingRegressor
3.967,4.991628489564648,GradientBoostingRegressor
6.817,6.197799363398315,GradientBoostingRegressor
4.472,4.986961768388465,GradientBoostingRegressor
10.0,9.437985,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,9.837159999999999,RandomForestRegressor
4.472,4.244555000000003,RandomForestRegressor
6.711,5.1739049999999995,RandomForestRegressor
3.458,3.7549449999999998,RandomForestRegressor
4.206,4.598535000000004,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.931,4.561145000000005,RandomForestRegressor
3.024,3.46194,RandomForestRegressor
4.531,4.40274,RandomForestRegressor
10.0,9.388245,RandomForestRegressor
4.104,4.046045000000001,RandomForestRegressor
10.0,10.0,RandomForestRegressor
2.842,3.8588950000000004,RandomForestRegressor
3.082,4.935889999999999,RandomForestRegressor
10.0,9.73343,RandomForestRegressor
3.48,3.573394999999999,RandomForestRegressor
3.967,4.662069999999999,RandomForestRegressor
