Actual,Predicted,Model
10.0,9.414916587372247,Ridge
10.0,10.332954699755865,Ridge
10.0,9.287886135696441,Ridge
4.472,3.6268048388015335,Ridge
6.711,5.17619562272642,Ridge
3.458,2.8443967060021804,Ridge
4.206,4.628862425082132,Ridge
10.0,9.959819609261412,Ridge
4.931,5.80452665647373,Ridge
3.024,2.4886136504097034,Ridge
4.531,5.468394192602082,Ridge
10.0,8.307525566416794,Ridge
4.104,5.022520023636355,Ridge
10.0,9.096062415214384,Ridge
2.842,3.2885313968520014,Ridge
3.082,4.235275507285606,Ridge
10.0,10.798073391980498,Ridge
3.48,2.419302027330268,Ridge
3.967,5.079008340846026,Ridge
6.817,5.585992231486331,Ridge
4.472,4.854617738545113,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,4.189500000000001,DecisionTreeRegressor
4.472,3.722,DecisionTreeRegressor
6.711,6.593,DecisionTreeRegressor
3.458,3.712,DecisionTreeRegressor
4.206,5.3465,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.931,4.279,DecisionTreeRegressor
3.024,3.616,DecisionTreeRegressor
4.531,4.798,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.104,3.557,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.842,3.215,DecisionTreeRegressor
3.082,4.727,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.48,3.354,DecisionTreeRegressor
3.967,2.829,DecisionTreeRegressor
6.817,4.781,DecisionTreeRegressor
4.472,3.215,DecisionTreeRegressor
10.0,8.661760583477365,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.472,4.991628489564648,GradientBoostingRegressor
6.711,6.197799363398315,GradientBoostingRegressor
3.458,4.763221322229516,GradientBoostingRegressor
4.206,4.930325297997415,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.931,4.991628489564648,GradientBoostingRegressor
3.024,4.930325297997415,GradientBoostingRegressor
4.531,4.986961768388465,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.104,4.991628489564648,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
2.842,4.976504742087645,GradientBoostingRegressor
3.082,4.778345069706519,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
3.48,4.930325297997415,GradientBoostingRegressor
3.967,4.991628489564648,GradientBoostingRegressor
