Actual,Predicted,Model
10.0,9.4153257157061,Ridge
10.0,10.333094420536836,Ridge
10.0,9.287894514179396,Ridge
4.472,3.6265840922598755,Ridge
6.711,5.1758651987393165,Ridge
3.458,2.844636172012599,Ridge
4.206,4.629002674968627,Ridge
10.0,9.960059977576687,Ridge
4.931,5.80436636565705,Ridge
3.024,2.4886312983240435,Ridge
4.531,5.468310259443244,Ridge
10.0,8.307248997512996,Ridge
4.104,5.02226440206257,Ridge
10.0,9.096051413974717,Ridge
2.842,3.288640495781279,Ridge
3.082,4.235573740516209,Ridge
10.0,10.79809840986286,Ridge
3.48,2.4194581775940445,Ridge
3.967,5.078824224471957,Ridge
6.817,5.586018288055367,Ridge
4.472,4.854369301595557,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.472,3.841,DecisionTreeRegressor
6.711,6.2989999999999995,DecisionTreeRegressor
3.458,3.678,DecisionTreeRegressor
4.206,3.637,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.931,5.549,DecisionTreeRegressor
3.024,3.334,DecisionTreeRegressor
4.531,4.481,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.104,4.4595,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.842,5.216,DecisionTreeRegressor
3.082,4.47,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.48,3.334,DecisionTreeRegressor
3.967,2.409,DecisionTreeRegressor
6.817,6.2989999999999995,DecisionTreeRegressor
4.472,5.549,DecisionTreeRegressor
10.0,8.661760583477365,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.472,4.991628489564648,GradientBoostingRegressor
6.711,6.197799363398315,GradientBoostingRegressor
3.458,4.763221322229516,GradientBoostingRegressor
4.206,4.930325297997415,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.931,4.991628489564648,GradientBoostingRegressor
3.024,4.930325297997415,GradientBoostingRegressor
4.531,4.986961768388465,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.104,4.991628489564648,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
2.842,4.976504742087645,GradientBoostingRegressor
3.082,4.778345069706519,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
3.48,4.930325297997415,GradientBoostingRegressor
3.967,4.991628489564648,GradientBoostingRegressor
6.817,6.197799363398315,GradientBoostingRegressor
4.472,4.986961768388465,GradientBoostingRegressor
10.0,9.302000000000001,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,9.92746,RandomForestRegressor
4.472,4.354690000000002,RandomForestRegressor
6.711,5.425580000000001,RandomForestRegressor
3.458,3.716099999999999,RandomForestRegressor
4.206,4.687540000000002,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.931,4.3832900000000015,RandomForestRegressor
3.024,3.392830000000001,RandomForestRegressor
4.531,4.623645,RandomForestRegressor
10.0,9.41858,RandomForestRegressor
4.104,4.0411300000000026,RandomForestRegressor
