Actual,Predicted,Model
10.0,9.4153558055618,Ridge
10.0,10.332878867513216,Ridge
10.0,9.287868811762303,Ridge
4.472,3.626764695485253,Ridge
6.711,5.175317512652532,Ridge
3.458,2.8441188738052823,Ridge
4.206,4.628675363160342,Ridge
10.0,9.959737537199771,Ridge
4.931,5.80496983727323,Ridge
3.024,2.4885587074276505,Ridge
4.531,5.468396353392823,Ridge
10.0,8.307912463099616,Ridge
4.104,5.022708227466445,Ridge
10.0,9.096180956420785,Ridge
2.842,3.288363722276817,Ridge
3.082,4.235000119910597,Ridge
10.0,10.79804956978468,Ridge
3.48,2.419221778371145,Ridge
3.967,5.079720669813066,Ridge
6.817,5.585990335943099,Ridge
4.472,4.854807623844007,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.472,4.432,DecisionTreeRegressor
6.711,4.139,DecisionTreeRegressor
3.458,5.777,DecisionTreeRegressor
4.206,5.031000000000001,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.931,10.0,DecisionTreeRegressor
3.024,2.1864999999999997,DecisionTreeRegressor
4.531,5.727,DecisionTreeRegressor
10.0,1.413,DecisionTreeRegressor
4.104,3.8905000000000003,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.842,3.665,DecisionTreeRegressor
3.082,5.031000000000001,DecisionTreeRegressor
10.0,1.413,DecisionTreeRegressor
3.48,2.1864999999999997,DecisionTreeRegressor
3.967,6.776,DecisionTreeRegressor
6.817,6.321,DecisionTreeRegressor
4.472,3.215,DecisionTreeRegressor
10.0,8.661760583477365,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.472,4.991628489564648,GradientBoostingRegressor
6.711,6.197799363398315,GradientBoostingRegressor
3.458,4.763221322229516,GradientBoostingRegressor
4.206,4.930325297997414,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.931,4.991628489564648,GradientBoostingRegressor
3.024,4.930325297997414,GradientBoostingRegressor
4.531,4.986961768388465,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.104,4.991628489564648,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
2.842,4.976504742087645,GradientBoostingRegressor
3.082,4.778345069706519,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
3.48,4.930325297997414,GradientBoostingRegressor
3.967,4.991628489564648,GradientBoostingRegressor
6.817,6.197799363398315,GradientBoostingRegressor
4.472,4.986961768388465,GradientBoostingRegressor
10.0,9.391539999999999,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,9.89498,RandomForestRegressor
4.472,4.321255,RandomForestRegressor
6.711,5.606605000000002,RandomForestRegressor
3.458,3.5698750000000006,RandomForestRegressor
4.206,4.8654350000000015,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.931,4.604550000000001,RandomForestRegressor
3.024,3.375980000000001,RandomForestRegressor
4.531,4.301809999999999,RandomForestRegressor
10.0,9.46274,RandomForestRegressor
4.104,4.267235000000001,RandomForestRegressor
10.0,10.0,RandomForestRegressor
2.842,3.8819950000000008,RandomForestRegressor
3.082,5.225284999999997,RandomForestRegressor
10.0,9.512945,RandomForestRegressor
3.48,3.5925050000000023,RandomForestRegressor
3.967,4.795945,RandomForestRegressor
6.817,5.7496849999999995,RandomForestRegressor
4.472,4.110169999999998,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.472,4.196476190476191,AdaBoostRegressor
6.711,6.076133333333333,AdaBoostRegressor
3.458,3.99805263157895,AdaBoostRegressor
4.206,4.196476190476191,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.931,4.196476190476191,AdaBoostRegressor
3.024,4.1515824175824205,AdaBoostRegressor
4.531,4.1884799999999975,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.104,4.1884799999999975,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
2.842,4.1884799999999975,AdaBoostRegressor
3.082,4.1164042553191535,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.48,4.1884799999999975,AdaBoostRegressor
3.967,4.221547368421054,AdaBoostRegressor
6.817,6.076133333333333,AdaBoostRegressor
4.472,4.196476190476191,AdaBoostRegressor
10.0,7.107812198354771,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
10.0,9.526117405994418,KNeighborsRegressor
4.472,4.445078753308131,KNeighborsRegressor
6.711,5.5251909631009735,KNeighborsRegressor
3.458,3.735009637923988,KNeighborsRegressor
4.206,4.883283148007842,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
4.931,4.839474129793935,KNeighborsRegressor
3.024,3.7011345550398747,KNeighborsRegressor
4.531,4.3793826868630426,KNeighborsRegressor
10.0,10.000000000000004,KNeighborsRegressor
4.104,5.197999600824026,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
2.842,3.931025584769445,KNeighborsRegressor
3.082,4.366498026323893,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
3.48,4.006173389198173,KNeighborsRegressor
3.967,4.526892247129501,KNeighborsRegressor
6.817,5.91319927378883,KNeighborsRegressor
4.472,4.287261006320388,KNeighborsRegressor
10.0,9.393012783640359,MLPRegressor
10.0,9.984100979398619,MLPRegressor
10.0,10.22586914112742,MLPRegressor
4.472,4.357344509468634,MLPRegressor
6.711,7.507105524502207,MLPRegressor
3.458,3.509645506374058,MLPRegressor
4.206,5.68497936733605,MLPRegressor
10.0,10.002933783856381,MLPRegressor
4.931,7.450762367843795,MLPRegressor
3.024,2.8289991536487182,MLPRegressor
4.531,5.942541806662834,MLPRegressor
10.0,9.368076758706078,MLPRegressor
4.104,5.550488171501062,MLPRegressor
10.0,9.966637318457584,MLPRegressor
2.842,3.9173849374858127,MLPRegressor
3.082,2.7025986990040125,MLPRegressor
10.0,10.162630044669314,MLPRegressor
3.48,3.0270834414155017,MLPRegressor
3.967,7.600949498780151,MLPRegressor
6.817,5.782964229537863,MLPRegressor
4.472,3.2837426869539454,MLPRegressor
10.0,8.065311656062484,ElasticNet
10.0,9.04007997548747,ElasticNet
10.0,8.166373949434389,ElasticNet
4.472,4.789846746234021,ElasticNet
6.711,5.4101351467496,ElasticNet
3.458,3.715870382359981,ElasticNet
4.206,5.1669663452349965,ElasticNet
10.0,9.514446193984874,ElasticNet
4.931,5.566268130031397,ElasticNet
3.024,3.8498363892601213,ElasticNet
4.531,5.125958379713394,ElasticNet
10.0,7.85189103844602,ElasticNet
4.104,5.519884516999778,ElasticNet
10.0,9.091710052495594,ElasticNet
2.842,4.10217837148911,ElasticNet
3.082,5.066218047862962,ElasticNet
10.0,9.514735320916815,ElasticNet
3.48,3.7895863283261013,ElasticNet
3.967,5.3159589758738255,ElasticNet
6.817,5.281731032204222,ElasticNet
4.472,4.882411412738741,ElasticNet
10.0,8.92176473930735,SGDRegressor
10.0,10.269420758514668,SGDRegressor
10.0,9.85742393789437,SGDRegressor
