Actual,Predicted,Model
10.0,9.414409444375936,Ridge
10.0,10.332934950036444,Ridge
10.0,9.287861111386906,Ridge
4.472,3.627031970474205,Ridge
6.711,5.176199911401498,Ridge
3.458,2.8444628052177574,Ridge
4.206,4.628622978564108,Ridge
10.0,9.959780599486965,Ridge
4.931,5.80397949501284,Ridge
3.024,2.4887561281402824,Ridge
4.531,5.468367106772415,Ridge
10.0,8.307645120309715,Ridge
4.104,5.022632742576649,Ridge
10.0,9.096047492840178,Ridge
2.842,3.2879721328260167,Ridge
3.082,4.236041540968575,Ridge
10.0,10.798138307093762,Ridge
3.48,2.419251891907778,Ridge
3.967,5.078628996609959,Ridge
6.817,5.58611635801376,Ridge
4.472,4.854017060759179,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.472,4.2335,DecisionTreeRegressor
6.711,6.2250000000000005,DecisionTreeRegressor
3.458,2.77,DecisionTreeRegressor
4.206,3.644,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.931,4.522666666666667,DecisionTreeRegressor
3.024,3.863666666666667,DecisionTreeRegressor
4.531,2.77,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.104,4.887999999999999,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
2.842,3.194,DecisionTreeRegressor
3.082,3.669,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.48,3.644,DecisionTreeRegressor
3.967,4.0005,DecisionTreeRegressor
6.817,6.2250000000000005,DecisionTreeRegressor
4.472,4.131,DecisionTreeRegressor
10.0,8.661760583477365,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.472,4.991628489564648,GradientBoostingRegressor
6.711,6.197799363398315,GradientBoostingRegressor
3.458,4.7632213222295166,GradientBoostingRegressor
4.206,4.930325297997415,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.931,4.991628489564648,GradientBoostingRegressor
3.024,4.930325297997415,GradientBoostingRegressor
4.531,4.986961768388465,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
4.104,4.991628489564648,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
2.842,4.976504742087645,GradientBoostingRegressor
3.082,4.7783450697065195,GradientBoostingRegressor
10.0,8.661760583477365,GradientBoostingRegressor
3.48,4.930325297997415,GradientBoostingRegressor
3.967,4.991628489564648,GradientBoostingRegressor
6.817,6.197799363398315,GradientBoostingRegressor
4.472,4.986961768388465,GradientBoostingRegressor
10.0,9.84363,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,9.9046,RandomForestRegressor
4.472,4.2315450000000014,RandomForestRegressor
6.711,5.515280000000002,RandomForestRegressor
3.458,3.6129499999999997,RandomForestRegressor
4.206,4.615470000000002,RandomForestRegressor
10.0,10.0,RandomForestRegressor
4.931,4.459490000000001,RandomForestRegressor
3.024,3.3863499999999993,RandomForestRegressor
4.531,4.3517149999999996,RandomForestRegressor
10.0,9.74989,RandomForestRegressor
4.104,4.195565000000003,RandomForestRegressor
10.0,10.0,RandomForestRegressor
2.842,3.91031,RandomForestRegressor
3.082,4.505049999999998,RandomForestRegressor
10.0,9.871879999999999,RandomForestRegressor
3.48,3.5777800000000037,RandomForestRegressor
3.967,4.633830000000001,RandomForestRegressor
6.817,5.671689999999999,RandomForestRegressor
4.472,3.945274999999998,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.472,4.105545454545455,AdaBoostRegressor
6.711,6.561153846153847,AdaBoostRegressor
3.458,4.105545454545455,AdaBoostRegressor
4.206,4.105545454545455,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.931,4.105545454545455,AdaBoostRegressor
3.024,4.105545454545455,AdaBoostRegressor
4.531,4.105545454545455,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.104,4.105545454545455,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
2.842,4.105545454545455,AdaBoostRegressor
3.082,4.105545454545455,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.48,4.105545454545455,AdaBoostRegressor
3.967,4.105545454545455,AdaBoostRegressor
6.817,6.561153846153847,AdaBoostRegressor
4.472,4.105545454545455,AdaBoostRegressor
10.0,7.107812198354771,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
10.0,9.526117405994418,KNeighborsRegressor
4.472,4.445078753308131,KNeighborsRegressor
6.711,5.5251909631009735,KNeighborsRegressor
3.458,3.735009637923988,KNeighborsRegressor
4.206,4.883283148007842,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
4.931,4.839474129793935,KNeighborsRegressor
3.024,3.7011345550398747,KNeighborsRegressor
4.531,4.3793826868630426,KNeighborsRegressor
10.0,10.000000000000004,KNeighborsRegressor
4.104,5.197999600824026,KNeighborsRegressor
10.0,10.000000000000002,KNeighborsRegressor
2.842,3.931025584769445,KNeighborsRegressor
3.082,4.366498026323893,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
3.48,4.006173389198173,KNeighborsRegressor
3.967,4.526892247129501,KNeighborsRegressor
6.817,5.91319927378883,KNeighborsRegressor
4.472,4.287261006320388,KNeighborsRegressor
10.0,8.208357955393097,MLPRegressor
10.0,10.275960909959604,MLPRegressor
10.0,9.313332592110434,MLPRegressor
4.472,4.36123002014242,MLPRegressor
6.711,6.7302801324032275,MLPRegressor
3.458,3.7362529632350925,MLPRegressor
