Actual,Predicted,Model
0.347,0.7647830411935637,Ridge
0.733,1.0693823285042643,Ridge
0.81,0.8458542258927371,Ridge
10.0,7.41703504744369,Ridge
1.212,1.036757367127441,Ridge
6.491,5.978897181210843,Ridge
1.612,1.3739213521087819,Ridge
0.129,0.6539215563892853,Ridge
10.0,12.822567617210229,Ridge
0.599,1.0344911099320844,Ridge
2.334,2.9579069506255338,Ridge
0.841,0.8459707762627842,Ridge
10.0,12.361004054834773,Ridge
0.339,0.654698558856265,Ridge
7.74,7.487292551187268,Ridge
2.262,1.3236575269260276,Ridge
0.935,0.8463175136136738,Ridge
7.877,7.2340374666187675,Ridge
7.046,6.750035423881609,Ridge
0.827,1.0353328626046454,Ridge
1.726,2.4049882259466617,Ridge
0.347,0.65,DecisionTreeRegressor
0.733,0.733,DecisionTreeRegressor
0.81,0.806,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.212,1.212,DecisionTreeRegressor
6.491,6.42,DecisionTreeRegressor
1.612,0.728,DecisionTreeRegressor
0.129,0.129,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.599,1.121,DecisionTreeRegressor
2.334,7.796,DecisionTreeRegressor
0.841,0.833,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.339,0.409,DecisionTreeRegressor
7.74,7.796,DecisionTreeRegressor
2.262,1.276,DecisionTreeRegressor
0.935,0.938,DecisionTreeRegressor
7.877,7.475,DecisionTreeRegressor
7.046,6.606,DecisionTreeRegressor
0.827,1.121,DecisionTreeRegressor
1.726,1.677,DecisionTreeRegressor
0.347,1.9242613084941214,GradientBoostingRegressor
0.733,1.9242613084941214,GradientBoostingRegressor
0.81,1.9242613084941214,GradientBoostingRegressor
10.0,7.676814033408412,GradientBoostingRegressor
1.212,1.9242613084941214,GradientBoostingRegressor
6.491,5.623295151030535,GradientBoostingRegressor
1.612,1.9242613084941214,GradientBoostingRegressor
0.129,1.9242613084941214,GradientBoostingRegressor
10.0,5.2759040788022835,GradientBoostingRegressor
0.599,1.9242613084941214,GradientBoostingRegressor
2.334,1.9242613084941214,GradientBoostingRegressor
0.841,1.9242613084941214,GradientBoostingRegressor
10.0,7.359422759018055,GradientBoostingRegressor
0.339,1.9242613084941214,GradientBoostingRegressor
