Actual,Predicted,Model
0.347,0.78854694866369,Ridge
0.733,0.9613948123539027,Ridge
0.81,0.9312261894783567,Ridge
10.0,7.1113281552463725,Ridge
1.212,1.2541379283005152,Ridge
6.491,6.098409774381064,Ridge
1.612,1.0969432098042708,Ridge
0.129,0.6073177728883543,Ridge
10.0,15.991501910667143,Ridge
0.599,1.2519439835285322,Ridge
2.334,3.099378746294264,Ridge
0.841,0.9313390209237729,Ridge
10.0,11.957370828178593,Ridge
0.339,0.6080699825244626,Ridge
7.74,7.592193749808377,Ridge
2.262,1.1927501843068788,Ridge
0.935,0.9316746944738865,Ridge
7.877,7.242632431570701,Ridge
7.046,6.699538240243935,Ridge
0.827,1.252758877300983,Ridge
1.726,2.564224271231466,Ridge
0.347,-0.02,DecisionTreeRegressor
0.733,0.742,DecisionTreeRegressor
0.81,0.806,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.212,1.212,DecisionTreeRegressor
6.491,6.42,DecisionTreeRegressor
1.612,1.5995,DecisionTreeRegressor
0.129,0.275,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.599,0.316,DecisionTreeRegressor
2.334,2.744,DecisionTreeRegressor
0.841,0.688,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.339,0.6925,DecisionTreeRegressor
7.74,7.796,DecisionTreeRegressor
2.262,2.022,DecisionTreeRegressor
0.935,0.7875,DecisionTreeRegressor
7.877,7.3255,DecisionTreeRegressor
7.046,6.941,DecisionTreeRegressor
0.827,0.5085,DecisionTreeRegressor
1.726,1.677,DecisionTreeRegressor
0.347,1.9262057180903596,GradientBoostingRegressor
0.733,1.9262057180903596,GradientBoostingRegressor
0.81,1.9262057180903596,GradientBoostingRegressor
10.0,7.676814033408412,GradientBoostingRegressor
1.212,1.9262057180903596,GradientBoostingRegressor
6.491,5.623295151030536,GradientBoostingRegressor
1.612,1.9262057180903596,GradientBoostingRegressor
0.129,1.9262057180903596,GradientBoostingRegressor
10.0,5.2759040788022835,GradientBoostingRegressor
0.599,1.9262057180903596,GradientBoostingRegressor
2.334,1.9262057180903596,GradientBoostingRegressor
0.841,1.9262057180903596,GradientBoostingRegressor
10.0,7.359422759018055,GradientBoostingRegressor
0.339,1.9262057180903596,GradientBoostingRegressor
7.74,5.623295151030536,GradientBoostingRegressor
2.262,1.9262057180903596,GradientBoostingRegressor
0.935,1.9262057180903596,GradientBoostingRegressor
7.877,5.211267635727121,GradientBoostingRegressor
7.046,5.623295151030536,GradientBoostingRegressor
0.827,1.9262057180903596,GradientBoostingRegressor
1.726,1.9262057180903596,GradientBoostingRegressor
0.347,0.6579696082251081,RandomForestRegressor
0.733,1.0190716006493508,RandomForestRegressor
0.81,0.8611533690476192,RandomForestRegressor
10.0,8.170240107142858,RandomForestRegressor
1.212,1.3269379682539681,RandomForestRegressor
6.491,6.22704147619048,RandomForestRegressor
1.612,1.5378980119047616,RandomForestRegressor
0.129,0.21366519047619043,RandomForestRegressor
10.0,7.670999493506493,RandomForestRegressor
0.599,1.4717959047619047,RandomForestRegressor
2.334,2.725388833333333,RandomForestRegressor
0.841,0.9365584365079367,RandomForestRegressor
10.0,8.657216681818182,RandomForestRegressor
0.339,0.45211780952380937,RandomForestRegressor
7.74,7.357267833333339,RandomForestRegressor
2.262,2.0244205833333337,RandomForestRegressor
0.935,1.4771756825396825,RandomForestRegressor
7.877,6.692387159090912,RandomForestRegressor
7.046,6.767851507936509,RandomForestRegressor
0.827,1.283295277777778,RandomForestRegressor
1.726,1.8201793730158724,RandomForestRegressor
0.347,0.9520947368421055,AdaBoostRegressor
0.733,0.9520947368421055,AdaBoostRegressor
0.81,0.9520947368421055,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
1.212,0.9520947368421055,AdaBoostRegressor
6.491,6.561750000000001,AdaBoostRegressor
1.612,0.9520947368421055,AdaBoostRegressor
0.129,0.9520947368421055,AdaBoostRegressor
10.0,6.561750000000001,AdaBoostRegressor
0.599,0.9520947368421055,AdaBoostRegressor
2.334,0.9520947368421055,AdaBoostRegressor
0.841,0.9520947368421055,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.339,0.9520947368421055,AdaBoostRegressor
7.74,6.561750000000001,AdaBoostRegressor
2.262,0.9520947368421055,AdaBoostRegressor
0.935,0.9520947368421055,AdaBoostRegressor
7.877,6.561750000000001,AdaBoostRegressor
7.046,6.561750000000001,AdaBoostRegressor
0.827,0.9520947368421055,AdaBoostRegressor
1.726,0.9520947368421055,AdaBoostRegressor
0.347,0.8059959475973841,KNeighborsRegressor
0.733,0.733,KNeighborsRegressor
0.81,0.8066242857944221,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
1.212,1.212,KNeighborsRegressor
6.491,6.408189230983864,KNeighborsRegressor
1.612,1.6252796678013959,KNeighborsRegressor
0.129,0.12900000170376522,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
0.599,0.998623249662942,KNeighborsRegressor
2.334,7.95453581721221,KNeighborsRegressor
0.841,0.8314117854455655,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
0.339,0.3309210479156622,KNeighborsRegressor
7.74,7.795999959639611,KNeighborsRegressor
2.262,1.85275208646839,KNeighborsRegressor
0.935,0.9379356452842065,KNeighborsRegressor
7.877,7.342810797710505,KNeighborsRegressor
7.046,7.071911731852197,KNeighborsRegressor
0.827,0.994371816555092,KNeighborsRegressor
1.726,1.6770000339811844,KNeighborsRegressor
0.347,0.29265937491716115,MLPRegressor
0.733,0.7318142928527261,MLPRegressor
0.81,0.8185704059206858,MLPRegressor
10.0,9.986258349000183,MLPRegressor
1.212,1.2221514118111585,MLPRegressor
6.491,6.477908792111885,MLPRegressor
1.612,1.6132980767080722,MLPRegressor
0.129,0.12777846452331537,MLPRegressor
10.0,10.379392598648009,MLPRegressor
0.599,0.5449303258375163,MLPRegressor
2.334,4.824100785657985,MLPRegressor
0.841,0.8509504148300877,MLPRegressor
10.0,10.018925520010255,MLPRegressor
0.339,0.33789650005856753,MLPRegressor
7.74,7.764580354847931,MLPRegressor
2.262,2.526650236317537,MLPRegressor
0.935,0.9469936446598101,MLPRegressor
7.877,7.330449236431827,MLPRegressor
7.046,7.01579332766679,MLPRegressor
0.827,0.7990253917199719,MLPRegressor
1.726,1.7386854106888407,MLPRegressor
0.347,2.342362611990189,ElasticNet
0.733,2.388102161842562,ElasticNet
0.81,2.460988080876973,ElasticNet
10.0,4.690224494897447,ElasticNet
1.212,2.5796135497637573,ElasticNet
6.491,5.094349052732256,ElasticNet
1.612,2.460988080876973,ElasticNet
0.129,2.342362611990189,ElasticNet
10.0,8.794111228615131,ElasticNet
0.599,2.5796135497637573,ElasticNet
2.334,2.6710926494685037,ElasticNet
0.841,2.460988080876973,ElasticNet
10.0,7.204959997865945,ElasticNet
0.339,2.342362611990189,ElasticNet
7.74,5.140088602584629,ElasticNet
2.262,2.460988080876973,ElasticNet
0.935,2.460988080876973,ElasticNet
7.877,5.140088602584629,ElasticNet
7.046,5.021463133697845,ElasticNet
0.827,2.5796135497637573,ElasticNet
1.726,2.460988080876973,ElasticNet
0.347,0.3236284820950601,SGDRegressor
0.733,1.6613074809011055,SGDRegressor
0.81,0.18068179386698313,SGDRegressor
10.0,10.733625701056612,SGDRegressor
1.212,0.180978212061365,SGDRegressor
6.491,5.690129029586125,SGDRegressor
1.612,0.18048418173739522,SGDRegressor
0.129,0.17963727261059015,SGDRegressor
10.0,14.166371511642495,SGDRegressor
0.599,0.17933144431479908,SGDRegressor
2.334,5.287268027848225,SGDRegressor
0.841,0.18076648477966373,SGDRegressor
10.0,16.244105695405388,SGDRegressor
0.339,0.18020187869512672,SGDRegressor
7.74,9.31671534827694,SGDRegressor
2.262,0.46931350983314113,SGDRegressor
0.935,0.181018440244888,SGDRegressor
7.877,8.459754782030231,SGDRegressor
7.046,8.244043213269737,SGDRegressor
0.827,0.17994310090638077,SGDRegressor
1.726,2.398349375405191,SGDRegressor
0.347,0.8022101330157652,BayesianRidge
0.733,0.9827471364422413,BayesianRidge
0.81,0.9490794350436227,BayesianRidge
10.0,7.0823943897322374,BayesianRidge
1.212,1.277710530186745,BayesianRidge
6.491,6.084819757791086,BayesianRidge
1.612,1.1126059332993758,BayesianRidge
0.129,0.619459175641,BayesianRidge
10.0,15.914386164784325,BayesianRidge
0.599,1.2755331245840718,BayesianRidge
2.334,3.12500251000798,BayesianRidge
0.841,0.9491914159031887,BayesianRidge
10.0,11.891261094715878,BayesianRidge
0.339,0.6202057147047735,BayesianRidge
7.74,7.571424221216558,BayesianRidge
2.262,1.2177026151849621,BayesianRidge
0.935,0.9495245589603978,BayesianRidge
7.877,7.234376778178888,BayesianRidge
7.046,6.681243745041454,BayesianRidge
0.827,1.2763418752364935,BayesianRidge
1.726,2.5570584077162697,BayesianRidge
0.347,0.5306688739146921,KernelRidge
0.733,0.7391026182813221,KernelRidge
0.81,0.7676426962279947,KernelRidge
10.0,9.98071726884973,KernelRidge
1.212,1.1779101200845616,KernelRidge
6.491,6.343894263089169,KernelRidge
1.612,1.6035536735435016,KernelRidge
0.129,0.14748186070937663,KernelRidge
10.0,5.448926784029803,KernelRidge
0.599,0.7660879490722436,KernelRidge
2.334,3.81074559847184,KernelRidge
0.841,0.7931750448187813,KernelRidge
10.0,9.434705124036554,KernelRidge
0.339,0.3099335883744061,KernelRidge
7.74,7.784383174453978,KernelRidge
2.262,1.645189123737964,KernelRidge
0.935,0.8691337093114271,KernelRidge
7.877,7.048594306792438,KernelRidge
7.046,6.989489755229442,KernelRidge
0.827,0.9190508740284713,KernelRidge
1.726,1.687131630449585,KernelRidge
0.347,1.8347296255966377,LinearRegression
