Actual,Predicted,Model
0.347,0.7365939402836323,Ridge
0.733,1.016952136353086,Ridge
0.81,0.8327980845056269,Ridge
10.0,7.7549226973246315,Ridge
1.212,1.0536683995891791,Ridge
6.491,5.996608081867873,Ridge
1.612,1.272890496915283,Ridge
0.129,0.6109030896033034,Ridge
10.0,13.629630917222883,Ridge
0.599,1.0514128150824504,Ridge
2.334,2.967591598229914,Ridge
0.841,0.8329140859945441,Ridge
10.0,12.699682958526616,Ridge
0.339,0.6116764328627533,Ridge
7.74,7.5071760461125745,Ridge
2.262,1.245175719996371,Ridge
0.935,0.8332591904240738,Ridge
7.877,7.2228359272516105,Ridge
7.046,6.734159051506898,Ridge
0.827,1.0522506036135213,Ridge
1.726,2.4215824803824155,Ridge
0.347,0.806,DecisionTreeRegressor
0.733,0.742,DecisionTreeRegressor
0.81,0.8855,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.212,1.4100000000000001,DecisionTreeRegressor
6.491,7.3645,DecisionTreeRegressor
1.612,1.7,DecisionTreeRegressor
0.129,0.138,DecisionTreeRegressor
10.0,5.686,DecisionTreeRegressor
0.599,0.3025,DecisionTreeRegressor
2.334,1.065,DecisionTreeRegressor
0.841,0.8855,DecisionTreeRegressor
10.0,5.876,DecisionTreeRegressor
0.339,0.243,DecisionTreeRegressor
7.74,6.41,DecisionTreeRegressor
2.262,2.3585,DecisionTreeRegressor
0.935,0.8855,DecisionTreeRegressor
7.877,7.2315000000000005,DecisionTreeRegressor
7.046,6.52,DecisionTreeRegressor
0.827,5.4879999999999995,DecisionTreeRegressor
1.726,1.847,DecisionTreeRegressor
0.347,1.9242613084941214,GradientBoostingRegressor
0.733,1.9242613084941214,GradientBoostingRegressor
0.81,1.9242613084941214,GradientBoostingRegressor
10.0,7.676814033408412,GradientBoostingRegressor
1.212,1.9242613084941214,GradientBoostingRegressor
6.491,5.623295151030536,GradientBoostingRegressor
1.612,1.9242613084941214,GradientBoostingRegressor
0.129,1.9242613084941214,GradientBoostingRegressor
10.0,5.2759040788022835,GradientBoostingRegressor
0.599,1.9242613084941214,GradientBoostingRegressor
2.334,1.9242613084941214,GradientBoostingRegressor
0.841,1.9242613084941214,GradientBoostingRegressor
10.0,7.359422759018055,GradientBoostingRegressor
0.339,1.9242613084941214,GradientBoostingRegressor
7.74,5.623295151030536,GradientBoostingRegressor
2.262,1.9242613084941214,GradientBoostingRegressor
