Actual,Predicted,Model
0.347,0.7350683952967993,Ridge
0.733,0.9963158468824185,Ridge
0.81,0.8447043615002285,Ridge
10.0,7.820957126338999,Ridge
1.212,1.0923357552200628,Ridge
6.491,6.0110427956684855,Ridge
1.612,1.21541730876094,Ridge
0.129,0.5960560971061266,Ridge
10.0,14.200990266241272,Ridge
0.599,1.090097360654065,Ridge
2.334,2.9952229971278683,Ridge
0.841,0.8448194789350514,Ridge
10.0,12.741470870972835,Ridge
0.339,0.5968235466716116,Ridge
7.74,7.516343570453104,Ridge
2.262,1.2155015123304107,Ridge
0.935,0.845161953303649,Ridge
7.877,7.2176213760024615,Ridge
7.046,6.716303583957407,Ridge
0.827,1.0909287643500072,Ridge
1.726,2.438916309449837,Ridge
0.347,1.0433333333333332,DecisionTreeRegressor
0.733,0.74675,DecisionTreeRegressor
0.81,0.8195,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.212,0.9510000000000001,DecisionTreeRegressor
6.491,6.246333333333332,DecisionTreeRegressor
1.612,1.4395,DecisionTreeRegressor
0.129,0.15875,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.599,1.0166666666666666,DecisionTreeRegressor
2.334,1.065,DecisionTreeRegressor
0.841,0.8195,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.339,0.4265,DecisionTreeRegressor
7.74,7.3645,DecisionTreeRegressor
2.262,1.9100000000000001,DecisionTreeRegressor
0.935,0.938,DecisionTreeRegressor
7.877,7.457000000000001,DecisionTreeRegressor
7.046,6.6735,DecisionTreeRegressor
0.827,1.0166666666666666,DecisionTreeRegressor
1.726,1.7817500000000002,DecisionTreeRegressor
0.347,1.9242613084941214,GradientBoostingRegressor
0.733,1.9242613084941214,GradientBoostingRegressor
0.81,1.9242613084941214,GradientBoostingRegressor
10.0,7.676814033408412,GradientBoostingRegressor
1.212,1.9242613084941214,GradientBoostingRegressor
6.491,5.623295151030536,GradientBoostingRegressor
1.612,1.9242613084941214,GradientBoostingRegressor
0.129,1.9242613084941214,GradientBoostingRegressor
10.0,5.2759040788022835,GradientBoostingRegressor
0.599,1.9242613084941214,GradientBoostingRegressor
2.334,1.9242613084941214,GradientBoostingRegressor
0.841,1.9242613084941214,GradientBoostingRegressor
10.0,7.359422759018055,GradientBoostingRegressor
0.339,1.9242613084941214,GradientBoostingRegressor
7.74,5.623295151030536,GradientBoostingRegressor
2.262,1.9242613084941214,GradientBoostingRegressor
0.935,1.9242613084941214,GradientBoostingRegressor
7.877,5.211267635727121,GradientBoostingRegressor
7.046,5.623295151030536,GradientBoostingRegressor
0.827,1.9242613084941214,GradientBoostingRegressor
1.726,1.9242613084941214,GradientBoostingRegressor
0.347,0.8474099999999999,RandomForestRegressor
0.733,0.7762700000000001,RandomForestRegressor
0.81,0.8289499999999989,RandomForestRegressor
10.0,7.322790000000001,RandomForestRegressor
1.212,1.220600000000002,RandomForestRegressor
6.491,6.458009999999997,RandomForestRegressor
1.612,1.6008399999999992,RandomForestRegressor
0.129,0.14610999999999985,RandomForestRegressor
