Actual,Predicted,Model
0.347,0.7363280653959512,Ridge
0.733,0.9908689715129371,Ridge
0.81,0.8499424590320812,Ridge
10.0,7.814550639294509,Ridge
1.212,1.1057114520785798,Ridge
6.491,6.016836252679039,Ridge
1.612,1.1986626663499789,Ridge
0.129,0.5931589174637386,Ridge
10.0,14.381554954861244,Ridge
0.599,1.1034781691688598,Ridge
2.334,3.0046243945964064,Ridge
0.841,0.8500573135817242,Ridge
10.0,12.727478018243529,Ridge
0.339,0.5939246144613568,Ridge
7.74,7.520706319022704,Ridge
2.262,1.2075280538656612,Ridge
0.935,0.8503990058669113,Ridge
7.877,7.216899804420134,Ridge
7.046,6.711968983974458,Ridge
0.827,1.104307674249613,Ridge
1.726,2.4466443029159706,Ridge
0.347,-0.02,DecisionTreeRegressor
0.733,0.733,DecisionTreeRegressor
0.81,0.833,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.212,1.1829999999999998,DecisionTreeRegressor
6.491,6.399,DecisionTreeRegressor
1.612,1.634,DecisionTreeRegressor
0.129,0.138,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.599,5.873,DecisionTreeRegressor
2.334,1.087,DecisionTreeRegressor
0.841,0.833,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.339,0.444,DecisionTreeRegressor
7.74,7.796,DecisionTreeRegressor
2.262,1.634,DecisionTreeRegressor
0.935,0.833,DecisionTreeRegressor
7.877,7.475,DecisionTreeRegressor
7.046,6.806,DecisionTreeRegressor
0.827,6.014,DecisionTreeRegressor
1.726,4.0435,DecisionTreeRegressor
0.347,1.924261308494121,GradientBoostingRegressor
0.733,1.924261308494121,GradientBoostingRegressor
0.81,1.924261308494121,GradientBoostingRegressor
10.0,7.676814033408412,GradientBoostingRegressor
1.212,1.924261308494121,GradientBoostingRegressor
6.491,5.623295151030535,GradientBoostingRegressor
1.612,1.924261308494121,GradientBoostingRegressor
0.129,1.924261308494121,GradientBoostingRegressor
10.0,5.2759040788022835,GradientBoostingRegressor
0.599,1.924261308494121,GradientBoostingRegressor
2.334,1.924261308494121,GradientBoostingRegressor
0.841,1.924261308494121,GradientBoostingRegressor
10.0,7.359422759018055,GradientBoostingRegressor
0.339,1.924261308494121,GradientBoostingRegressor
7.74,5.623295151030535,GradientBoostingRegressor
2.262,1.924261308494121,GradientBoostingRegressor
0.935,1.924261308494121,GradientBoostingRegressor
7.877,5.211267635727121,GradientBoostingRegressor
7.046,5.623295151030535,GradientBoostingRegressor
0.827,1.924261308494121,GradientBoostingRegressor
1.726,1.924261308494121,GradientBoostingRegressor
0.347,0.47785854761904767,RandomForestRegressor
0.733,0.9350453015873015,RandomForestRegressor
0.81,0.8158619444444445,RandomForestRegressor
10.0,8.018616904761904,RandomForestRegressor
1.212,1.3575802720057717,RandomForestRegressor
6.491,6.585084142857144,RandomForestRegressor
1.612,1.5331465476190473,RandomForestRegressor
0.129,0.21143865934065928,RandomForestRegressor
10.0,7.361264,RandomForestRegressor
0.599,1.0134880974025973,RandomForestRegressor
2.334,2.606992285714286,RandomForestRegressor
0.841,0.9341672698412696,RandomForestRegressor
10.0,8.83158392857143,RandomForestRegressor
0.339,0.4745521428571429,RandomForestRegressor
7.74,7.231252507936508,RandomForestRegressor
2.262,1.9418575079365075,RandomForestRegressor
0.935,1.3715814682539686,RandomForestRegressor
7.877,6.822427396825394,RandomForestRegressor
7.046,6.779809039682538,RandomForestRegressor
0.827,1.0979756767676767,RandomForestRegressor
1.726,1.867285928571429,RandomForestRegressor
0.347,1.1274941176470592,AdaBoostRegressor
0.733,1.1587157894736848,AdaBoostRegressor
0.81,1.35430303030303,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
1.212,1.35430303030303,AdaBoostRegressor
6.491,6.898816901408449,AdaBoostRegressor
1.612,1.35430303030303,AdaBoostRegressor
0.129,1.093261682242992,AdaBoostRegressor
10.0,7.194444444444451,AdaBoostRegressor
0.599,1.1587157894736848,AdaBoostRegressor
2.334,1.1678571428571443,AdaBoostRegressor
0.841,1.35430303030303,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.339,1.2860105263157913,AdaBoostRegressor
7.74,6.9582985074626835,AdaBoostRegressor
2.262,1.5883513513513503,AdaBoostRegressor
0.935,1.35430303030303,AdaBoostRegressor
7.877,6.509860000000006,AdaBoostRegressor
7.046,6.926883333333336,AdaBoostRegressor
0.827,1.2439459459459452,AdaBoostRegressor
1.726,1.8622222222222224,AdaBoostRegressor
0.347,0.8059959476111054,KNeighborsRegressor
0.733,0.7330000025602623,KNeighborsRegressor
0.81,0.8066242857277471,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
1.212,1.212,KNeighborsRegressor
6.491,6.40818923077104,KNeighborsRegressor
1.612,1.625279667168602,KNeighborsRegressor
0.129,0.129,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
0.599,0.9986232488775454,KNeighborsRegressor
2.334,7.954526580948701,KNeighborsRegressor
0.841,0.8314117856550257,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
0.339,0.33092104339602785,KNeighborsRegressor
7.74,7.7959999596616125,KNeighborsRegressor
2.262,1.8527669054897806,KNeighborsRegressor
0.935,0.937935645217959,KNeighborsRegressor
7.877,7.342804496228541,KNeighborsRegressor
7.046,7.071911731259283,KNeighborsRegressor
0.827,0.9943718158279361,KNeighborsRegressor
1.726,1.677000033959489,KNeighborsRegressor
0.347,0.23754596305461273,MLPRegressor
0.733,0.7301427757335669,MLPRegressor
0.81,0.812891464650674,MLPRegressor
10.0,9.99198895899751,MLPRegressor
1.212,1.197767096357312,MLPRegressor
6.491,6.452798033976621,MLPRegressor
1.612,1.6133389116119665,MLPRegressor
0.129,0.12638000146041473,MLPRegressor
10.0,10.013957531321294,MLPRegressor
0.599,0.631633742167766,MLPRegressor
2.334,5.322629372644827,MLPRegressor
0.841,0.8440470495789836,MLPRegressor
10.0,10.012427423258355,MLPRegressor
0.339,0.3491416586474533,MLPRegressor
7.74,7.761590957854209,MLPRegressor
2.262,2.0826621964849235,MLPRegressor
0.935,0.9362461105290201,MLPRegressor
7.877,7.378725249951532,MLPRegressor
7.046,7.007238052673196,MLPRegressor
0.827,0.8450658192082625,MLPRegressor
1.726,1.7336903029557122,MLPRegressor
0.347,2.3048492539722183,ElasticNet
0.733,2.36935972443786,ElasticNet
0.81,2.410918899852742,ElasticNet
10.0,5.3808701167822,ElasticNet
1.212,2.516988545733266,ElasticNet
6.491,5.047606779869197,ElasticNet
1.612,2.410918899852742,ElasticNet
0.129,2.3048492539722183,ElasticNet
10.0,8.32049045297541,ElasticNet
0.599,2.516988545733266,ElasticNet
2.334,2.64600948666455,ElasticNet
0.841,2.410918899852742,ElasticNet
10.0,7.9114883509181295,ElasticNet
0.339,2.3048492539722183,ElasticNet
7.74,5.112117250334839,ElasticNet
2.262,2.410918899852742,ElasticNet
0.935,2.410918899852742,ElasticNet
7.877,5.112117250334839,ElasticNet
7.046,5.006047604454315,ElasticNet
0.827,2.516988545733266,ElasticNet
1.726,2.410918899852742,ElasticNet
0.347,-1.4075536298461473,SGDRegressor
0.733,1.528756507472338,SGDRegressor
0.81,1.5292339259412526,SGDRegressor
10.0,1.528211423393656,SGDRegressor
