Actual,Predicted,Model
0.347,0.7372348418483541,Ridge
0.733,0.988058699987481,Ridge
0.81,0.8527561264477894,Ridge
10.0,7.806693730595091,Ridge
1.212,1.1125811167925392,Ridge
6.491,6.019936183706731,Ridge
1.612,1.1913697453071173,Ridge
0.129,0.5919177357354846,Ridge
10.0,14.470405153335308,Ridge
0.599,1.110350361266475,Ridge
2.334,3.0091221841539286,Ridge
0.841,0.8528708510177014,Ridge
10.0,12.715849335898179,Ridge
0.339,0.5926825662015638,Ridge
7.74,7.523000446272967,Ridge
2.262,1.2049884271453406,Ridge
0.935,0.8532121566131892,Ridge
7.877,7.21721086993246,Ridge
7.046,6.709825344547401,Ridge
0.827,1.1111789276047275,Ridge
1.726,2.4506060587348797,Ridge
0.347,0.806,DecisionTreeRegressor
0.733,0.742,DecisionTreeRegressor
0.81,0.8195,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
1.212,1.2225000000000001,DecisionTreeRegressor
6.491,6.399,DecisionTreeRegressor
1.612,1.5995,DecisionTreeRegressor
0.129,0.129,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.599,0.316,DecisionTreeRegressor
2.334,1.093,DecisionTreeRegressor
0.841,0.8195,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.339,0.4265,DecisionTreeRegressor
7.74,7.796,DecisionTreeRegressor
2.262,2.022,DecisionTreeRegressor
0.935,0.938,DecisionTreeRegressor
7.877,7.2315000000000005,DecisionTreeRegressor
7.046,6.941,DecisionTreeRegressor
0.827,0.5085,DecisionTreeRegressor
1.726,1.693,DecisionTreeRegressor
0.347,1.9262057180903596,GradientBoostingRegressor
0.733,1.9262057180903596,GradientBoostingRegressor
0.81,1.9262057180903596,GradientBoostingRegressor
10.0,7.676814033408412,GradientBoostingRegressor
1.212,1.9262057180903596,GradientBoostingRegressor
6.491,5.623295151030535,GradientBoostingRegressor
1.612,1.9262057180903596,GradientBoostingRegressor
0.129,1.9262057180903596,GradientBoostingRegressor
10.0,5.2759040788022835,GradientBoostingRegressor
0.599,1.9262057180903596,GradientBoostingRegressor
2.334,1.9262057180903596,GradientBoostingRegressor
0.841,1.9262057180903596,GradientBoostingRegressor
10.0,7.359422759018055,GradientBoostingRegressor
0.339,1.9262057180903596,GradientBoostingRegressor
7.74,5.623295151030535,GradientBoostingRegressor
2.262,1.9262057180903596,GradientBoostingRegressor
0.935,1.9262057180903596,GradientBoostingRegressor
7.877,5.211267635727121,GradientBoostingRegressor
7.046,5.623295151030535,GradientBoostingRegressor
0.827,1.9262057180903596,GradientBoostingRegressor
1.726,1.9262057180903596,GradientBoostingRegressor
0.347,0.5853299999999989,RandomForestRegressor
0.733,0.76021,RandomForestRegressor
0.81,0.8299599999999988,RandomForestRegressor
10.0,8.41728,RandomForestRegressor
1.212,1.238400000000002,RandomForestRegressor
6.491,6.569389999999996,RandomForestRegressor
1.612,1.6330199999999981,RandomForestRegressor
0.129,0.14841999999999986,RandomForestRegressor
10.0,7.889170000000002,RandomForestRegressor
0.599,1.6037000000000008,RandomForestRegressor
2.334,2.816319999999999,RandomForestRegressor
0.841,0.8627799999999992,RandomForestRegressor
10.0,8.925710000000002,RandomForestRegressor
0.339,0.5287999999999996,RandomForestRegressor
7.74,7.5452200000000085,RandomForestRegressor
2.262,2.0787699999999982,RandomForestRegressor
0.935,1.2035300000000013,RandomForestRegressor
7.877,6.977710000000005,RandomForestRegressor
7.046,6.8951700000000065,RandomForestRegressor
0.827,1.10452,RandomForestRegressor
1.726,1.6232700000000007,RandomForestRegressor
0.347,0.8781214953271032,AdaBoostRegressor
0.733,0.8781214953271032,AdaBoostRegressor
0.81,0.8781214953271032,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
1.212,0.8781214953271032,AdaBoostRegressor
6.491,6.496999999999998,AdaBoostRegressor
1.612,0.8781214953271032,AdaBoostRegressor
0.129,0.8781214953271032,AdaBoostRegressor
10.0,6.496999999999998,AdaBoostRegressor
0.599,0.8781214953271032,AdaBoostRegressor
2.334,0.8781214953271032,AdaBoostRegressor
0.841,0.8781214953271032,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.339,0.8781214953271032,AdaBoostRegressor
7.74,6.496999999999998,AdaBoostRegressor
2.262,0.8781214953271032,AdaBoostRegressor
0.935,0.8781214953271032,AdaBoostRegressor
7.877,6.496999999999998,AdaBoostRegressor
7.046,6.496999999999998,AdaBoostRegressor
0.827,0.8781214953271032,AdaBoostRegressor
1.726,0.8781214953271032,AdaBoostRegressor
0.347,0.8059959476106033,KNeighborsRegressor
0.733,0.7330000012799861,KNeighborsRegressor
0.81,0.8066242853027792,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
1.212,1.212,KNeighborsRegressor
6.491,6.408189230736237,KNeighborsRegressor
1.612,1.6252796670845164,KNeighborsRegressor
0.129,0.129,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
0.599,0.998623248906313,KNeighborsRegressor
2.334,7.954526936968702,KNeighborsRegressor
0.841,0.8314117856282143,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
0.339,0.33092104351588014,KNeighborsRegressor
7.74,7.795999959660766,KNeighborsRegressor
2.262,1.8527663345817562,KNeighborsRegressor
0.935,0.9379356450241251,KNeighborsRegressor
7.877,7.342804739004844,KNeighborsRegressor
7.046,7.071911731334934,KNeighborsRegressor
