Actual,Predicted,Model
0.0,-0.1934393613929073,Ridge
0.0,-0.3158645715227637,Ridge
0.951,2.078151666277526,Ridge
9.223,8.328241402122586,Ridge
7.666,7.3412013303797234,Ridge
7.545,7.228670602737551,Ridge
6.632,7.577583563556444,Ridge
0.0,-0.17362092840372956,Ridge
4.722,6.215229670043278,Ridge
7.341,7.787293787561362,Ridge
5.001,5.471219631091888,Ridge
0.838,1.0920611091262717,Ridge
4.603,5.182952231592142,Ridge
0.901,1.5263970064755106,Ridge
7.225,7.76580381425262,Ridge
5.447,6.535128769587593,Ridge
0.0,-1.3274094185305314,Ridge
8.771,7.658126805824084,Ridge
7.61,6.33696110736147,Ridge
5.111,4.938371479634932,Ridge
7.655,7.3131440145170465,Ridge
0.0,0.6336666666666667,DecisionTreeRegressor
0.0,0.473,DecisionTreeRegressor
0.951,0.2455,DecisionTreeRegressor
9.223,7.98075,DecisionTreeRegressor
7.666,6.7745,DecisionTreeRegressor
7.545,6.272,DecisionTreeRegressor
6.632,6.812749999999999,DecisionTreeRegressor
0.0,0.15526923076923077,DecisionTreeRegressor
4.722,4.1005,DecisionTreeRegressor
7.341,7.233,DecisionTreeRegressor
5.001,5.026,DecisionTreeRegressor
0.838,1.058,DecisionTreeRegressor
4.603,4.1785000000000005,DecisionTreeRegressor
0.901,0.15526923076923077,DecisionTreeRegressor
7.225,7.7225,DecisionTreeRegressor
5.447,8.376,DecisionTreeRegressor
0.0,4.752,DecisionTreeRegressor
8.771,9.216,DecisionTreeRegressor
7.61,7.3865,DecisionTreeRegressor
5.111,5.001,DecisionTreeRegressor
7.655,6.9745,DecisionTreeRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
0.951,2.2026548798331262,GradientBoostingRegressor
9.223,6.461714436243382,GradientBoostingRegressor
7.666,6.41449974020589,GradientBoostingRegressor
7.545,6.084611646685577,GradientBoostingRegressor
6.632,5.968661171260435,GradientBoostingRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
4.722,4.565321553702203,GradientBoostingRegressor
7.341,6.41449974020589,GradientBoostingRegressor
5.001,4.725337920615513,GradientBoostingRegressor
0.838,2.2026548798331262,GradientBoostingRegressor
