Actual,Predicted,Model
0.0,-0.19266156694670844,Ridge
0.0,-0.3159141560061274,Ridge
0.951,2.0784687768511807,Ridge
9.223,8.327894512351103,Ridge
7.666,7.341004196762402,Ridge
7.545,7.229328012328084,Ridge
6.632,7.578021290520747,Ridge
0.0,-0.17311309190626378,Ridge
4.722,6.215206574493939,Ridge
7.341,7.7877318908221955,Ridge
5.001,5.4716222635958625,Ridge
0.838,1.092441264971744,Ridge
4.603,5.182629421335919,Ridge
0.901,1.5266230718025997,Ridge
7.225,7.76679604300893,Ridge
5.447,6.534938319383999,Ridge
0.0,-1.3276408825184198,Ridge
8.771,7.658861044275455,Ridge
7.61,6.336080209000556,Ridge
5.111,4.938232212112579,Ridge
7.655,7.313311618900524,Ridge
0.0,7.745,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.951,0.0,DecisionTreeRegressor
9.223,8.671,DecisionTreeRegressor
7.666,4.417666666666666,DecisionTreeRegressor
7.545,5.3759999999999994,DecisionTreeRegressor
6.632,9.011,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
4.722,4.861666666666667,DecisionTreeRegressor
7.341,6.041,DecisionTreeRegressor
5.001,4.968666666666667,DecisionTreeRegressor
0.838,0.7146666666666667,DecisionTreeRegressor
4.603,1.818,DecisionTreeRegressor
0.901,0.8170000000000001,DecisionTreeRegressor
7.225,7.285333333333334,DecisionTreeRegressor
5.447,7.745,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
8.771,5.887,DecisionTreeRegressor
7.61,5.3825,DecisionTreeRegressor
5.111,5.0835,DecisionTreeRegressor
7.655,7.285333333333334,DecisionTreeRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
0.951,2.2026548798331262,GradientBoostingRegressor
9.223,6.461714436243382,GradientBoostingRegressor
7.666,6.41449974020589,GradientBoostingRegressor
7.545,6.084611646685577,GradientBoostingRegressor
6.632,5.968661171260435,GradientBoostingRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
4.722,4.565321553702203,GradientBoostingRegressor
7.341,6.41449974020589,GradientBoostingRegressor
5.001,4.725337920615513,GradientBoostingRegressor
0.838,2.2026548798331262,GradientBoostingRegressor
4.603,4.585812490384023,GradientBoostingRegressor
0.901,2.1965467707850515,GradientBoostingRegressor
7.225,6.41449974020589,GradientBoostingRegressor
5.447,5.59155838170263,GradientBoostingRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
8.771,6.41449974020589,GradientBoostingRegressor
7.61,6.41449974020589,GradientBoostingRegressor
5.111,4.585812490384023,GradientBoostingRegressor
7.655,6.461714436243382,GradientBoostingRegressor
0.0,2.63392,RandomForestRegressor
0.0,0.5482999999999999,RandomForestRegressor
0.951,1.7375900000000002,RandomForestRegressor
9.223,7.493040000000003,RandomForestRegressor
7.666,6.209810000000001,RandomForestRegressor
7.545,7.115810000000002,RandomForestRegressor
6.632,7.262170000000003,RandomForestRegressor
0.0,0.04469,RandomForestRegressor
4.722,5.420750000000002,RandomForestRegressor
7.341,7.218800000000001,RandomForestRegressor
5.001,4.594460000000001,RandomForestRegressor
0.838,2.18107,RandomForestRegressor
4.603,5.17105,RandomForestRegressor
0.901,0.6655800000000001,RandomForestRegressor
7.225,7.322820000000002,RandomForestRegressor
5.447,6.51906,RandomForestRegressor
0.0,1.916580000000001,RandomForestRegressor
8.771,8.055219999999998,RandomForestRegressor
7.61,6.715829999999999,RandomForestRegressor
5.111,4.531200000000003,RandomForestRegressor
7.655,7.192049999999997,RandomForestRegressor
0.0,0.0,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
0.951,0.988625,AdaBoostRegressor
9.223,8.047295454545457,AdaBoostRegressor
7.666,7.749350000000003,AdaBoostRegressor
7.545,7.580000000000002,AdaBoostRegressor
6.632,7.580000000000002,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
4.722,4.533170731707315,AdaBoostRegressor
7.341,7.8723048780487845,AdaBoostRegressor
5.001,5.066529411764706,AdaBoostRegressor
0.838,0.988625,AdaBoostRegressor
4.603,4.529,AdaBoostRegressor
0.901,0.9656666666666666,AdaBoostRegressor
7.225,7.607094339622641,AdaBoostRegressor
5.447,7.367809523809525,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
8.771,8.047295454545457,AdaBoostRegressor
7.61,7.607094339622641,AdaBoostRegressor
5.111,4.529,AdaBoostRegressor
7.655,7.749350000000003,AdaBoostRegressor
0.0,5.456514626736542,KNeighborsRegressor
0.0,1.5683917509839653,KNeighborsRegressor
0.951,2.3111828332925177,KNeighborsRegressor
9.223,7.276264440602404,KNeighborsRegressor
7.666,2.0483630567676765,KNeighborsRegressor
7.545,6.861344139849259,KNeighborsRegressor
6.632,7.139511673908754,KNeighborsRegressor
0.0,0.0,KNeighborsRegressor
4.722,7.52063782048316,KNeighborsRegressor
7.341,6.8807701676512645,KNeighborsRegressor
5.001,4.016156893813629,KNeighborsRegressor
0.838,2.5660606063424782,KNeighborsRegressor
4.603,5.963292861872127,KNeighborsRegressor
0.901,0.15580460253108028,KNeighborsRegressor
7.225,7.516595953322138,KNeighborsRegressor
5.447,6.224217278561947,KNeighborsRegressor
0.0,4.591410365373614,KNeighborsRegressor
8.771,8.827729621160286,KNeighborsRegressor
7.61,7.13062714801978,KNeighborsRegressor
5.111,3.6103063438704,KNeighborsRegressor
