Actual,Predicted,Model
0.0,-0.19363489208813522,Ridge
0.0,-0.3158770463176124,Ridge
0.951,2.078178489938885,Ridge
9.223,8.328366948822175,Ridge
7.666,7.341177461107803,Ridge
7.545,7.228843922427567,Ridge
6.632,7.5778517283944,Ridge
0.0,-0.17360113576840952,Ridge
4.722,6.215320278054244,Ridge
7.341,7.787492930556192,Ridge
5.001,5.471224653200613,Ridge
0.838,1.0922325595864564,Ridge
4.603,5.1830120770664045,Ridge
0.901,1.5264986935755571,Ridge
7.225,7.766069805402439,Ridge
5.447,6.534978824658032,Ridge
0.0,-1.327193268044791,Ridge
8.771,7.65839263602094,Ridge
7.61,6.3366270195623,Ridge
5.111,4.9381225662923764,Ridge
7.655,7.313124557547089,Ridge
0.0,7.132,DecisionTreeRegressor
0.0,7.353,DecisionTreeRegressor
0.951,0.24325,DecisionTreeRegressor
9.223,7.857333333333333,DecisionTreeRegressor
7.666,0.901,DecisionTreeRegressor
7.545,6.0120000000000005,DecisionTreeRegressor
6.632,7.857333333333333,DecisionTreeRegressor
0.0,0.09014285714285715,DecisionTreeRegressor
4.722,5.725333333333334,DecisionTreeRegressor
7.341,8.4,DecisionTreeRegressor
5.001,4.682,DecisionTreeRegressor
0.838,0.9615,DecisionTreeRegressor
4.603,4.9830000000000005,DecisionTreeRegressor
0.901,4.235,DecisionTreeRegressor
7.225,8.4,DecisionTreeRegressor
5.447,7.132,DecisionTreeRegressor
0.0,4.235,DecisionTreeRegressor
8.771,9.243666666666668,DecisionTreeRegressor
7.61,7.984,DecisionTreeRegressor
5.111,6.392666666666667,DecisionTreeRegressor
7.655,7.317,DecisionTreeRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
0.951,2.2026548798331267,GradientBoostingRegressor
9.223,6.461714436243382,GradientBoostingRegressor
7.666,6.41449974020589,GradientBoostingRegressor
7.545,6.084611646685577,GradientBoostingRegressor
6.632,5.968661171260435,GradientBoostingRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
4.722,4.565321553702203,GradientBoostingRegressor
7.341,6.41449974020589,GradientBoostingRegressor
5.001,4.725337920615513,GradientBoostingRegressor
0.838,2.2026548798331267,GradientBoostingRegressor
4.603,4.585812490384023,GradientBoostingRegressor
0.901,2.196546770785052,GradientBoostingRegressor
7.225,6.41449974020589,GradientBoostingRegressor
5.447,5.59155838170263,GradientBoostingRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
8.771,6.41449974020589,GradientBoostingRegressor
7.61,6.41449974020589,GradientBoostingRegressor
5.111,4.585812490384023,GradientBoostingRegressor
7.655,6.461714436243382,GradientBoostingRegressor
0.0,3.324180000000001,RandomForestRegressor
0.0,0.37482000000000004,RandomForestRegressor
0.951,1.5175400000000001,RandomForestRegressor
9.223,7.388600000000001,RandomForestRegressor
7.666,6.083360000000002,RandomForestRegressor
7.545,7.028159999999999,RandomForestRegressor
6.632,6.676,RandomForestRegressor
0.0,0.0173,RandomForestRegressor
4.722,5.28072,RandomForestRegressor
7.341,7.260700000000003,RandomForestRegressor
5.001,4.390919999999998,RandomForestRegressor
0.838,2.129120000000001,RandomForestRegressor
4.603,5.28056,RandomForestRegressor
0.901,1.1075400000000009,RandomForestRegressor
7.225,7.346619999999998,RandomForestRegressor
5.447,6.477680000000001,RandomForestRegressor
0.0,2.3881599999999996,RandomForestRegressor
8.771,8.246660000000006,RandomForestRegressor
7.61,6.627610000000001,RandomForestRegressor
5.111,4.45104,RandomForestRegressor
7.655,7.149970000000001,RandomForestRegressor
0.0,0.0,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
0.951,0.9684285714285714,AdaBoostRegressor
9.223,7.832313432835821,AdaBoostRegressor
7.666,7.735752941176473,AdaBoostRegressor
7.545,7.5463461538461525,AdaBoostRegressor
6.632,6.4217692307692325,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
4.722,4.583878787878788,AdaBoostRegressor
7.341,7.782015873015876,AdaBoostRegressor
5.001,4.781483870967742,AdaBoostRegressor
0.838,0.9684285714285714,AdaBoostRegressor
4.603,4.580999999999999,AdaBoostRegressor
0.901,0.9591999999999998,AdaBoostRegressor
7.225,7.707322580645166,AdaBoostRegressor
5.447,6.811444444444444,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
8.771,8.07812643678161,AdaBoostRegressor
7.61,7.707322580645166,AdaBoostRegressor
5.111,4.580999999999999,AdaBoostRegressor
7.655,7.831123287671235,AdaBoostRegressor
0.0,5.456514626736542,KNeighborsRegressor
0.0,1.5683917509839653,KNeighborsRegressor
0.951,2.3111828332925177,KNeighborsRegressor
9.223,7.276264440602404,KNeighborsRegressor
7.666,2.0483630567676765,KNeighborsRegressor
7.545,6.861344139849259,KNeighborsRegressor
6.632,7.139511673908754,KNeighborsRegressor
0.0,0.0,KNeighborsRegressor
4.722,7.52063782048316,KNeighborsRegressor
7.341,6.8807701676512645,KNeighborsRegressor
5.001,4.016156893813629,KNeighborsRegressor
0.838,2.5660606063424782,KNeighborsRegressor
4.603,5.963292861872127,KNeighborsRegressor
0.901,0.15580460253108028,KNeighborsRegressor
7.225,7.516595953322138,KNeighborsRegressor
5.447,6.224217278561947,KNeighborsRegressor
0.0,4.591410365373614,KNeighborsRegressor
8.771,8.827729621160286,KNeighborsRegressor
7.61,7.13062714801978,KNeighborsRegressor
5.111,3.6103063438704,KNeighborsRegressor
7.655,7.366283240113881,KNeighborsRegressor
0.0,-0.3589496108927872,MLPRegressor
0.0,-0.0924630393108793,MLPRegressor
0.951,1.017869010926887,MLPRegressor
9.223,7.297594030321428,MLPRegressor
7.666,8.164449304336914,MLPRegressor
7.545,7.054150117871773,MLPRegressor
6.632,7.58591875304857,MLPRegressor
0.0,0.0006006253577567205,MLPRegressor
4.722,5.112958758765247,MLPRegressor
7.341,7.863284810238823,MLPRegressor
5.001,5.716769664953614,MLPRegressor
0.838,0.7210605482107487,MLPRegressor
4.603,4.134696998366951,MLPRegressor
0.901,0.8520912569685848,MLPRegressor
7.225,7.488065131522559,MLPRegressor
5.447,5.624809289292805,MLPRegressor
0.0,-0.09325303696946048,MLPRegressor
8.771,9.007927406959,MLPRegressor
7.61,6.907151891702976,MLPRegressor
5.111,4.670304850580718,MLPRegressor
7.655,7.662604769513478,MLPRegressor
0.0,1.5039715081406184,ElasticNet
0.0,1.4502025464981863,ElasticNet
0.951,2.576557169716348,ElasticNet
9.223,6.09984729301729,ElasticNet
7.666,6.000849685372845,ElasticNet
7.545,6.09984729301729,ElasticNet
6.632,6.064001318589002,ElasticNet
0.0,1.432279559284042,ElasticNet
4.722,4.973492669799128,ElasticNet
7.341,6.072541634229422,ElasticNet
5.001,4.847189403366816,ElasticNet
0.838,2.63032613135878,ElasticNet
4.603,4.94618701101126,ElasticNet
0.901,2.558634182502204,ElasticNet
7.225,5.991467013799122,ElasticNet
5.447,6.081924305803145,ElasticNet
0.0,1.5227368512880664,ElasticNet
8.771,6.072541634229422,ElasticNet
7.61,6.009390001013266,ElasticNet
5.111,4.8651123905809595,ElasticNet
7.655,6.09984729301729,ElasticNet
0.0,-0.07933397927233443,SGDRegressor
0.0,-0.35349598994181175,SGDRegressor
0.951,2.046642260484703,SGDRegressor
9.223,8.327302513395889,SGDRegressor
7.666,7.329762406590207,SGDRegressor
7.545,7.2666351554684,SGDRegressor
6.632,7.633262129279214,SGDRegressor
0.0,-0.1763821387728406,SGDRegressor
4.722,6.311816299717664,SGDRegressor
7.341,7.811952596865089,SGDRegressor
5.001,5.467281749988857,SGDRegressor
0.838,1.0753729487322299,SGDRegressor
4.603,5.144373772698154,SGDRegressor
0.901,1.5328357888441597,SGDRegressor
7.225,7.798317721264603,SGDRegressor
5.447,6.530089172415863,SGDRegressor
0.0,-1.5002205587180475,SGDRegressor
8.771,7.6900295776530605,SGDRegressor
7.61,6.340491479239023,SGDRegressor
5.111,4.991219631727724,SGDRegressor
7.655,7.3703069566688875,SGDRegressor
0.0,-0.17177865291002092,BayesianRidge
0.0,-0.31586002908700106,BayesianRidge
0.951,2.0874792710909684,BayesianRidge
9.223,8.3241373992546,BayesianRidge
7.666,7.319384312120385,BayesianRidge
7.545,7.232599360744668,BayesianRidge
6.632,7.577255894579309,BayesianRidge
0.0,-0.16854993587239164,BayesianRidge
4.722,6.216620703354645,BayesianRidge
7.341,7.785920320740436,BayesianRidge
5.001,5.4636875773075415,BayesianRidge
0.838,1.1057209251879825,BayesianRidge
4.603,5.18688839469351,BayesianRidge
0.901,1.5231956187313118,BayesianRidge
7.225,7.7704370188219904,BayesianRidge
5.447,6.534757882360282,BayesianRidge
0.0,-1.3065524351801834,BayesianRidge
8.771,7.666041074134107,BayesianRidge
7.61,6.330632671180827,BayesianRidge
5.111,4.925914030352773,BayesianRidge
7.655,7.316717814653055,BayesianRidge
0.0,-0.13788655574332154,KernelRidge
0.0,-0.3211683163323489,KernelRidge
0.951,2.097433045819354,KernelRidge
9.223,8.311833225014905,KernelRidge
7.666,7.275406598471214,KernelRidge
7.545,7.235343561570652,KernelRidge
6.632,7.570719484135893,KernelRidge
0.0,-0.1645062391162,KernelRidge
4.722,6.215236707618846,KernelRidge
7.341,7.779053253929625,KernelRidge
5.001,5.4468171798180975,KernelRidge
0.838,1.1228874655127967,KernelRidge
4.603,5.1872450900454865,KernelRidge
0.901,1.5140317845419489,KernelRidge
7.225,7.770000938848106,KernelRidge
5.447,6.531658259003535,KernelRidge
0.0,-1.2776889920206216,KernelRidge
8.771,7.672920656648294,KernelRidge
7.61,6.316691097294761,KernelRidge
5.111,4.902767420396856,KernelRidge
7.655,7.3174929023376905,KernelRidge
0.0,-0.26350978586385576,LinearRegression
0.0,-0.3130769218053251,LinearRegression
0.951,2.0537195098740693,LinearRegression
9.223,8.342217771985158,LinearRegression
7.666,7.412967177008763,LinearRegression
7.545,7.214088843982655,LinearRegression
6.632,7.580524445542025,LinearRegression
0.0,-0.18904736171648295,LinearRegression
4.722,6.207742829066961,LinearRegression
7.341,7.790066659851584,LinearRegression
5.001,5.4921156951235535,LinearRegression
0.838,1.0551842221098409,LinearRegression
4.603,5.176287810073254,LinearRegression
0.901,1.5333423016537857,LinearRegression
7.225,7.75993514577371,LinearRegression
5.447,6.530630468282828,LinearRegression
0.0,-1.3830484702037467,LinearRegression
8.771,7.637932713072525,LinearRegression
7.61,6.353101970462177,LinearRegression
5.111,4.968893079028919,LinearRegression
7.655,7.3037852972843735,LinearRegression
0.0,-0.387031041664728,RANSACRegressor
0.0,-0.31231593767412846,RANSACRegressor
0.951,2.171084241192963,RANSACRegressor
9.223,8.28375743668973,RANSACRegressor
7.666,7.4600825530185775,RANSACRegressor
7.545,6.834940377574725,RANSACRegressor
6.632,7.2147939544713555,RANSACRegressor
0.0,-0.2306066221847587,RANSACRegressor
4.722,5.862439217145103,RANSACRegressor
7.341,7.649589836426404,RANSACRegressor
5.001,5.437366768617704,RANSACRegressor
0.838,1.47276490357092,RANSACRegressor
4.603,5.395582794113366,RANSACRegressor
0.901,1.4059644864123961,RANSACRegressor
7.225,7.757807040146867,RANSACRegressor
5.447,6.345544624997597,RANSACRegressor
0.0,-0.9812947182235261,RANSACRegressor
8.771,7.5468114234465915,RANSACRegressor
7.61,6.6308719887832455,RANSACRegressor
5.111,5.031754102165958,RANSACRegressor
7.655,7.144710324707125,RANSACRegressor
0.0,-0.32581083014798207,TheilSenRegressor
0.0,-0.41020764279257094,TheilSenRegressor
0.951,2.1772607420544188,TheilSenRegressor
9.223,8.472248442506533,TheilSenRegressor
7.666,7.7847501573197455,TheilSenRegressor
7.545,7.15541030765454,TheilSenRegressor
6.632,7.780067551714474,TheilSenRegressor
0.0,-0.173176755327904,TheilSenRegressor
4.722,5.996119536804414,TheilSenRegressor
7.341,7.65478404178522,TheilSenRegressor
5.001,5.413047325427264,TheilSenRegressor
0.838,1.08331428350433,TheilSenRegressor
4.603,5.306112648765943,TheilSenRegressor
0.901,1.5216683395551338,TheilSenRegressor
7.225,8.087897221866747,TheilSenRegressor
5.447,6.701142791606642,TheilSenRegressor
0.0,-1.112557400439651,TheilSenRegressor
8.771,7.786057608221086,TheilSenRegressor
7.61,6.422311916971439,TheilSenRegressor
5.111,4.724528655794374,TheilSenRegressor
7.655,7.51867588070386,TheilSenRegressor
0.0,1.7006702423095703,TensorFlow
0.0,0.31914031505584717,TensorFlow
0.951,0.7678345441818237,TensorFlow
9.223,7.246570587158203,TensorFlow
7.666,5.66237211227417,TensorFlow
7.545,6.19389533996582,TensorFlow
6.632,7.341304779052734,TensorFlow
0.0,0.0030228793621063232,TensorFlow
4.722,6.89523983001709,TensorFlow
7.341,8.057212829589844,TensorFlow
5.001,4.81365966796875,TensorFlow
0.838,0.8924944996833801,TensorFlow
4.603,6.519628524780273,TensorFlow
0.901,0.48087388277053833,TensorFlow
7.225,7.761960029602051,TensorFlow
5.447,5.444008827209473,TensorFlow
0.0,1.0938851833343506,TensorFlow
8.771,9.863788604736328,TensorFlow
7.61,6.655064582824707,TensorFlow
5.111,4.685152530670166,TensorFlow
7.655,7.306464195251465,TensorFlow
