Actual,Predicted,Model
0.0,-0.19410557927045868,Ridge
0.0,-0.3156842372905384,Ridge
0.951,2.078244171269272,Ridge
9.223,8.328352217513633,Ridge
7.666,7.342027026320882,Ridge
7.545,7.228495398340526,Ridge
6.632,7.57774403959432,Ridge
0.0,-0.1735586495280419,Ridge
4.722,6.2148875334845926,Ridge
7.341,7.787323876202599,Ridge
5.001,5.471354480184099,Ridge
0.838,1.0920035170065292,Ridge
4.603,5.183067213384331,Ridge
0.901,1.526455504764935,Ridge
7.225,7.76625527273349,Ridge
5.447,6.534752541637566,Ridge
0.0,-1.3274742015720369,Ridge
8.771,7.658212610339511,Ridge
7.61,6.336748072943616,Ridge
5.111,4.93823621988912,Ridge
7.655,7.313069579882747,Ridge
0.0,0.0,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.951,1.117,DecisionTreeRegressor
9.223,8.061,DecisionTreeRegressor
7.666,3.514,DecisionTreeRegressor
7.545,6.422,DecisionTreeRegressor
6.632,7.7195,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
4.722,6.272,DecisionTreeRegressor
7.341,7.317,DecisionTreeRegressor
5.001,4.911,DecisionTreeRegressor
0.838,1.0,DecisionTreeRegressor
4.603,4.123,DecisionTreeRegressor
0.901,0.901,DecisionTreeRegressor
7.225,6.339,DecisionTreeRegressor
5.447,6.272,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
8.771,7.594,DecisionTreeRegressor
7.61,7.984,DecisionTreeRegressor
5.111,7.439,DecisionTreeRegressor
7.655,8.061,DecisionTreeRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
0.951,2.2026548798331262,GradientBoostingRegressor
9.223,6.4617144362433825,GradientBoostingRegressor
7.666,6.41449974020589,GradientBoostingRegressor
7.545,6.084611646685576,GradientBoostingRegressor
6.632,5.968661171260436,GradientBoostingRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
4.722,4.565321553702203,GradientBoostingRegressor
7.341,6.41449974020589,GradientBoostingRegressor
5.001,4.725337920615513,GradientBoostingRegressor
0.838,2.2026548798331262,GradientBoostingRegressor
4.603,4.585812490384023,GradientBoostingRegressor
0.901,2.1965467707850515,GradientBoostingRegressor
7.225,6.41449974020589,GradientBoostingRegressor
5.447,5.59155838170263,GradientBoostingRegressor
0.0,1.5911929411701409,GradientBoostingRegressor
8.771,6.41449974020589,GradientBoostingRegressor
7.61,6.41449974020589,GradientBoostingRegressor
5.111,4.585812490384023,GradientBoostingRegressor
7.655,6.4617144362433825,GradientBoostingRegressor
0.0,2.3097399999999997,RandomForestRegressor
0.0,0.5981200000000001,RandomForestRegressor
0.951,1.740710000000001,RandomForestRegressor
9.223,7.432980000000002,RandomForestRegressor
7.666,5.70546,RandomForestRegressor
7.545,7.189400000000001,RandomForestRegressor
6.632,7.352440000000001,RandomForestRegressor
0.0,0.03784,RandomForestRegressor
4.722,5.333639999999999,RandomForestRegressor
7.341,7.0356000000000005,RandomForestRegressor
5.001,4.704779999999999,RandomForestRegressor
0.838,1.4862199999999999,RandomForestRegressor
4.603,5.114600000000001,RandomForestRegressor
0.901,1.0504400000000003,RandomForestRegressor
7.225,7.467100000000001,RandomForestRegressor
5.447,6.390999999999999,RandomForestRegressor
0.0,2.13696,RandomForestRegressor
8.771,8.165800000000004,RandomForestRegressor
7.61,7.03176,RandomForestRegressor
5.111,4.406000000000001,RandomForestRegressor
7.655,7.08478,RandomForestRegressor
0.0,0.0,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
0.951,0.9734642857142853,AdaBoostRegressor
9.223,7.857140350877187,AdaBoostRegressor
7.666,7.708876712328771,AdaBoostRegressor
7.545,7.530537037037042,AdaBoostRegressor
6.632,7.384064516129029,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
4.722,4.581652173913043,AdaBoostRegressor
7.341,7.7342555555555625,AdaBoostRegressor
5.001,4.849928571428573,AdaBoostRegressor
0.838,0.9711875,AdaBoostRegressor
4.603,4.577304347826087,AdaBoostRegressor
0.901,0.9563333333333335,AdaBoostRegressor
7.225,7.671829268292685,AdaBoostRegressor
5.447,6.823450000000001,AdaBoostRegressor
0.0,0.0,AdaBoostRegressor
8.771,7.913787878787882,AdaBoostRegressor
7.61,7.6623414634146325,AdaBoostRegressor
5.111,4.5929512195121935,AdaBoostRegressor
7.655,7.770382978723409,AdaBoostRegressor
0.0,5.456514626736542,KNeighborsRegressor
0.0,1.5683917509839653,KNeighborsRegressor
0.951,2.3111828332925177,KNeighborsRegressor
9.223,7.276264440602404,KNeighborsRegressor
7.666,2.0483630567676765,KNeighborsRegressor
7.545,6.861344139849259,KNeighborsRegressor
6.632,7.139511673908754,KNeighborsRegressor
0.0,0.0,KNeighborsRegressor
4.722,7.52063782048316,KNeighborsRegressor
7.341,6.8807701676512645,KNeighborsRegressor
5.001,4.016156893813629,KNeighborsRegressor
0.838,2.5660606063424782,KNeighborsRegressor
4.603,5.963292861872127,KNeighborsRegressor
0.901,0.15580460253108028,KNeighborsRegressor
7.225,7.516595953322138,KNeighborsRegressor
5.447,6.224217278561947,KNeighborsRegressor
0.0,4.591410365373614,KNeighborsRegressor
8.771,8.827729621160286,KNeighborsRegressor
