Actual,Predicted,Model
0.0,0.8691268950998499,Ridge
0.0,0.8070843436994402,Ridge
0.0,4.742660234262651,Ridge
3.882,1.9551926406050377,Ridge
8.969,5.873560303416468,Ridge
7.156,4.954222044208748,Ridge
5.796,3.6547975185701524,Ridge
0.0,-0.10060911187142807,Ridge
2.541,2.152059837873754,Ridge
4.681,2.906992849206148,Ridge
3.634,2.378198643341225,Ridge
0.0,3.6509616717668756,Ridge
3.369,2.9809501091612773,Ridge
0.0,0.3916126064426919,Ridge
7.671,6.918358245969554,Ridge
6.807,4.375794406469332,Ridge
0.0,4.025425769487491,Ridge
5.709,4.5268147755478765,Ridge
3.783,2.2685631207699295,Ridge
5.042,5.015567986900528,Ridge
6.767,5.580830901424001,Ridge
0.0,4.996,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,6.134,DecisionTreeRegressor
3.882,7.7555,DecisionTreeRegressor
8.969,4.5255,DecisionTreeRegressor
7.156,0.0,DecisionTreeRegressor
5.796,3.814333333333334,DecisionTreeRegressor
0.0,0.4386666666666667,DecisionTreeRegressor
2.541,2.156333333333333,DecisionTreeRegressor
4.681,2.156333333333333,DecisionTreeRegressor
3.634,2.156333333333333,DecisionTreeRegressor
0.0,7.5,DecisionTreeRegressor
3.369,4.896,DecisionTreeRegressor
0.0,0.4386666666666667,DecisionTreeRegressor
7.671,4.896,DecisionTreeRegressor
6.807,4.179,DecisionTreeRegressor
0.0,7.5,DecisionTreeRegressor
5.709,6.735,DecisionTreeRegressor
3.783,0.0,DecisionTreeRegressor
5.042,4.0023333333333335,DecisionTreeRegressor
6.767,7.8340000000000005,DecisionTreeRegressor
0.0,3.188248222479745,GradientBoostingRegressor
0.0,3.188248222479745,GradientBoostingRegressor
0.0,3.3553838990481277,GradientBoostingRegressor
3.882,3.188248222479745,GradientBoostingRegressor
8.969,3.3553838990481277,GradientBoostingRegressor
7.156,3.3151932774435227,GradientBoostingRegressor
5.796,3.3151932774435227,GradientBoostingRegressor
0.0,3.188248222479745,GradientBoostingRegressor
2.541,3.188248222479745,GradientBoostingRegressor
4.681,3.188248222479745,GradientBoostingRegressor
3.634,3.188248222479745,GradientBoostingRegressor
0.0,3.3151932774435227,GradientBoostingRegressor
3.369,3.188248222479745,GradientBoostingRegressor
0.0,3.188248222479745,GradientBoostingRegressor
7.671,3.3553838990481277,GradientBoostingRegressor
6.807,3.3151932774435227,GradientBoostingRegressor
0.0,3.3151932774435227,GradientBoostingRegressor
5.709,3.3151932774435227,GradientBoostingRegressor
3.783,3.189183222479745,GradientBoostingRegressor
5.042,3.3553838990481277,GradientBoostingRegressor
6.767,3.3151932774435227,GradientBoostingRegressor
0.0,0.0,RandomForestRegressor
0.0,4.501,RandomForestRegressor
0.0,3.734,RandomForestRegressor
3.882,3.062,RandomForestRegressor
8.969,0.0,RandomForestRegressor
7.156,0.0,RandomForestRegressor
5.796,6.386,RandomForestRegressor
0.0,0.0,RandomForestRegressor
2.541,5.142,RandomForestRegressor
