Actual,Predicted,Model
0.0,0.8579570490314836,Ridge
0.0,0.7858639967141059,Ridge
0.0,4.745978153745728,Ridge
3.882,1.947944238138966,Ridge
8.969,5.878004765814573,Ridge
7.156,4.950289432509425,Ridge
5.796,3.649371357997179,Ridge
0.0,-0.11743543930834832,Ridge
2.541,2.1404943271420933,Ridge
4.681,2.8964919274825647,Ridge
3.634,2.3717125168631874,Ridge
0.0,3.647492208196283,Ridge
3.369,2.974757148689026,Ridge
0.0,0.37460096569245493,Ridge
7.671,6.929766068879648,Ridge
6.807,4.381112486318742,Ridge
0.0,4.020604296225443,Ridge
5.709,4.522204701273115,Ridge
3.783,2.249705603009442,Ridge
5.042,5.019988031399926,Ridge
6.767,5.593186014918569,Ridge
0.0,3.4894999999999996,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,8.8695,DecisionTreeRegressor
3.882,0.0,DecisionTreeRegressor
8.969,9.201,DecisionTreeRegressor
7.156,0.0,DecisionTreeRegressor
5.796,6.6545000000000005,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
2.541,0.4675,DecisionTreeRegressor
4.681,1.317,DecisionTreeRegressor
3.634,1.317,DecisionTreeRegressor
0.0,6.61,DecisionTreeRegressor
3.369,4.511,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
7.671,0.0,DecisionTreeRegressor
6.807,4.179,DecisionTreeRegressor
0.0,6.61,DecisionTreeRegressor
5.709,7.8615,DecisionTreeRegressor
3.783,0.0,DecisionTreeRegressor
5.042,4.838,DecisionTreeRegressor
6.767,6.61,DecisionTreeRegressor
0.0,3.188248222479745,GradientBoostingRegressor
0.0,3.188248222479745,GradientBoostingRegressor
0.0,3.3553838990481277,GradientBoostingRegressor
3.882,3.188248222479745,GradientBoostingRegressor
8.969,3.3553838990481277,GradientBoostingRegressor
7.156,3.3151932774435227,GradientBoostingRegressor
5.796,3.3151932774435227,GradientBoostingRegressor
0.0,3.188248222479745,GradientBoostingRegressor
2.541,3.188248222479745,GradientBoostingRegressor
4.681,3.188248222479745,GradientBoostingRegressor
3.634,3.188248222479745,GradientBoostingRegressor
0.0,3.3151932774435227,GradientBoostingRegressor
3.369,3.188248222479745,GradientBoostingRegressor
0.0,3.188248222479745,GradientBoostingRegressor
7.671,3.3553838990481277,GradientBoostingRegressor
6.807,3.3151932774435227,GradientBoostingRegressor
