Actual,Predicted,Model
0.0,0.8596452560582293,Ridge
0.0,0.7981329989385948,Ridge
0.0,4.745323147106394,Ridge
3.882,1.9561401316322602,Ridge
8.969,5.877127149049876,Ridge
7.156,4.9587881625392605,Ridge
5.796,3.65783878630506,Ridge
0.0,-0.10227700754211355,Ridge
2.541,2.1432291219427277,Ridge
4.681,2.898943364035212,Ridge
3.634,2.3768194805488676,Ridge
0.0,3.6572669313481683,Ridge
3.369,2.9837110952668198,Ridge
0.0,0.38966090137628484,Ridge
7.671,6.918573899114499,Ridge
6.807,4.379496599836735,Ridge
0.0,4.029494859926455,Ridge
5.709,4.519663093951429,Ridge
3.783,2.2625951125683663,Ridge
5.042,5.019049940510822,Ridge
6.767,5.579034518067072,Ridge
0.0,0.7215,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,7.224,DecisionTreeRegressor
3.882,3.062,DecisionTreeRegressor
8.969,4.5255,DecisionTreeRegressor
7.156,6.755,DecisionTreeRegressor
5.796,2.95,DecisionTreeRegressor
0.0,0.658,DecisionTreeRegressor
2.541,2.079,DecisionTreeRegressor
4.681,2.4245,DecisionTreeRegressor
3.634,0.0,DecisionTreeRegressor
0.0,4.6005,DecisionTreeRegressor
3.369,1.4225,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
7.671,4.6055,DecisionTreeRegressor
6.807,2.0895,DecisionTreeRegressor
0.0,5.6325,DecisionTreeRegressor
5.709,3.2295,DecisionTreeRegressor
3.783,5.073,DecisionTreeRegressor
5.042,6.803,DecisionTreeRegressor
6.767,5.167,DecisionTreeRegressor
0.0,3.188248222479745,GradientBoostingRegressor
0.0,3.188248222479745,GradientBoostingRegressor
0.0,3.3553838990481277,GradientBoostingRegressor
3.882,3.188248222479745,GradientBoostingRegressor
8.969,3.3553838990481277,GradientBoostingRegressor
7.156,3.3151932774435227,GradientBoostingRegressor
5.796,3.3151932774435227,GradientBoostingRegressor
0.0,3.188248222479745,GradientBoostingRegressor
2.541,3.188248222479745,GradientBoostingRegressor
4.681,3.188248222479745,GradientBoostingRegressor
3.634,3.188248222479745,GradientBoostingRegressor
0.0,3.3151932774435227,GradientBoostingRegressor
3.369,3.188248222479745,GradientBoostingRegressor
0.0,3.188248222479745,GradientBoostingRegressor
7.671,3.3553838990481277,GradientBoostingRegressor
6.807,3.3151932774435227,GradientBoostingRegressor
0.0,3.3151932774435227,GradientBoostingRegressor
5.709,3.3151932774435227,GradientBoostingRegressor
3.783,3.189183222479745,GradientBoostingRegressor
5.042,3.3553838990481277,GradientBoostingRegressor
6.767,3.3151932774435227,GradientBoostingRegressor
0.0,0.52525,RandomForestRegressor
0.0,1.0643333333333334,RandomForestRegressor
0.0,7.747800000000001,RandomForestRegressor
3.882,0.0,RandomForestRegressor
8.969,8.997,RandomForestRegressor
7.156,6.751,RandomForestRegressor
5.796,5.933,RandomForestRegressor
0.0,0.52525,RandomForestRegressor
2.541,4.032666666666667,RandomForestRegressor
4.681,4.032666666666667,RandomForestRegressor
3.634,7.141,RandomForestRegressor
0.0,6.471,RandomForestRegressor
3.369,1.4225,RandomForestRegressor
0.0,0.0,RandomForestRegressor
7.671,8.997,RandomForestRegressor
6.807,6.471,RandomForestRegressor
0.0,6.751,RandomForestRegressor
5.709,5.128,RandomForestRegressor
3.783,0.0,RandomForestRegressor
5.042,6.452714285714285,RandomForestRegressor
6.767,5.933,RandomForestRegressor
