Actual,Predicted,Model
0.0,0.9772388823694911,Ridge
0.0,0.921233093040545,Ridge
0.0,4.878075418154435,Ridge
3.882,2.066994344153983,Ridge
8.969,6.0100458927256675,Ridge
7.156,5.07232043969049,Ridge
5.796,3.770876975707008,Ridge
0.0,0.008355411247361388,Ridge
2.541,2.281676699781695,Ridge
4.681,3.035555054939646,Ridge
3.634,2.5037234789883307,Ridge
0.0,3.766996309383277,Ridge
3.369,3.098539176626918,Ridge
0.0,0.5033624416150921,Ridge
7.671,7.073957115642866,Ridge
6.807,4.489554761996658,Ridge
0.0,4.143593685660022,Ridge
5.709,4.640572537392579,Ridge
3.783,2.385636819954154,Ridge
5.042,5.147202602346432,Ridge
6.767,5.6950528377313425,Ridge
0.0,0.0,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,8.595333333333333,DecisionTreeRegressor
3.882,0.0,DecisionTreeRegressor
8.969,5.964666666666666,DecisionTreeRegressor
7.156,2.0446666666666666,DecisionTreeRegressor
5.796,4.2465,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
2.541,0.878,DecisionTreeRegressor
4.681,0.878,DecisionTreeRegressor
3.634,0.878,DecisionTreeRegressor
0.0,4.78,DecisionTreeRegressor
3.369,0.0,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
7.671,7.8389999999999995,DecisionTreeRegressor
6.807,4.163333333333333,DecisionTreeRegressor
0.0,4.78,DecisionTreeRegressor
5.709,0.0,DecisionTreeRegressor
3.783,1.586,DecisionTreeRegressor
5.042,8.336,DecisionTreeRegressor
6.767,4.1295,DecisionTreeRegressor
0.0,3.188248222479745,GradientBoostingRegressor
0.0,3.188248222479745,GradientBoostingRegressor
0.0,3.3553838990481277,GradientBoostingRegressor
3.882,3.188248222479745,GradientBoostingRegressor
8.969,3.3553838990481277,GradientBoostingRegressor
7.156,3.3151932774435227,GradientBoostingRegressor
5.796,3.3151932774435227,GradientBoostingRegressor
0.0,3.188248222479745,GradientBoostingRegressor
2.541,3.188248222479745,GradientBoostingRegressor
4.681,3.188248222479745,GradientBoostingRegressor
3.634,3.188248222479745,GradientBoostingRegressor
0.0,3.3151932774435227,GradientBoostingRegressor
3.369,3.188248222479745,GradientBoostingRegressor
0.0,3.188248222479745,GradientBoostingRegressor
7.671,3.3553838990481277,GradientBoostingRegressor
6.807,3.3151932774435227,GradientBoostingRegressor
0.0,3.3151932774435227,GradientBoostingRegressor
5.709,3.3151932774435227,GradientBoostingRegressor
3.783,3.189183222479745,GradientBoostingRegressor
5.042,3.3553838990481277,GradientBoostingRegressor
6.767,3.3151932774435227,GradientBoostingRegressor
0.0,0.0,RandomForestRegressor
0.0,0.48100000000000004,RandomForestRegressor
0.0,8.074777777777777,RandomForestRegressor
3.882,0.0,RandomForestRegressor
8.969,7.030714285714287,RandomForestRegressor
7.156,0.0,RandomForestRegressor
5.796,6.512833333333333,RandomForestRegressor
0.0,0.0,RandomForestRegressor
2.541,1.3928333333333331,RandomForestRegressor
4.681,1.3928333333333331,RandomForestRegressor
3.634,1.3928333333333331,RandomForestRegressor
0.0,0.0,RandomForestRegressor
3.369,1.1380000000000001,RandomForestRegressor
0.0,0.0,RandomForestRegressor
7.671,0.0,RandomForestRegressor
6.807,0.0,RandomForestRegressor
0.0,0.0,RandomForestRegressor
5.709,2.0193333333333334,RandomForestRegressor
3.783,0.0,RandomForestRegressor
5.042,8.562000000000001,RandomForestRegressor
6.767,6.512833333333333,RandomForestRegressor
0.0,0.3419024390243902,AdaBoostRegressor
0.0,0.3419024390243902,AdaBoostRegressor
0.0,7.269491525423727,AdaBoostRegressor
3.882,0.3419024390243902,AdaBoostRegressor
8.969,7.269491525423727,AdaBoostRegressor
7.156,2.953232142857144,AdaBoostRegressor
5.796,2.953232142857144,AdaBoostRegressor
0.0,0.3419024390243902,AdaBoostRegressor
2.541,3.2080937500000006,AdaBoostRegressor
4.681,3.2080937500000006,AdaBoostRegressor
