Actual,Predicted,Model
0.0,0.8006406243531003,Ridge
0.0,0.752082370481709,Ridge
0.0,4.806709657360788,Ridge
3.882,1.9838666585229028,Ridge
8.969,5.936065888854884,Ridge
7.156,4.998857913468811,Ridge
5.796,3.6945709068573933,Ridge
0.0,-0.08477143944746857,Ridge
2.541,2.114471327182059,Ridge
4.681,2.8660828347531044,Ridge
3.634,2.402616630735224,Ridge
0.0,3.723082702193622,Ridge
3.369,3.0291315959773506,Ridge
0.0,0.40537211752078406,Ridge
7.671,6.975608170923888,Ridge
6.807,4.414875110741793,Ridge
0.0,4.075940597124131,Ridge
5.709,4.454421457348385,Ridge
3.783,2.2331224362505324,Ridge
5.042,5.075950896170944,Ridge
6.767,5.558887444351196,Ridge
0.0,0.0,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,8.187666666666667,DecisionTreeRegressor
3.882,0.0,DecisionTreeRegressor
8.969,4.773666666666666,DecisionTreeRegressor
7.156,3.112,DecisionTreeRegressor
5.796,3.112,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
2.541,0.6930000000000001,DecisionTreeRegressor
4.681,2.952,DecisionTreeRegressor
3.634,3.3076666666666665,DecisionTreeRegressor
0.0,6.61,DecisionTreeRegressor
3.369,0.0,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
7.671,3.067,DecisionTreeRegressor
6.807,4.73,DecisionTreeRegressor
0.0,3.112,DecisionTreeRegressor
5.709,6.735,DecisionTreeRegressor
3.783,3.067,DecisionTreeRegressor
5.042,4.773666666666666,DecisionTreeRegressor
6.767,8.154666666666667,DecisionTreeRegressor
0.0,3.188248222479745,GradientBoostingRegressor
0.0,3.188248222479745,GradientBoostingRegressor
0.0,3.3553838990481277,GradientBoostingRegressor
3.882,3.188248222479745,GradientBoostingRegressor
8.969,3.3553838990481277,GradientBoostingRegressor
7.156,3.3151932774435227,GradientBoostingRegressor
5.796,3.3151932774435227,GradientBoostingRegressor
0.0,3.188248222479745,GradientBoostingRegressor
2.541,3.188248222479745,GradientBoostingRegressor
4.681,3.188248222479745,GradientBoostingRegressor
3.634,3.188248222479745,GradientBoostingRegressor
0.0,3.3151932774435227,GradientBoostingRegressor
3.369,3.188248222479745,GradientBoostingRegressor
0.0,3.188248222479745,GradientBoostingRegressor
7.671,3.3553838990481277,GradientBoostingRegressor
