Actual,Predicted,Model
0.0,0.8538298276712197,Ridge
0.0,0.7948306678039359,Ridge
0.0,4.7335766249721125,Ridge
3.882,1.9430410175662196,Ridge
8.969,5.865146823572168,Ridge
7.156,4.9436074289503615,Ridge
5.796,3.643407118821351,Ridge
0.0,-0.11031632490181309,Ridge
2.541,2.143060327945893,Ridge
4.681,2.898797868159356,Ridge
3.634,2.3721986889689255,Ridge
0.0,3.6405298487204263,Ridge
3.369,2.9688652897101555,Ridge
0.0,0.38159914443268406,Ridge
7.671,6.91139958470524,Ridge
6.807,4.361411215821917,Ridge
0.0,4.014168725510288,Ridge
5.709,4.511238709823505,Ridge
3.783,2.257439349303283,Ridge
5.042,5.007518420277478,Ridge
6.767,5.561429920530557,Ridge
0.0,0.0,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
0.0,8.8695,DecisionTreeRegressor
3.882,0.0,DecisionTreeRegressor
8.969,0.0,DecisionTreeRegressor
7.156,3.193,DecisionTreeRegressor
5.796,3.152,DecisionTreeRegressor
0.0,3.305,DecisionTreeRegressor
2.541,4.4485,DecisionTreeRegressor
4.681,4.4485,DecisionTreeRegressor
3.634,2.7445,DecisionTreeRegressor
0.0,2.379,DecisionTreeRegressor
3.369,0.0,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
7.671,7.445,DecisionTreeRegressor
6.807,4.179,DecisionTreeRegressor
0.0,0.0,DecisionTreeRegressor
5.709,6.735,DecisionTreeRegressor
3.783,0.0,DecisionTreeRegressor
5.042,6.803,DecisionTreeRegressor
6.767,8.311,DecisionTreeRegressor
0.0,3.188248222479745,GradientBoostingRegressor
0.0,3.188248222479745,GradientBoostingRegressor
0.0,3.3553838990481277,GradientBoostingRegressor
3.882,3.188248222479745,GradientBoostingRegressor
8.969,3.3553838990481277,GradientBoostingRegressor
7.156,3.3151932774435227,GradientBoostingRegressor
5.796,3.3151932774435227,GradientBoostingRegressor
0.0,3.188248222479745,GradientBoostingRegressor
2.541,3.188248222479745,GradientBoostingRegressor
4.681,3.188248222479745,GradientBoostingRegressor
3.634,3.188248222479745,GradientBoostingRegressor
0.0,3.3151932774435227,GradientBoostingRegressor
3.369,3.188248222479745,GradientBoostingRegressor
0.0,3.188248222479745,GradientBoostingRegressor
7.671,3.3553838990481277,GradientBoostingRegressor
6.807,3.3151932774435227,GradientBoostingRegressor
0.0,3.3151932774435227,GradientBoostingRegressor
5.709,3.3151932774435227,GradientBoostingRegressor
3.783,3.189183222479745,GradientBoostingRegressor
5.042,3.3553838990481277,GradientBoostingRegressor
6.767,3.3151932774435227,GradientBoostingRegressor
0.0,0.0,RandomForestRegressor
0.0,0.0,RandomForestRegressor
0.0,8.448,RandomForestRegressor
3.882,0.0,RandomForestRegressor
8.969,7.641,RandomForestRegressor
7.156,6.134,RandomForestRegressor
5.796,0.0,RandomForestRegressor
0.0,0.0,RandomForestRegressor
2.541,4.996,RandomForestRegressor
4.681,4.996,RandomForestRegressor
3.634,7.141,RandomForestRegressor
0.0,6.923,RandomForestRegressor
3.369,6.134,RandomForestRegressor
0.0,0.0,RandomForestRegressor
7.671,0.0,RandomForestRegressor
6.807,4.179,RandomForestRegressor
0.0,6.134,RandomForestRegressor
5.709,6.979,RandomForestRegressor
3.783,0.0,RandomForestRegressor
5.042,8.336,RandomForestRegressor
6.767,3.062,RandomForestRegressor
0.0,0.20259090909090913,AdaBoostRegressor
0.0,2.0085283018867925,AdaBoostRegressor
0.0,6.148806451612903,AdaBoostRegressor
3.882,0.812857142857143,AdaBoostRegressor
8.969,6.148806451612903,AdaBoostRegressor
7.156,4.477884615384617,AdaBoostRegressor
5.796,4.477884615384617,AdaBoostRegressor
0.0,0.20259090909090913,AdaBoostRegressor
2.541,0.20259090909090913,AdaBoostRegressor
4.681,0.20259090909090913,AdaBoostRegressor
3.634,6.725555555555555,AdaBoostRegressor
0.0,4.477884615384617,AdaBoostRegressor
3.369,0.812857142857143,AdaBoostRegressor
0.0,2.0085283018867925,AdaBoostRegressor
7.671,6.148806451612903,AdaBoostRegressor
6.807,4.477884615384617,AdaBoostRegressor
0.0,4.477884615384617,AdaBoostRegressor
5.709,4.477884615384617,AdaBoostRegressor
3.783,2.0085283018867925,AdaBoostRegressor
5.042,6.148806451612903,AdaBoostRegressor
6.767,4.477884615384617,AdaBoostRegressor
0.0,0.7378964574104383,KNeighborsRegressor
0.0,0.0,KNeighborsRegressor
0.0,7.6109422423805615,KNeighborsRegressor
3.882,0.47950860901440695,KNeighborsRegressor
8.969,0.0,KNeighborsRegressor
7.156,0.35592898405087864,KNeighborsRegressor
5.796,3.62623079159589,KNeighborsRegressor
0.0,0.0,KNeighborsRegressor
2.541,2.5874143931829745,KNeighborsRegressor
4.681,2.857730021491904,KNeighborsRegressor
3.634,6.6636459340042,KNeighborsRegressor
0.0,3.7557424495772596,KNeighborsRegressor
3.369,1.588028717809048,KNeighborsRegressor
0.0,0.7173701810293388,KNeighborsRegressor
7.671,7.070657747443815,KNeighborsRegressor
6.807,3.6666486245341856,KNeighborsRegressor
0.0,3.148844570661379,KNeighborsRegressor
5.709,4.557474325057,KNeighborsRegressor
3.783,2.0487695846129714,KNeighborsRegressor
5.042,6.072696726136795,KNeighborsRegressor
6.767,6.081766699733058,KNeighborsRegressor
0.0,-10.737667362752704,MLPRegressor
