Actual,Predicted,Model
10.0,11.580312045445666,Ridge
10.0,9.687589230826816,Ridge
10.0,7.799042557099457,Ridge
4.814,4.390398595645189,Ridge
1.801,1.3278341114087153,Ridge
1.741,-0.09331889751468303,Ridge
1.549,2.8959526979928802,Ridge
6.399,6.883860832412754,Ridge
4.206,5.444690371836453,Ridge
2.601,1.4594875414808626,Ridge
2.145,2.4459364906592396,Ridge
10.0,9.5948877597456,Ridge
3.684,5.753583084097136,Ridge
6.399,6.291619139425364,Ridge
2.077,2.0125818941574187,Ridge
1.472,1.827393722233868,Ridge
5.678,7.874088103742453,Ridge
2.905,2.152340386992726,Ridge
3.862,4.4138027295911355,Ridge
2.458,1.997629784575138,Ridge
4.516,3.7563320895968477,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.814,2.797,DecisionTreeRegressor
1.801,2.533,DecisionTreeRegressor
1.741,2.617,DecisionTreeRegressor
1.549,1.2465,DecisionTreeRegressor
6.399,7.659000000000001,DecisionTreeRegressor
4.206,4.0205,DecisionTreeRegressor
2.601,3.241,DecisionTreeRegressor
2.145,3.164,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.684,3.4,DecisionTreeRegressor
6.399,6.519,DecisionTreeRegressor
2.077,4.401,DecisionTreeRegressor
1.472,10.0,DecisionTreeRegressor
5.678,10.0,DecisionTreeRegressor
2.905,2.8964999999999996,DecisionTreeRegressor
3.862,3.7785,DecisionTreeRegressor
2.458,2.2675,DecisionTreeRegressor
4.516,3.7785,DecisionTreeRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
4.814,4.374792979409807,GradientBoostingRegressor
1.801,3.0775216840117356,GradientBoostingRegressor
1.741,3.2881638708386673,GradientBoostingRegressor
1.549,3.2044517972955657,GradientBoostingRegressor
6.399,6.099128217908333,GradientBoostingRegressor
4.206,3.9755790066713144,GradientBoostingRegressor
2.601,3.3748669852083015,GradientBoostingRegressor
2.145,3.168474529715448,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
3.684,3.3991466418596277,GradientBoostingRegressor
6.399,6.099128217908333,GradientBoostingRegressor
2.077,3.985106884585559,GradientBoostingRegressor
1.472,3.111170495136494,GradientBoostingRegressor
5.678,5.937529424153584,GradientBoostingRegressor
2.905,3.3124435274899935,GradientBoostingRegressor
3.862,4.30105761598396,GradientBoostingRegressor
2.458,2.9225982418569956,GradientBoostingRegressor
4.516,4.325337272635287,GradientBoostingRegressor
10.0,9.90208,RandomForestRegressor
10.0,9.84874,RandomForestRegressor
10.0,8.663820000000001,RandomForestRegressor
4.814,4.4797,RandomForestRegressor
1.801,2.4561800000000007,RandomForestRegressor
1.741,2.33358,RandomForestRegressor
1.549,2.073040000000001,RandomForestRegressor
6.399,6.8115000000000006,RandomForestRegressor
4.206,3.7471599999999996,RandomForestRegressor
2.601,2.591700000000001,RandomForestRegressor
2.145,1.9885999999999995,RandomForestRegressor
10.0,9.85364,RandomForestRegressor
3.684,2.9847199999999994,RandomForestRegressor
6.399,6.595540000000001,RandomForestRegressor
2.077,3.0170200000000023,RandomForestRegressor
1.472,3.4236799999999987,RandomForestRegressor
5.678,7.053140000000003,RandomForestRegressor
2.905,2.7641600000000004,RandomForestRegressor
3.862,3.324339999999999,RandomForestRegressor
2.458,2.0532800000000013,RandomForestRegressor
4.516,3.8482400000000005,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.814,4.06470731707317,AdaBoostRegressor
1.801,1.8183333333333334,AdaBoostRegressor
1.741,1.349824561403509,AdaBoostRegressor
1.549,1.8985000000000003,AdaBoostRegressor
6.399,7.298849999999999,AdaBoostRegressor
4.206,3.7531176470588243,AdaBoostRegressor
2.601,3.3143731343283585,AdaBoostRegressor
2.145,1.706,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.684,3.705499999999999,AdaBoostRegressor
6.399,7.224317073170734,AdaBoostRegressor
2.077,1.675,AdaBoostRegressor
1.472,2.096,AdaBoostRegressor
5.678,6.832164383561645,AdaBoostRegressor
2.905,2.8368666666666664,AdaBoostRegressor
3.862,3.651153846153846,AdaBoostRegressor
2.458,1.6808749999999995,AdaBoostRegressor
4.516,3.7172978723404264,AdaBoostRegressor
10.0,10.000000000000002,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
4.814,4.5635946599447355,KNeighborsRegressor
1.801,1.6707556236033243,KNeighborsRegressor
1.741,1.310371896171497,KNeighborsRegressor
1.549,2.05437451519133,KNeighborsRegressor
6.399,6.780765347705171,KNeighborsRegressor
4.206,4.605497429093073,KNeighborsRegressor
2.601,2.564100612512111,KNeighborsRegressor
2.145,0.06664260895853338,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
3.684,3.3622582409670225,KNeighborsRegressor
6.399,6.671836568074968,KNeighborsRegressor
2.077,3.137190028018567,KNeighborsRegressor
1.472,2.7168515314659354,KNeighborsRegressor
5.678,7.118999999999999,KNeighborsRegressor
2.905,2.824207064227172,KNeighborsRegressor
3.862,3.226,KNeighborsRegressor
