Actual,Predicted,Model
10.0,11.54852258209145,Ridge
10.0,9.612747081123981,Ridge
10.0,7.766778268862224,Ridge
4.814,4.407042666017511,Ridge
1.801,1.246931752762333,Ridge
1.741,-0.1749836087517096,Ridge
1.549,2.862059149187105,Ridge
6.399,6.837299036558312,Ridge
4.206,5.252731650729121,Ridge
2.601,1.4396973469388126,Ridge
2.145,2.3974573943078217,Ridge
10.0,9.724793276916621,Ridge
3.684,5.799919371750309,Ridge
6.399,6.255544995810999,Ridge
2.077,1.9238141323067577,Ridge
1.472,1.7676009634461072,Ridge
5.678,7.738697206397392,Ridge
2.905,2.1036392817301612,Ridge
3.862,4.508347962467433,Ridge
2.458,2.4782156389076158,Ridge
4.516,4.159802146508313,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,2.977,DecisionTreeRegressor
4.814,4.418,DecisionTreeRegressor
1.801,2.286,DecisionTreeRegressor
1.741,2.191,DecisionTreeRegressor
1.549,2.487,DecisionTreeRegressor
6.399,7.659000000000001,DecisionTreeRegressor
4.206,5.172000000000001,DecisionTreeRegressor
2.601,2.617,DecisionTreeRegressor
2.145,1.695,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.684,3.1875,DecisionTreeRegressor
6.399,7.659000000000001,DecisionTreeRegressor
2.077,2.617,DecisionTreeRegressor
1.472,2.402,DecisionTreeRegressor
5.678,6.639,DecisionTreeRegressor
2.905,2.665,DecisionTreeRegressor
3.862,2.402,DecisionTreeRegressor
2.458,2.412,DecisionTreeRegressor
4.516,5.297,DecisionTreeRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
4.814,4.374792979409807,GradientBoostingRegressor
1.801,3.077521684011735,GradientBoostingRegressor
1.741,3.2881638708386673,GradientBoostingRegressor
1.549,3.204451797295566,GradientBoostingRegressor
6.399,6.099128217908333,GradientBoostingRegressor
4.206,3.9755790066713135,GradientBoostingRegressor
2.601,3.3748669852083015,GradientBoostingRegressor
2.145,3.1684745297154486,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
3.684,3.3991466418596277,GradientBoostingRegressor
6.399,6.099128217908333,GradientBoostingRegressor
2.077,3.985106884585559,GradientBoostingRegressor
1.472,3.111170495136494,GradientBoostingRegressor
5.678,5.937529424153584,GradientBoostingRegressor
2.905,3.3124435274899935,GradientBoostingRegressor
3.862,4.30105761598396,GradientBoostingRegressor
2.458,2.922598241856996,GradientBoostingRegressor
4.516,4.325337272635287,GradientBoostingRegressor
10.0,9.63898,RandomForestRegressor
10.0,9.888399999999999,RandomForestRegressor
10.0,9.100550000000002,RandomForestRegressor
4.814,4.645554999999998,RandomForestRegressor
1.801,2.2931350000000013,RandomForestRegressor
1.741,2.389069999999999,RandomForestRegressor
1.549,2.0292499999999998,RandomForestRegressor
6.399,6.872210000000006,RandomForestRegressor
4.206,4.30355,RandomForestRegressor
2.601,2.686749999999999,RandomForestRegressor
2.145,2.1063199999999984,RandomForestRegressor
10.0,9.83883,RandomForestRegressor
3.684,3.03108,RandomForestRegressor
6.399,6.633380000000006,RandomForestRegressor
2.077,3.2493200000000018,RandomForestRegressor
