Actual,Predicted,Model
10.0,11.58444407300737,Ridge
10.0,9.687427335753037,Ridge
10.0,7.798889293759132,Ridge
4.814,4.390171708448601,Ridge
1.801,1.3245438140395698,Ridge
1.741,-0.0939788549848144,Ridge
1.549,2.89549228804548,Ridge
6.399,6.883698613418945,Ridge
4.206,5.4464141526346985,Ridge
2.601,1.4597867610046578,Ridge
2.145,2.4464737419619103,Ridge
10.0,9.594915236996123,Ridge
3.684,5.753673008752072,Ridge
6.399,6.2920735865310355,Ridge
2.077,2.0087332516161056,Ridge
1.472,1.828334955254987,Ridge
5.678,7.8738393694814155,Ridge
2.905,2.1524749427124985,Ridge
3.862,4.414474247925,Ridge
2.458,1.9986402515863664,Ridge
4.516,3.7572094196264176,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.814,4.608499999999999,DecisionTreeRegressor
1.801,1.621,DecisionTreeRegressor
1.741,2.617,DecisionTreeRegressor
1.549,1.7545000000000002,DecisionTreeRegressor
6.399,7.119,DecisionTreeRegressor
4.206,3.884,DecisionTreeRegressor
2.601,2.792,DecisionTreeRegressor
2.145,2.502,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.684,2.904,DecisionTreeRegressor
6.399,5.678,DecisionTreeRegressor
2.077,3.6525,DecisionTreeRegressor
1.472,2.583,DecisionTreeRegressor
5.678,5.678,DecisionTreeRegressor
2.905,2.792,DecisionTreeRegressor
3.862,3.042,DecisionTreeRegressor
2.458,1.142,DecisionTreeRegressor
4.516,3.042,DecisionTreeRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
4.814,4.374792979409807,GradientBoostingRegressor
1.801,3.070699141008774,GradientBoostingRegressor
1.741,3.288163870838668,GradientBoostingRegressor
1.549,3.204451797295566,GradientBoostingRegressor
6.399,6.099128217908333,GradientBoostingRegressor
4.206,3.9755790066713144,GradientBoostingRegressor
2.601,3.3748669852083015,GradientBoostingRegressor
2.145,3.1684745297154486,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
3.684,3.3991466418596277,GradientBoostingRegressor
6.399,6.099128217908333,GradientBoostingRegressor
2.077,3.9782843415825977,GradientBoostingRegressor
1.472,3.111170495136494,GradientBoostingRegressor
5.678,5.937529424153584,GradientBoostingRegressor
2.905,3.312443527489994,GradientBoostingRegressor
3.862,4.30105761598396,GradientBoostingRegressor
2.458,2.922598241856995,GradientBoostingRegressor
4.516,4.325337272635287,GradientBoostingRegressor
10.0,9.51244,RandomForestRegressor
10.0,9.79832,RandomForestRegressor
10.0,8.78838,RandomForestRegressor
4.814,4.53426,RandomForestRegressor
1.801,2.296320000000002,RandomForestRegressor
1.741,2.4022900000000003,RandomForestRegressor
1.549,2.066760000000001,RandomForestRegressor
6.399,6.672259999999999,RandomForestRegressor
4.206,4.6893600000000015,RandomForestRegressor
2.601,2.756840000000001,RandomForestRegressor
2.145,1.95062,RandomForestRegressor
10.0,9.85476,RandomForestRegressor
3.684,3.211960000000001,RandomForestRegressor
6.399,6.766039999999999,RandomForestRegressor
2.077,3.0525800000000007,RandomForestRegressor
1.472,3.2356199999999995,RandomForestRegressor
5.678,6.811100000000005,RandomForestRegressor
2.905,2.6569599999999998,RandomForestRegressor
3.862,3.425920000000001,RandomForestRegressor
2.458,2.42556,RandomForestRegressor
4.516,3.7062400000000015,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.814,4.045989130434788,AdaBoostRegressor
1.801,1.7376875,AdaBoostRegressor
1.741,1.5374025974025982,AdaBoostRegressor
1.549,2.2138400000000007,AdaBoostRegressor
6.399,7.158933333333333,AdaBoostRegressor
4.206,3.907616279069765,AdaBoostRegressor
2.601,2.9088101265822788,AdaBoostRegressor
2.145,1.995625,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.684,3.698,AdaBoostRegressor
6.399,7.10055,AdaBoostRegressor
2.077,1.9221153846153844,AdaBoostRegressor
1.472,2.463533333333333,AdaBoostRegressor
5.678,6.835571428571427,AdaBoostRegressor
2.905,2.9535625000000003,AdaBoostRegressor
3.862,3.5797611940298517,AdaBoostRegressor
2.458,1.7043333333333328,AdaBoostRegressor
4.516,3.882,AdaBoostRegressor
10.0,10.000000000000002,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
4.814,4.5635946599447355,KNeighborsRegressor
1.801,1.6707556236033243,KNeighborsRegressor
1.741,1.310371896171497,KNeighborsRegressor
1.549,2.05437451519133,KNeighborsRegressor
6.399,6.780765347705171,KNeighborsRegressor
4.206,4.605497429093073,KNeighborsRegressor
2.601,2.564100612512111,KNeighborsRegressor
2.145,0.06664260895853338,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
3.684,3.3622582409670225,KNeighborsRegressor
6.399,6.671836568074968,KNeighborsRegressor
2.077,3.137190028018567,KNeighborsRegressor
1.472,2.7168515314659354,KNeighborsRegressor
5.678,7.118999999999999,KNeighborsRegressor
2.905,2.824207064227172,KNeighborsRegressor
3.862,3.226,KNeighborsRegressor
2.458,1.574356739433152,KNeighborsRegressor
4.516,3.6743560955792076,KNeighborsRegressor
10.0,9.954241940254835,MLPRegressor
10.0,10.007148335563791,MLPRegressor
10.0,9.975046406930327,MLPRegressor
4.814,4.296605640125904,MLPRegressor
1.801,3.130658350761,MLPRegressor
1.741,1.5107998072279691,MLPRegressor
1.549,1.6925014776699547,MLPRegressor
6.399,6.249209948744077,MLPRegressor
4.206,4.199602520015521,MLPRegressor
2.601,2.690565852531212,MLPRegressor
2.145,2.2584961592049213,MLPRegressor
10.0,9.98835661649677,MLPRegressor
3.684,4.731622760868197,MLPRegressor
6.399,6.123063059983153,MLPRegressor
2.077,2.2608775028707324,MLPRegressor
1.472,2.2182075514330784,MLPRegressor
5.678,7.101326953788208,MLPRegressor
2.905,3.4195274220382785,MLPRegressor
3.862,4.007644015469939,MLPRegressor
2.458,0.7466797205110596,MLPRegressor
4.516,4.270868215476238,MLPRegressor
10.0,8.005435014951885,ElasticNet
10.0,7.910371781488928,ElasticNet
10.0,6.466210985840409,ElasticNet
4.814,4.035793929906807,ElasticNet
1.801,2.566107883928366,ElasticNet
1.741,1.5240279017737648,ElasticNet
1.549,3.6692654869274888,ElasticNet
6.399,6.881395681074714,ElasticNet
4.206,5.091735220521976,ElasticNet
2.601,1.9031076758181684,ElasticNet
2.145,3.133066337526995,ElasticNet
10.0,7.003083077985135,ElasticNet
3.684,5.0671070405308205,ElasticNet
6.399,6.51931429631186,ElasticNet
2.077,1.8459841141542914,ElasticNet
1.472,3.6821077167311977,ElasticNet
5.678,6.65948669546026,ElasticNet
2.905,2.55320135039886,ElasticNet
3.862,4.032204109552642,ElasticNet
2.458,3.2842270436629604,ElasticNet
4.516,3.924026859990836,ElasticNet
10.0,11.862515748297277,SGDRegressor
10.0,9.657861464062185,SGDRegressor
10.0,7.955231608346809,SGDRegressor
4.814,4.62974166792827,SGDRegressor
1.801,1.2484373915670068,SGDRegressor
1.741,0.35615940072408936,SGDRegressor
1.549,2.451347458743937,SGDRegressor
6.399,6.45310331819531,SGDRegressor
4.206,5.726064758963211,SGDRegressor
2.601,1.9172629617222507,SGDRegressor
2.145,2.788110856069646,SGDRegressor
10.0,9.604614807042122,SGDRegressor
3.684,6.088382897564276,SGDRegressor
6.399,5.944652436847124,SGDRegressor
2.077,2.678819499750485,SGDRegressor
1.472,1.2679848262355238,SGDRegressor
5.678,8.148610138253392,SGDRegressor
2.905,2.4494518745576546,SGDRegressor
3.862,4.813729024178374,SGDRegressor
2.458,1.4313277453801216,SGDRegressor
4.516,4.356819209840896,SGDRegressor
10.0,11.293900884154752,BayesianRidge
10.0,9.611943846991025,BayesianRidge
10.0,7.735795649552927,BayesianRidge
4.814,4.482118761371064,BayesianRidge
1.801,1.4319782947271391,BayesianRidge
1.741,-0.10631294544986414,BayesianRidge
1.549,2.9379958024293584,BayesianRidge
6.399,6.824051216436489,BayesianRidge
4.206,5.440065020748642,BayesianRidge
2.601,1.4717106894488263,BayesianRidge
2.145,2.4754557860909587,BayesianRidge
10.0,9.493284718093564,BayesianRidge
3.684,5.761606006727185,BayesianRidge
6.399,6.323571851682303,BayesianRidge
2.077,1.8986199665320709,BayesianRidge
1.472,1.97010415923679,BayesianRidge
5.678,7.805693775491707,BayesianRidge
2.905,2.1305206355623323,BayesianRidge
3.862,4.371770220577722,BayesianRidge
2.458,2.0650871422190447,BayesianRidge
4.516,3.715035031005261,BayesianRidge
10.0,10.476711921504073,KernelRidge
10.0,11.011370087751146,KernelRidge
10.0,7.360512749044322,KernelRidge
4.814,5.212134595872945,KernelRidge
1.801,2.5860083196598893,KernelRidge
1.741,1.7162137232600914,KernelRidge
1.549,2.069664644215622,KernelRidge
6.399,7.102558143016313,KernelRidge
4.206,4.9677112737790505,KernelRidge
2.601,2.305722643458812,KernelRidge
2.145,1.678739778986019,KernelRidge
10.0,9.440953594476532,KernelRidge
3.684,4.2219156165845755,KernelRidge
6.399,6.5524837526405495,KernelRidge
2.077,1.9189992601770123,KernelRidge
1.472,0.9446153366817116,KernelRidge
5.678,5.71744457955256,KernelRidge
2.905,1.9713848695113527,KernelRidge
3.862,4.104567419826235,KernelRidge
2.458,2.250177123929493,KernelRidge
4.516,4.469744536958448,KernelRidge
10.0,11.665422246428301,LinearRegression
10.0,9.706596695176561,LinearRegression
10.0,7.810049522911526,LinearRegression
4.814,4.36074056448763,LinearRegression
1.801,1.2811141013751772,LinearRegression
1.741,-0.08940002851891293,LinearRegression
1.549,2.8886082667538857,LinearRegression
6.399,6.904345607498367,LinearRegression
4.206,5.456449205083173,LinearRegression
2.601,1.458242395953254,LinearRegression
2.145,2.4376527713579432,LinearRegression
10.0,9.611290056917886,LinearRegression
3.684,5.746278594007493,LinearRegression
6.399,6.2876250089944925,LinearRegression
2.077,2.0309040580819944,LinearRegression
1.472,1.8022653723999693,LinearRegression
5.678,7.882535299569325,LinearRegression
2.905,2.1640511178740813,LinearRegression
3.862,4.426861150657695,LinearRegression
2.458,1.9873254749423417,LinearRegression
4.516,3.7652141328701627,LinearRegression
10.0,11.742129380969448,RANSACRegressor
10.0,10.09759428719768,RANSACRegressor
10.0,8.760788660423255,RANSACRegressor
4.814,3.8778876883216054,RANSACRegressor
1.801,0.12310700151367637,RANSACRegressor
1.741,-0.23291278196834586,RANSACRegressor
1.549,2.4957891149830913,RANSACRegressor
6.399,6.3259434584736844,RANSACRegressor
4.206,5.616118244326884,RANSACRegressor
2.601,1.5650788413303305,RANSACRegressor
2.145,3.043819472626737,RANSACRegressor
10.0,9.95946658724026,RANSACRegressor
3.684,5.535517348564939,RANSACRegressor
6.399,6.01428687484887,RANSACRegressor
2.077,2.699461330684254,RANSACRegressor
1.472,2.3203506268340433,RANSACRegressor
5.678,8.27201729369529,RANSACRegressor
