Actual,Predicted,Model
10.0,11.437625387887437,Ridge
10.0,9.591710933965981,Ridge
10.0,7.78893719837173,Ridge
4.814,4.425543134941491,Ridge
1.801,1.5528462893998567,Ridge
1.741,-0.026479942770113674,Ridge
1.549,2.9571252609799528,Ridge
6.399,6.807304328839921,Ridge
4.206,5.286538883757998,Ridge
2.601,1.4980367257743445,Ridge
2.145,2.4052626367748853,Ridge
10.0,9.710794350240757,Ridge
3.684,5.836497561160706,Ridge
6.399,6.243893032640527,Ridge
2.077,2.093235565859861,Ridge
1.472,1.8828837741749083,Ridge
5.678,7.923270406488141,Ridge
2.905,2.132616864090669,Ridge
3.862,4.601160071371666,Ridge
2.458,1.9535897148642047,Ridge
4.516,3.7964469912576098,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.814,4.5115,DecisionTreeRegressor
1.801,1.939,DecisionTreeRegressor
1.741,0.14433333333333334,DecisionTreeRegressor
1.549,1.1966666666666665,DecisionTreeRegressor
6.399,6.399,DecisionTreeRegressor
4.206,5.172000000000001,DecisionTreeRegressor
2.601,2.8976666666666664,DecisionTreeRegressor
2.145,2.3125,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.684,2.0825,DecisionTreeRegressor
6.399,6.399,DecisionTreeRegressor
2.077,0.14433333333333334,DecisionTreeRegressor
1.472,2.7,DecisionTreeRegressor
5.678,7.119,DecisionTreeRegressor
2.905,3.201,DecisionTreeRegressor
3.862,3.234666666666667,DecisionTreeRegressor
2.458,0.14433333333333334,DecisionTreeRegressor
4.516,3.234666666666667,DecisionTreeRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
4.814,4.374792979409807,GradientBoostingRegressor
1.801,3.0775216840117356,GradientBoostingRegressor
1.741,3.2881638708386673,GradientBoostingRegressor
1.549,3.2044517972955657,GradientBoostingRegressor
6.399,6.099128217908333,GradientBoostingRegressor
4.206,3.9755790066713144,GradientBoostingRegressor
2.601,3.3748669852083015,GradientBoostingRegressor
2.145,3.168474529715448,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
3.684,3.3991466418596277,GradientBoostingRegressor
6.399,6.099128217908333,GradientBoostingRegressor
2.077,3.985106884585559,GradientBoostingRegressor
1.472,3.111170495136494,GradientBoostingRegressor
5.678,5.937529424153584,GradientBoostingRegressor
2.905,3.3124435274899935,GradientBoostingRegressor
3.862,4.30105761598396,GradientBoostingRegressor
2.458,2.9225982418569956,GradientBoostingRegressor
4.516,4.325337272635287,GradientBoostingRegressor
10.0,9.74768,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,8.932780000000001,RandomForestRegressor
4.814,4.502000000000001,RandomForestRegressor
1.801,2.72454,RandomForestRegressor
1.741,2.0054,RandomForestRegressor
1.549,2.1313800000000014,RandomForestRegressor
6.399,7.186040000000003,RandomForestRegressor
4.206,4.4467000000000025,RandomForestRegressor
2.601,2.6461600000000005,RandomForestRegressor
2.145,1.9254999999999995,RandomForestRegressor
10.0,9.91356,RandomForestRegressor
3.684,3.1548000000000007,RandomForestRegressor
6.399,6.5451,RandomForestRegressor
2.077,2.8975200000000005,RandomForestRegressor
1.472,3.909259999999998,RandomForestRegressor
5.678,6.996780000000002,RandomForestRegressor
2.905,2.6255600000000006,RandomForestRegressor
3.862,3.9182800000000015,RandomForestRegressor
2.458,2.017900000000001,RandomForestRegressor
4.516,3.6924200000000003,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.814,3.8817179487179487,AdaBoostRegressor
1.801,2.5317,AdaBoostRegressor
1.741,1.467239436619718,AdaBoostRegressor
1.549,2.286866666666667,AdaBoostRegressor
6.399,7.132941176470588,AdaBoostRegressor
4.206,3.6184090909090894,AdaBoostRegressor
