Actual,Predicted,Model
10.0,11.595226369997754,Ridge
10.0,10.4036479698824,Ridge
10.0,7.746375479413121,Ridge
4.814,4.306780335893282,Ridge
1.801,1.053190245700701,Ridge
1.741,0.5567991020766412,Ridge
1.549,2.7863021341642793,Ridge
6.399,6.7856375113865415,Ridge
4.206,5.292037142730012,Ridge
2.601,1.212908002456544,Ridge
2.145,2.2828321002183403,Ridge
10.0,9.621301921963326,Ridge
3.684,5.756400778380262,Ridge
6.399,6.229657895048123,Ridge
2.077,1.792025202080156,Ridge
1.472,1.7143373567270759,Ridge
5.678,8.585396375231468,Ridge
2.905,1.926166128960301,Ridge
3.862,5.336996111885581,Ridge
2.458,1.8780970367582621,Ridge
4.516,3.7712152428756625,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.814,4.766500000000001,DecisionTreeRegressor
1.801,4.855,DecisionTreeRegressor
1.741,2.497,DecisionTreeRegressor
1.549,2.502,DecisionTreeRegressor
6.399,6.519,DecisionTreeRegressor
4.206,5.172000000000001,DecisionTreeRegressor
2.601,2.7335000000000003,DecisionTreeRegressor
2.145,1.779,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.684,2.261,DecisionTreeRegressor
6.399,6.519,DecisionTreeRegressor
2.077,4.855,DecisionTreeRegressor
1.472,2.402,DecisionTreeRegressor
5.678,7.119,DecisionTreeRegressor
2.905,2.502,DecisionTreeRegressor
3.862,3.7785,DecisionTreeRegressor
2.458,3.141,DecisionTreeRegressor
4.516,3.7785,DecisionTreeRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
4.814,4.374792979409807,GradientBoostingRegressor
1.801,3.0775216840117356,GradientBoostingRegressor
1.741,3.2881638708386673,GradientBoostingRegressor
1.549,3.2044517972955657,GradientBoostingRegressor
6.399,6.099128217908333,GradientBoostingRegressor
4.206,3.9755790066713144,GradientBoostingRegressor
2.601,3.3748669852083015,GradientBoostingRegressor
2.145,3.168474529715448,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
3.684,3.3991466418596277,GradientBoostingRegressor
6.399,6.099128217908333,GradientBoostingRegressor
2.077,3.985106884585559,GradientBoostingRegressor
1.472,3.111170495136494,GradientBoostingRegressor
5.678,5.937529424153584,GradientBoostingRegressor
2.905,3.3124435274899935,GradientBoostingRegressor
3.862,4.30105761598396,GradientBoostingRegressor
2.458,2.922598241856996,GradientBoostingRegressor
4.516,4.325337272635287,GradientBoostingRegressor
10.0,9.5268,RandomForestRegressor
10.0,9.7623,RandomForestRegressor
10.0,9.294080000000001,RandomForestRegressor
4.814,4.640319999999999,RandomForestRegressor
1.801,2.6752800000000008,RandomForestRegressor
1.741,2.2358200000000004,RandomForestRegressor
1.549,1.7449200000000007,RandomForestRegressor
6.399,6.8019000000000025,RandomForestRegressor
4.206,4.1296800000000005,RandomForestRegressor
2.601,2.696200000000001,RandomForestRegressor
2.145,1.9423000000000001,RandomForestRegressor
10.0,9.84754,RandomForestRegressor
3.684,3.30276,RandomForestRegressor
6.399,6.151400000000003,RandomForestRegressor
2.077,3.004640000000001,RandomForestRegressor
1.472,2.961959999999999,RandomForestRegressor
5.678,7.174140000000005,RandomForestRegressor
2.905,2.6451599999999997,RandomForestRegressor
3.862,3.5069200000000005,RandomForestRegressor
2.458,2.1903400000000004,RandomForestRegressor
4.516,3.8038600000000016,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.814,4.099181818181819,AdaBoostRegressor
1.801,2.1120769230769225,AdaBoostRegressor
1.741,1.7563278688524586,AdaBoostRegressor
1.549,2.449305084745762,AdaBoostRegressor
6.399,6.961052631578947,AdaBoostRegressor
4.206,3.8784666666666663,AdaBoostRegressor
2.601,3.306297297297297,AdaBoostRegressor
2.145,2.1850833333333335,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.684,3.689588235294118,AdaBoostRegressor
6.399,6.961052631578947,AdaBoostRegressor
2.077,2.0592105263157894,AdaBoostRegressor
1.472,2.437,AdaBoostRegressor
5.678,6.622466666666666,AdaBoostRegressor
2.905,2.972294117647058,AdaBoostRegressor
3.862,3.585,AdaBoostRegressor
2.458,1.5349130434782605,AdaBoostRegressor
4.516,3.585,AdaBoostRegressor
10.0,7.774961409343315,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
4.814,4.636471794620226,KNeighborsRegressor
1.801,2.2429982675514943,KNeighborsRegressor
1.741,2.079318871372141,KNeighborsRegressor
1.549,1.7738429661107467,KNeighborsRegressor
6.399,7.0868094867764695,KNeighborsRegressor
4.206,4.366183573192963,KNeighborsRegressor
2.601,2.705466809928502,KNeighborsRegressor
2.145,1.1072954602141059,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
3.684,3.0969502977144323,KNeighborsRegressor
6.399,6.301267047758294,KNeighborsRegressor
2.077,2.3000848389522557,KNeighborsRegressor
1.472,3.1496798648262314,KNeighborsRegressor
5.678,6.718287563406951,KNeighborsRegressor
2.905,2.913265216339379,KNeighborsRegressor
3.862,3.5268662245350355,KNeighborsRegressor
2.458,3.099967356467931,KNeighborsRegressor
4.516,3.231635066903795,KNeighborsRegressor
10.0,9.991403142640323,MLPRegressor
10.0,9.98505951077168,MLPRegressor
10.0,10.116621618533358,MLPRegressor
4.814,4.545023814687169,MLPRegressor
1.801,2.31873519539814,MLPRegressor
1.741,1.7825051287272613,MLPRegressor
1.549,2.2142493241964685,MLPRegressor
6.399,6.178025144811472,MLPRegressor
4.206,4.209558268486784,MLPRegressor
2.601,2.3903207356418177,MLPRegressor
2.145,1.9761323728997207,MLPRegressor
10.0,9.940687982488459,MLPRegressor
3.684,3.7415370920391444,MLPRegressor
6.399,6.3036728833189155,MLPRegressor
2.077,2.155115854196765,MLPRegressor
1.472,1.8106117125836327,MLPRegressor
5.678,8.090343327953887,MLPRegressor
2.905,3.191076836445721,MLPRegressor
3.862,3.853761522866666,MLPRegressor
2.458,0.8387814644562513,MLPRegressor
4.516,4.206141864178033,MLPRegressor
10.0,8.005476478764312,ElasticNet
10.0,7.910396707567841,ElasticNet
10.0,6.4662143878129505,ElasticNet
4.814,4.035754379568106,ElasticNet
1.801,2.566118132622456,ElasticNet
1.741,1.5239700513071228,ElasticNet
1.549,3.6693105526389576,ElasticNet
6.399,6.881433365635083,ElasticNet
4.206,5.091735677889852,ElasticNet
2.601,1.9030534797989538,ElasticNet
2.145,3.1329729165974407,ElasticNet
10.0,7.003129126056532,ElasticNet
3.684,5.067109106032071,ElasticNet
6.399,6.519358825433406,ElasticNet
2.077,1.845882780803688,ElasticNet
1.472,3.6821315130062144,ElasticNet
5.678,6.659548226962523,ElasticNet
2.905,2.5531895267219595,ElasticNet
3.862,4.0321917776912075,ElasticNet
2.458,3.284187536267308,ElasticNet
4.516,3.9240246299597565,ElasticNet
10.0,11.205782967284561,SGDRegressor
10.0,10.62696616570951,SGDRegressor
10.0,7.690798480521359,SGDRegressor
4.814,4.247938129427204,SGDRegressor
1.801,1.251393616664791,SGDRegressor
1.741,0.7108321950127658,SGDRegressor
1.549,2.7799949605946006,SGDRegressor
6.399,7.199830917492665,SGDRegressor
4.206,4.83631549062349,SGDRegressor
2.601,1.1829894869983182,SGDRegressor
2.145,2.1318397584934257,SGDRegressor
10.0,9.634494348719755,SGDRegressor
3.684,5.692367006962337,SGDRegressor
6.399,6.645828871500937,SGDRegressor
2.077,1.681265469999115,SGDRegressor
1.472,1.4278790856948151,SGDRegressor
5.678,9.114567910615545,SGDRegressor
2.905,1.8277705135220605,SGDRegressor
3.862,5.1436106531708345,SGDRegressor
2.458,1.8408172148485855,SGDRegressor
4.516,3.437824987403227,SGDRegressor
10.0,11.298774365042881,BayesianRidge
10.0,10.313971375251466,BayesianRidge
10.0,7.683631340581069,BayesianRidge
4.814,4.406232870514319,BayesianRidge
