Actual,Predicted,Model
10.0,11.549818047285719,Ridge
10.0,9.675255405800009,Ridge
10.0,7.791736222075452,Ridge
4.814,4.409068431312283,Ridge
1.801,1.4062310496625567,Ridge
1.741,-0.05861035934365244,Ridge
1.549,2.8997118794982226,Ridge
6.399,6.872160485087962,Ridge
4.206,5.439572765469736,Ridge
2.601,1.470182773630056,Ridge
2.145,2.4497354979096673,Ridge
10.0,9.591856635013604,Ridge
3.684,5.764589466951589,Ridge
6.399,6.282640412468432,Ridge
2.077,2.052348146876511,Ridge
1.472,1.8246842458954182,Ridge
5.678,7.915987243416502,Ridge
2.905,2.1544814165229074,Ridge
3.862,4.442578671292277,Ridge
2.458,1.8950474506666328,Ridge
4.516,3.7014616654341674,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.814,5.0569999999999995,DecisionTreeRegressor
1.801,2.485,DecisionTreeRegressor
1.741,1.1633333333333333,DecisionTreeRegressor
1.549,2.4606666666666666,DecisionTreeRegressor
6.399,6.399,DecisionTreeRegressor
4.206,4.0205,DecisionTreeRegressor
2.601,2.189666666666666,DecisionTreeRegressor
2.145,1.1633333333333333,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.684,2.7199999999999998,DecisionTreeRegressor
6.399,6.399,DecisionTreeRegressor
2.077,0.4663333333333333,DecisionTreeRegressor
1.472,2.8335,DecisionTreeRegressor
5.678,7.119,DecisionTreeRegressor
2.905,2.595666666666667,DecisionTreeRegressor
3.862,3.3810000000000002,DecisionTreeRegressor
2.458,2.608,DecisionTreeRegressor
4.516,5.124499999999999,DecisionTreeRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
4.814,4.374792979409807,GradientBoostingRegressor
1.801,3.0706991410087743,GradientBoostingRegressor
1.741,3.2881638708386673,GradientBoostingRegressor
1.549,3.2044517972955657,GradientBoostingRegressor
6.399,6.099128217908333,GradientBoostingRegressor
4.206,3.9755790066713144,GradientBoostingRegressor
2.601,3.3748669852083015,GradientBoostingRegressor
2.145,3.168474529715448,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
3.684,3.3991466418596277,GradientBoostingRegressor
6.399,6.099128217908333,GradientBoostingRegressor
2.077,3.9782843415825977,GradientBoostingRegressor
1.472,3.111170495136494,GradientBoostingRegressor
5.678,5.937529424153584,GradientBoostingRegressor
2.905,3.3124435274899935,GradientBoostingRegressor
3.862,4.30105761598396,GradientBoostingRegressor
2.458,2.9225982418569956,GradientBoostingRegressor
4.516,4.325337272635287,GradientBoostingRegressor
10.0,9.83282,RandomForestRegressor
10.0,10.0,RandomForestRegressor
10.0,9.368900000000002,RandomForestRegressor
4.814,4.54888,RandomForestRegressor
1.801,2.192500000000001,RandomForestRegressor
1.741,2.2333,RandomForestRegressor
1.549,1.9074800000000007,RandomForestRegressor
6.399,6.768260000000001,RandomForestRegressor
4.206,4.2992799999999995,RandomForestRegressor
2.601,2.6789000000000005,RandomForestRegressor
2.145,2.1632,RandomForestRegressor
10.0,9.875779999999999,RandomForestRegressor
3.684,3.2328600000000005,RandomForestRegressor
6.399,6.189699999999999,RandomForestRegressor
2.077,2.7690800000000007,RandomForestRegressor
1.472,3.1968199999999998,RandomForestRegressor
5.678,6.690140000000003,RandomForestRegressor
2.905,2.58172,RandomForestRegressor
3.862,3.4759000000000015,RandomForestRegressor
2.458,1.9206400000000008,RandomForestRegressor
4.516,3.7633400000000017,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.814,3.9956046511627887,AdaBoostRegressor
1.801,1.6956666666666667,AdaBoostRegressor
1.741,1.560966101694915,AdaBoostRegressor
1.549,2.3506521739130433,AdaBoostRegressor
6.399,7.291130434782609,AdaBoostRegressor
4.206,3.714344827586206,AdaBoostRegressor
2.601,3.1085,AdaBoostRegressor
2.145,2.0869999999999997,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.684,3.7523333333333326,AdaBoostRegressor
6.399,7.262759999999999,AdaBoostRegressor
2.077,1.4942000000000006,AdaBoostRegressor
1.472,2.446708333333333,AdaBoostRegressor
5.678,6.878666666666667,AdaBoostRegressor
2.905,2.6590740740740753,AdaBoostRegressor
3.862,3.3641176470588228,AdaBoostRegressor
2.458,1.6814999999999998,AdaBoostRegressor
4.516,3.7182446808510625,AdaBoostRegressor
10.0,8.889745150106455,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
10.0,9.999999999999998,KNeighborsRegressor
4.814,4.47153956189441,KNeighborsRegressor
1.801,2.2409600003999333,KNeighborsRegressor
1.741,1.980291200692154,KNeighborsRegressor
1.549,1.7738429661107467,KNeighborsRegressor
6.399,7.0868094867764695,KNeighborsRegressor
4.206,5.339869173352844,KNeighborsRegressor
2.601,2.574876925192749,KNeighborsRegressor
2.145,1.0542706829350905,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
3.684,3.0969502977144323,KNeighborsRegressor
6.399,6.291999304642804,KNeighborsRegressor
2.077,2.1747452413758506,KNeighborsRegressor
1.472,3.1496798648262314,KNeighborsRegressor
5.678,6.478658557194332,KNeighborsRegressor
2.905,2.913265216339379,KNeighborsRegressor
3.862,3.5258656338588015,KNeighborsRegressor
2.458,3.3741177724364864,KNeighborsRegressor
4.516,3.4631169704593705,KNeighborsRegressor
10.0,9.976903112778789,MLPRegressor
10.0,9.997578689809998,MLPRegressor
10.0,10.008221464465038,MLPRegressor
4.814,5.105640826710609,MLPRegressor
1.801,2.6223255387316327,MLPRegressor
1.741,1.5272069931899994,MLPRegressor
1.549,1.7083099152078043,MLPRegressor
6.399,6.1958497419981695,MLPRegressor
4.206,3.345321044423785,MLPRegressor
2.601,2.484224311400617,MLPRegressor
2.145,1.5632013413266714,MLPRegressor
10.0,10.021823369515232,MLPRegressor
3.684,3.2076632090619626,MLPRegressor
6.399,5.956373431733078,MLPRegressor
2.077,2.3764074569597664,MLPRegressor
1.472,1.1327620266647183,MLPRegressor
5.678,6.871174765114765,MLPRegressor
2.905,3.0656472261471617,MLPRegressor
3.862,4.116927150571365,MLPRegressor
2.458,0.8071364981391291,MLPRegressor
4.516,4.410598536645589,MLPRegressor
10.0,8.005487936373083,ElasticNet
10.0,7.910358447002617,ElasticNet
10.0,6.466175866146253,ElasticNet
4.814,4.035830505688933,ElasticNet
1.801,2.5661312946809773,ElasticNet
1.741,1.5240408038986355,ElasticNet
1.549,3.6692362865390606,ElasticNet
6.399,6.881382602707254,ElasticNet
4.206,5.091713723311986,ElasticNet
2.601,1.9031373410089087,ElasticNet
2.145,3.1330219654237306,ElasticNet
10.0,7.003131936383904,ElasticNet
3.684,5.06715544109187,ElasticNet
6.399,6.51930940439703,ElasticNet
2.077,1.845949025888621,ElasticNet
1.472,3.6820027808461244,ElasticNet
