Actual,Predicted,Model
10.0,11.580799479513896,Ridge
10.0,9.68785572622674,Ridge
10.0,7.799105505313586,Ridge
4.814,4.389860568821941,Ridge
1.801,1.3271366415207035,Ridge
1.741,-0.09312518907918843,Ridge
1.549,2.8960514964141435,Ridge
6.399,6.884283880483624,Ridge
4.206,5.444731831124387,Ridge
2.601,1.4594966151998001,Ridge
2.145,2.445714953936178,Ridge
10.0,9.594811882807583,Ridge
3.684,5.753264291456682,Ridge
6.399,6.291609757068394,Ridge
2.077,2.0130905934530325,Ridge
1.472,1.8276199703583682,Ridge
5.678,7.873999661756601,Ridge
2.905,2.1526138514677347,Ridge
3.862,4.413801425968414,Ridge
2.458,1.9975539593513831,Ridge
4.516,3.7559273996739275,Ridge
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.814,5.172000000000001,DecisionTreeRegressor
1.801,1.621,DecisionTreeRegressor
1.741,2.617,DecisionTreeRegressor
1.549,1.509,DecisionTreeRegressor
6.399,7.479,DecisionTreeRegressor
4.206,4.036,DecisionTreeRegressor
2.601,2.361,DecisionTreeRegressor
2.145,3.024,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.684,4.09,DecisionTreeRegressor
6.399,7.479,DecisionTreeRegressor
2.077,5.297,DecisionTreeRegressor
1.472,10.0,DecisionTreeRegressor
5.678,6.639,DecisionTreeRegressor
2.905,3.3434999999999997,DecisionTreeRegressor
3.862,4.855,DecisionTreeRegressor
2.458,2.864,DecisionTreeRegressor
4.516,3.683,DecisionTreeRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
4.814,4.374792979409807,GradientBoostingRegressor
1.801,3.0775216840117356,GradientBoostingRegressor
1.741,3.2881638708386673,GradientBoostingRegressor
1.549,3.2044517972955657,GradientBoostingRegressor
6.399,6.099128217908333,GradientBoostingRegressor
4.206,3.9755790066713135,GradientBoostingRegressor
2.601,3.3748669852083015,GradientBoostingRegressor
2.145,3.168474529715448,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
3.684,3.3991466418596277,GradientBoostingRegressor
6.399,6.099128217908333,GradientBoostingRegressor
2.077,3.985106884585559,GradientBoostingRegressor
1.472,3.111170495136494,GradientBoostingRegressor
5.678,5.937529424153584,GradientBoostingRegressor
2.905,3.3124435274899935,GradientBoostingRegressor
3.862,4.30105761598396,GradientBoostingRegressor
2.458,2.9225982418569956,GradientBoostingRegressor
4.516,4.325337272635287,GradientBoostingRegressor
10.0,9.512239999999998,RandomForestRegressor
10.0,9.89197,RandomForestRegressor
10.0,9.081420000000001,RandomForestRegressor
4.814,4.498569999999998,RandomForestRegressor
1.801,2.4214550000000012,RandomForestRegressor
1.741,2.245429999999999,RandomForestRegressor
1.549,1.9854299999999998,RandomForestRegressor
6.399,6.767805000000005,RandomForestRegressor
4.206,4.298590000000002,RandomForestRegressor
2.601,2.6757499999999994,RandomForestRegressor
2.145,1.8693299999999997,RandomForestRegressor
10.0,9.76574,RandomForestRegressor
3.684,3.1207699999999994,RandomForestRegressor
6.399,6.354350000000003,RandomForestRegressor
2.077,3.0809299999999986,RandomForestRegressor
1.472,3.7889049999999997,RandomForestRegressor
5.678,6.755570000000007,RandomForestRegressor
2.905,2.830130000000001,RandomForestRegressor
3.862,3.1671549999999997,RandomForestRegressor
2.458,2.001149999999998,RandomForestRegressor
4.516,3.838094999999999,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.814,4.302404761904762,AdaBoostRegressor
1.801,2.0570952380952394,AdaBoostRegressor
1.741,1.7037380952380956,AdaBoostRegressor
1.549,2.096434782608695,AdaBoostRegressor
6.399,7.040347826086955,AdaBoostRegressor
4.206,3.409795180722892,AdaBoostRegressor
2.601,3.204479452054794,AdaBoostRegressor
2.145,1.7037380952380956,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.684,3.25996,AdaBoostRegressor
6.399,7.020740740740741,AdaBoostRegressor
2.077,2.096434782608695,AdaBoostRegressor
1.472,2.8404750000000005,AdaBoostRegressor
