Actual,Predicted,Model
10.0,11.579668195105725,Ridge
10.0,9.687487345065115,Ridge
10.0,7.799151193513875,Ridge
4.814,4.390739986129563,Ridge
1.801,1.3277989101161203,Ridge
1.741,-0.09349124269866582,Ridge
1.549,2.8958213494805864,Ridge
6.399,6.883634407881643,Ridge
4.206,5.444357424107496,Ridge
2.601,1.4594053508352727,Ridge
2.145,2.4460688559335217,Ridge
10.0,9.595141088834648,Ridge
3.684,5.75367180256865,Ridge
6.399,6.291668748188775,Ridge
2.077,2.0125591087438743,Ridge
1.472,1.8277034451527672,Ridge
5.678,7.874118147241411,Ridge
2.905,2.15203196236563,Ridge
3.862,4.413997614320102,Ridge
2.458,1.9976374794103688,Ridge
4.516,3.7560083614547937,Ridge
10.0,7.666,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
4.814,4.265,DecisionTreeRegressor
1.801,1.621,DecisionTreeRegressor
1.741,2.525,DecisionTreeRegressor
1.549,2.313,DecisionTreeRegressor
6.399,6.8485000000000005,DecisionTreeRegressor
4.206,5.172000000000001,DecisionTreeRegressor
2.601,2.06675,DecisionTreeRegressor
2.145,3.487,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
3.684,3.487,DecisionTreeRegressor
6.399,5.798333333333333,DecisionTreeRegressor
2.077,-0.084,DecisionTreeRegressor
1.472,10.0,DecisionTreeRegressor
5.678,6.6465000000000005,DecisionTreeRegressor
2.905,1.459,DecisionTreeRegressor
3.862,3.44125,DecisionTreeRegressor
2.458,2.2675,DecisionTreeRegressor
4.516,3.44125,DecisionTreeRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
4.814,4.374792979409807,GradientBoostingRegressor
1.801,3.077521684011735,GradientBoostingRegressor
1.741,3.288163870838668,GradientBoostingRegressor
1.549,3.204451797295566,GradientBoostingRegressor
6.399,6.099128217908333,GradientBoostingRegressor
4.206,3.9755790066713135,GradientBoostingRegressor
2.601,3.3748669852083015,GradientBoostingRegressor
2.145,3.1684745297154486,GradientBoostingRegressor
10.0,8.052138560784437,GradientBoostingRegressor
3.684,3.3991466418596277,GradientBoostingRegressor
6.399,6.099128217908333,GradientBoostingRegressor
2.077,3.985106884585559,GradientBoostingRegressor
1.472,3.111170495136494,GradientBoostingRegressor
5.678,5.937529424153584,GradientBoostingRegressor
2.905,3.312443527489994,GradientBoostingRegressor
3.862,4.30105761598396,GradientBoostingRegressor
2.458,2.9225982418569956,GradientBoostingRegressor
4.516,4.325337272635287,GradientBoostingRegressor
10.0,9.6499,RandomForestRegressor
10.0,9.91717,RandomForestRegressor
10.0,9.18476,RandomForestRegressor
4.814,4.443129999999996,RandomForestRegressor
1.801,2.2955100000000006,RandomForestRegressor
1.741,2.13462,RandomForestRegressor
1.549,1.8758799999999989,RandomForestRegressor
6.399,6.9315600000000055,RandomForestRegressor
4.206,4.1881400000000015,RandomForestRegressor
2.601,2.6623899999999994,RandomForestRegressor
2.145,1.97426,RandomForestRegressor
10.0,9.92889,RandomForestRegressor
3.684,2.939549999999999,RandomForestRegressor
6.399,6.327860000000003,RandomForestRegressor
2.077,2.6708400000000005,RandomForestRegressor
1.472,3.5085900000000003,RandomForestRegressor
5.678,6.9244100000000115,RandomForestRegressor
2.905,2.7984100000000005,RandomForestRegressor
3.862,3.3082499999999997,RandomForestRegressor
2.458,1.956249999999998,RandomForestRegressor
4.516,3.768459999999999,RandomForestRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
4.814,4.041354838709677,AdaBoostRegressor
1.801,1.4016981132075468,AdaBoostRegressor
1.741,1.6592857142857138,AdaBoostRegressor
1.549,2.4705714285714286,AdaBoostRegressor
6.399,7.166733333333332,AdaBoostRegressor
4.206,3.4833593749999983,AdaBoostRegressor
2.601,3.108985294117648,AdaBoostRegressor
2.145,2.2937866666666675,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
3.684,3.5303508771929795,AdaBoostRegressor
6.399,7.166733333333332,AdaBoostRegressor
2.077,1.86475,AdaBoostRegressor
1.472,2.4705714285714286,AdaBoostRegressor
5.678,6.8545333333333325,AdaBoostRegressor
2.905,3.0744358974358974,AdaBoostRegressor
3.862,3.4427419354838706,AdaBoostRegressor
2.458,1.6621168831168829,AdaBoostRegressor
4.516,3.5303508771929795,AdaBoostRegressor
10.0,10.000000000000002,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
10.0,10.0,KNeighborsRegressor
4.814,4.5635946599447355,KNeighborsRegressor
1.801,1.6707556236033243,KNeighborsRegressor
1.741,1.310371896171497,KNeighborsRegressor
1.549,2.05437451519133,KNeighborsRegressor
6.399,6.780765347705171,KNeighborsRegressor
4.206,4.605497429093073,KNeighborsRegressor
