Actual,Predicted,Model
-0.096,-0.0555876408340783,Ridge
0.229,0.4311829509110794,Ridge
0.279,0.42858282107223467,Ridge
11.453,9.620644585087476,Ridge
0.542,0.5447002626341044,Ridge
4.57,4.358791920984838,Ridge
0.231,0.34191033475599575,Ridge
-0.167,0.1090707920590046,Ridge
11.453,14.690846126936123,Ridge
0.141,0.09753533715324414,Ridge
1.276,1.3859446092557128,Ridge
0.3,0.4020074595439098,Ridge
11.453,13.757426352850096,Ridge
-0.029,0.24657906365312598,Ridge
5.387,5.352037275856451,Ridge
0.766,0.11282386099913255,Ridge
0.361,0.5551511354223448,Ridge
5.185,4.559327856870355,Ridge
4.933,4.933215047398048,Ridge
0.29,0.26222085593969346,Ridge
1.076,1.5764086231636076,Ridge
-0.096,0.5445,DecisionTreeRegressor
0.229,0.2345,DecisionTreeRegressor
0.279,0.0945,DecisionTreeRegressor
11.453,11.453,DecisionTreeRegressor
0.542,0.542,DecisionTreeRegressor
4.57,2.6654999999999998,DecisionTreeRegressor
0.231,0.25349999999999995,DecisionTreeRegressor
-0.167,0.1865,DecisionTreeRegressor
11.453,4.119,DecisionTreeRegressor
0.141,0.6325,DecisionTreeRegressor
1.276,5.433,DecisionTreeRegressor
0.3,0.322,DecisionTreeRegressor
11.453,11.453,DecisionTreeRegressor
-0.029,0.1865,DecisionTreeRegressor
5.387,4.739,DecisionTreeRegressor
0.766,2.6654999999999998,DecisionTreeRegressor
0.361,0.387,DecisionTreeRegressor
5.185,4.717,DecisionTreeRegressor
4.933,4.8645,DecisionTreeRegressor
0.29,0.035500000000000004,DecisionTreeRegressor
1.076,2.6654999999999998,DecisionTreeRegressor
-0.096,0.8012929514974939,GradientBoostingRegressor
0.229,0.8012929514974939,GradientBoostingRegressor
0.279,0.8012929514974939,GradientBoostingRegressor
11.453,1.0768076356800207,GradientBoostingRegressor
0.542,0.8012929514974939,GradientBoostingRegressor
4.57,0.9196207356926144,GradientBoostingRegressor
0.231,0.8012929514974939,GradientBoostingRegressor
-0.167,0.8012929514974939,GradientBoostingRegressor
11.453,0.8968073607220002,GradientBoostingRegressor
0.141,0.8012929514974939,GradientBoostingRegressor
1.276,0.8012929514974939,GradientBoostingRegressor
0.3,0.8012929514974939,GradientBoostingRegressor
11.453,0.9196207356926144,GradientBoostingRegressor
-0.029,0.8012929514974939,GradientBoostingRegressor
5.387,0.9196207356926144,GradientBoostingRegressor
0.766,0.8012929514974939,GradientBoostingRegressor
0.361,0.8012929514974939,GradientBoostingRegressor
5.185,0.8968073607220002,GradientBoostingRegressor
4.933,0.9196207356926144,GradientBoostingRegressor
0.29,0.8012929514974939,GradientBoostingRegressor
