Actual,Predicted,Model
-0.096,0.10427594656384143,Ridge
0.229,0.30391178498731897,Ridge
0.279,0.3597715136783366,Ridge
11.453,9.655072177152903,Ridge
0.542,0.5053944235551588,Ridge
4.57,4.245814347118471,Ridge
0.231,0.30675589449316387,Ridge
-0.167,0.10017736070488636,Ridge
11.453,14.923096436392758,Ridge
0.141,0.17809040741964344,Ridge
1.276,1.2554554467149588,Ridge
0.3,0.4321446958264472,Ridge
11.453,13.733910268718866,Ridge
-0.029,0.25425005535112266,Ridge
5.387,5.248820400437327,Ridge
0.766,0.4271990524355731,Ridge
0.361,0.4775565699892068,Ridge
5.185,4.693714894698888,Ridge
4.933,4.775723774893035,Ridge
0.29,0.3426516941408133,Ridge
1.076,1.4234427033284955,Ridge
-0.096,-0.01233333333333333,DecisionTreeRegressor
0.229,0.2345,DecisionTreeRegressor
0.279,0.17575,DecisionTreeRegressor
11.453,11.453,DecisionTreeRegressor
0.542,0.4645,DecisionTreeRegressor
4.57,4.629333333333334,DecisionTreeRegressor
0.231,-0.0895,DecisionTreeRegressor
-0.167,0.12525,DecisionTreeRegressor
11.453,3.9105,DecisionTreeRegressor
0.141,0.422,DecisionTreeRegressor
1.276,-0.0895,DecisionTreeRegressor
0.3,0.219,DecisionTreeRegressor
11.453,11.453,DecisionTreeRegressor
-0.029,-0.21899999999999997,DecisionTreeRegressor
5.387,4.6114999999999995,DecisionTreeRegressor
0.766,4.353,DecisionTreeRegressor
0.361,0.528,DecisionTreeRegressor
5.185,5.535,DecisionTreeRegressor
4.933,4.9605,DecisionTreeRegressor
0.29,0.535,DecisionTreeRegressor
1.076,0.219,DecisionTreeRegressor
-0.096,0.8012929514974939,GradientBoostingRegressor
0.229,0.8012929514974939,GradientBoostingRegressor
0.279,0.8012929514974939,GradientBoostingRegressor
11.453,1.0768076356800207,GradientBoostingRegressor
0.542,0.8012929514974939,GradientBoostingRegressor
4.57,0.9196207356926144,GradientBoostingRegressor
0.231,0.8012929514974939,GradientBoostingRegressor
-0.167,0.8012929514974939,GradientBoostingRegressor
11.453,0.8968073607220002,GradientBoostingRegressor
0.141,0.8012929514974939,GradientBoostingRegressor
1.276,0.8012929514974939,GradientBoostingRegressor
0.3,0.8012929514974939,GradientBoostingRegressor
11.453,0.9196207356926144,GradientBoostingRegressor
-0.029,0.8012929514974939,GradientBoostingRegressor
5.387,0.9196207356926144,GradientBoostingRegressor
0.766,0.8012929514974939,GradientBoostingRegressor
0.361,0.8012929514974939,GradientBoostingRegressor
5.185,0.8968073607220002,GradientBoostingRegressor
4.933,0.9196207356926144,GradientBoostingRegressor
0.29,0.8012929514974939,GradientBoostingRegressor
1.076,0.8012929514974939,GradientBoostingRegressor
-0.096,-0.299,RandomForestRegressor
0.229,0.229,RandomForestRegressor
0.279,0.277,RandomForestRegressor
11.453,11.453,RandomForestRegressor
0.542,0.542,RandomForestRegressor
4.57,4.124,RandomForestRegressor
0.231,0.288,RandomForestRegressor
-0.167,0.017,RandomForestRegressor
11.453,4.095,RandomForestRegressor
0.141,0.387,RandomForestRegressor
1.276,0.843,RandomForestRegressor
0.3,0.322,RandomForestRegressor
11.453,11.453,RandomForestRegressor
-0.029,-0.092,RandomForestRegressor
5.387,4.366,RandomForestRegressor
0.766,0.8,RandomForestRegressor
0.361,0.294,RandomForestRegressor
5.185,5.251,RandomForestRegressor
4.933,4.366,RandomForestRegressor
0.29,0.387,RandomForestRegressor
1.076,0.746,RandomForestRegressor
-0.096,0.289111111111111,AdaBoostRegressor
0.229,0.289111111111111,AdaBoostRegressor
0.279,0.289111111111111,AdaBoostRegressor
11.453,11.453000000000001,AdaBoostRegressor
0.542,0.289111111111111,AdaBoostRegressor
4.57,4.522291666666663,AdaBoostRegressor
0.231,0.289111111111111,AdaBoostRegressor
-0.167,0.289111111111111,AdaBoostRegressor
11.453,11.453,AdaBoostRegressor
0.141,0.289111111111111,AdaBoostRegressor
1.276,0.289111111111111,AdaBoostRegressor
0.3,0.289111111111111,AdaBoostRegressor
11.453,11.453000000000001,AdaBoostRegressor
-0.029,0.289111111111111,AdaBoostRegressor
5.387,4.522291666666663,AdaBoostRegressor
0.766,0.289111111111111,AdaBoostRegressor
0.361,0.289111111111111,AdaBoostRegressor
5.185,4.522291666666663,AdaBoostRegressor
4.933,4.522291666666663,AdaBoostRegressor
0.29,0.289111111111111,AdaBoostRegressor
1.076,0.289111111111111,AdaBoostRegressor
-0.096,0.37460000000000004,KNeighborsRegressor
0.229,0.0949,KNeighborsRegressor
0.279,0.16540000000000002,KNeighborsRegressor
11.453,10.3193,KNeighborsRegressor
0.542,0.30410000000000004,KNeighborsRegressor
4.57,4.2911,KNeighborsRegressor
0.231,0.028199999999999996,KNeighborsRegressor
-0.167,-0.00030000000000000583,KNeighborsRegressor
11.453,7.947100000000001,KNeighborsRegressor
0.141,1.9197,KNeighborsRegressor
1.276,3.8899,KNeighborsRegressor
0.3,0.1046,KNeighborsRegressor
11.453,10.7292,KNeighborsRegressor
-0.029,-0.1125,KNeighborsRegressor
5.387,4.982200000000001,KNeighborsRegressor
0.766,1.8862,KNeighborsRegressor
0.361,0.11840000000000002,KNeighborsRegressor
5.185,4.961,KNeighborsRegressor
4.933,4.877599999999999,KNeighborsRegressor
0.29,0.30720000000000003,KNeighborsRegressor
1.076,0.7806,KNeighborsRegressor
-0.096,-3.5065720677102306,MLPRegressor
0.229,4.2085675256166155,MLPRegressor
0.279,-1.3792237384630777,MLPRegressor
11.453,5.8705709642032025,MLPRegressor
0.542,-1.8885725375085796,MLPRegressor
4.57,5.065447291857477,MLPRegressor
0.231,-3.1171231405248667,MLPRegressor
-0.167,1.2748159142527973,MLPRegressor
11.453,15.93229015838999,MLPRegressor
0.141,-4.786970877457693,MLPRegressor
1.276,7.456810336524486,MLPRegressor
0.3,-3.5056878908723155,MLPRegressor
11.453,15.504782822365806,MLPRegressor
-0.029,1.6029637705418356,MLPRegressor
5.387,12.310192902454418,MLPRegressor
0.766,-0.8330498864106737,MLPRegressor
0.361,0.721200986571718,MLPRegressor
5.185,10.051140322600565,MLPRegressor
4.933,11.78491327200728,MLPRegressor
0.29,-2.2933783378439934,MLPRegressor
1.076,-7.8463544714405415,MLPRegressor
-0.096,5.549485841185512,ElasticNet
0.229,3.441477192737088,ElasticNet
0.279,4.494655513185245,ElasticNet
11.453,10.684008218395357,ElasticNet
0.542,4.55181166310332,ElasticNet
4.57,5.337153683795563,ElasticNet
0.231,4.714551918158571,ElasticNet
-0.167,4.035247622840951,ElasticNet
11.453,10.641534714754185,ElasticNet
0.141,5.26627951656663,ElasticNet
1.276,2.886383585735192,ElasticNet
0.3,5.284987356489387,ElasticNet
11.453,11.209644663406626,ElasticNet
-0.029,4.144116479827756,ElasticNet
5.387,4.386722050116631,ElasticNet
0.766,6.100328105896954,ElasticNet
0.361,4.301568064244921,ElasticNet
5.185,5.452054445438911,ElasticNet
4.933,4.523773210296668,ElasticNet
0.29,4.868219768464922,ElasticNet
1.076,5.8148631158296595,ElasticNet
-0.096,-0.04907422601490152,SGDRegressor
0.229,0.29409385933097454,SGDRegressor
0.279,0.36304206467953204,SGDRegressor
11.453,10.590401308059102,SGDRegressor
0.542,0.5508519561942524,SGDRegressor
4.57,4.568426916007258,SGDRegressor
0.231,0.25508569200201503,SGDRegressor
-0.167,-0.06129021297006876,SGDRegressor
11.453,13.676057368547278,SGDRegressor
0.141,0.13614245121495472,SGDRegressor
1.276,1.1401855096788216,SGDRegressor
0.3,0.3442595190389053,SGDRegressor
11.453,14.908661887679047,SGDRegressor
-0.029,0.044632607749380604,SGDRegressor
5.387,5.255633602461019,SGDRegressor
0.766,0.5819721405768323,SGDRegressor
0.361,0.4478750276188528,SGDRegressor
5.185,5.0027042679138525,SGDRegressor
4.933,4.892048828510413,SGDRegressor
0.29,0.2619708209306175,SGDRegressor
1.076,1.041518588209601,SGDRegressor
-0.096,-0.06361940309458136,BayesianRidge
0.229,0.42750625212047133,BayesianRidge
0.279,0.38192384275149927,BayesianRidge
11.453,9.658013413702491,BayesianRidge
0.542,0.5631767591602879,BayesianRidge
4.57,4.297863343616956,BayesianRidge
0.231,0.36837798565852786,BayesianRidge
-0.167,0.10210929954587655,BayesianRidge
11.453,15.028092234445332,BayesianRidge
0.141,0.08821596640632823,BayesianRidge
1.276,1.497190821101043,BayesianRidge
0.3,0.3759335051643049,BayesianRidge
11.453,13.788206736268016,BayesianRidge
-0.029,0.27256341193183076,BayesianRidge
5.387,5.432776523346138,BayesianRidge
0.766,0.06398833855347341,BayesianRidge
0.361,0.48851988302502125,BayesianRidge
5.185,4.639733108447952,BayesianRidge
4.933,4.9016057277386755,BayesianRidge
0.29,0.30887957816660805,BayesianRidge
1.076,1.4372835895087697,BayesianRidge
-0.096,0.1038277687354956,KernelRidge
0.229,0.28068742423072024,KernelRidge
0.279,0.3597246836618133,KernelRidge
11.453,9.659814556020287,KernelRidge
0.542,0.5256412989496297,KernelRidge
