Actual,Predicted,Model
-0.096,0.09382433377582666,Ridge
0.229,0.27303138212349687,Ridge
0.279,0.3660310359975609,Ridge
11.453,9.645578627892046,Ridge
0.542,0.5091163522817554,Ridge
4.57,4.270760793087029,Ridge
0.231,0.23037891094362983,Ridge
-0.167,0.12940262712853023,Ridge
11.453,15.642981449912636,Ridge
0.141,0.20912424454008116,Ridge
1.276,1.1846850647045537,Ridge
0.3,0.42337181343117614,Ridge
11.453,13.754823052812391,Ridge
-0.029,0.26623559288302,Ridge
5.387,5.217047371421185,Ridge
0.766,0.5129488244902358,Ridge
0.361,0.535378278868536,Ridge
5.185,4.699593058926896,Ridge
4.933,4.767612349395766,Ridge
0.29,0.3828323346754887,Ridge
1.076,1.7059814680238485,Ridge
-0.096,-0.1955,DecisionTreeRegressor
0.229,0.229,DecisionTreeRegressor
0.279,0.2825,DecisionTreeRegressor
11.453,11.453,DecisionTreeRegressor
0.542,0.549,DecisionTreeRegressor
4.57,4.43,DecisionTreeRegressor
0.231,0.3425,DecisionTreeRegressor
-0.167,-0.21899999999999997,DecisionTreeRegressor
11.453,11.453,DecisionTreeRegressor
0.141,0.1525,DecisionTreeRegressor
1.276,1.589,DecisionTreeRegressor
0.3,0.3425,DecisionTreeRegressor
11.453,11.453,DecisionTreeRegressor
-0.029,0.017,DecisionTreeRegressor
5.387,5.424,DecisionTreeRegressor
0.766,0.343,DecisionTreeRegressor
0.361,0.42500000000000004,DecisionTreeRegressor
5.185,5.251,DecisionTreeRegressor
4.933,4.8645,DecisionTreeRegressor
0.29,0.514,DecisionTreeRegressor
1.076,0.9655,DecisionTreeRegressor
-0.096,0.8012929514974939,GradientBoostingRegressor
0.229,0.8012929514974939,GradientBoostingRegressor
0.279,0.8012929514974939,GradientBoostingRegressor
11.453,1.0768076356800207,GradientBoostingRegressor
0.542,0.8012929514974939,GradientBoostingRegressor
4.57,0.9196149079309512,GradientBoostingRegressor
0.231,0.8012929514974939,GradientBoostingRegressor
-0.167,0.8012929514974939,GradientBoostingRegressor
11.453,0.8968073607220002,GradientBoostingRegressor
0.141,0.8012929514974939,GradientBoostingRegressor
1.276,0.8012929514974939,GradientBoostingRegressor
0.3,0.8012929514974939,GradientBoostingRegressor
11.453,0.9196149079309512,GradientBoostingRegressor
-0.029,0.8012929514974939,GradientBoostingRegressor
5.387,0.9196149079309512,GradientBoostingRegressor
0.766,0.8012929514974939,GradientBoostingRegressor
0.361,0.8012929514974939,GradientBoostingRegressor
5.185,0.8968073607220002,GradientBoostingRegressor
4.933,0.9196149079309512,GradientBoostingRegressor
0.29,0.8012929514974939,GradientBoostingRegressor
1.076,0.8012929514974939,GradientBoostingRegressor
-0.096,0.491,RandomForestRegressor
0.229,0.229,RandomForestRegressor
0.279,0.294,RandomForestRegressor
11.453,11.453,RandomForestRegressor
0.542,0.387,RandomForestRegressor
4.57,4.424,RandomForestRegressor
