Actual,Predicted,Model
7.461,8.182778384712572,Ridge
5.479,6.741960848317604,Ridge
6.023,4.455297635553672,Ridge
3.006,3.578569467307143,Ridge
1.364,3.4018312483801143,Ridge
1.306,2.2204818884537207,Ridge
0.602,0.6414712820655741,Ridge
8.221,7.985174742770831,Ridge
4.329,2.4987321459228298,Ridge
2.136,2.1165142429473396,Ridge
4.211,2.0886122292541955,Ridge
8.094,7.345694380858001,Ridge
5.567,5.02541811713516,Ridge
8.221,6.4531986915816555,Ridge
1.472,-0.13213176392261872,Ridge
-0.69,-1.364875286671687,Ridge
10.395,11.790343645968592,Ridge
1.642,1.6084218340466894,Ridge
2.04,1.6100925769559233,Ridge
2.875,2.9981127629044346,Ridge
2.097,3.114421438100509,Ridge
7.461,7.066,DecisionTreeRegressor
5.479,5.479,DecisionTreeRegressor
6.023,6.546,DecisionTreeRegressor
3.006,2.053,DecisionTreeRegressor
1.364,0.138,DecisionTreeRegressor
1.306,1.806,DecisionTreeRegressor
0.602,0.6425000000000001,DecisionTreeRegressor
8.221,8.221,DecisionTreeRegressor
4.329,4.452,DecisionTreeRegressor
2.136,2.476,DecisionTreeRegressor
4.211,1.5445,DecisionTreeRegressor
8.094,7.614,DecisionTreeRegressor
5.567,6.102,DecisionTreeRegressor
8.221,8.221,DecisionTreeRegressor
1.472,2.423,DecisionTreeRegressor
-0.69,1.112,DecisionTreeRegressor
10.395,7.431,DecisionTreeRegressor
1.642,2.092,DecisionTreeRegressor
2.04,2.362,DecisionTreeRegressor
2.875,3.049,DecisionTreeRegressor
2.097,1.736,DecisionTreeRegressor
7.461,5.715523521159793,GradientBoostingRegressor
5.479,5.670924586912815,GradientBoostingRegressor
6.023,5.715523521159793,GradientBoostingRegressor
3.006,2.9759425929968932,GradientBoostingRegressor
1.364,2.6196515198823422,GradientBoostingRegressor
1.306,2.6196515198823422,GradientBoostingRegressor
0.602,2.2215870099608224,GradientBoostingRegressor
8.221,6.65694314056471,GradientBoostingRegressor
4.329,4.446664477381872,GradientBoostingRegressor
2.136,2.9587137921950206,GradientBoostingRegressor
4.211,4.446664477381872,GradientBoostingRegressor
8.094,5.715523521159793,GradientBoostingRegressor
5.567,4.514841543293293,GradientBoostingRegressor
8.221,6.65694314056471,GradientBoostingRegressor
1.472,2.6196515198823422,GradientBoostingRegressor
-0.69,1.6107764494315258,GradientBoostingRegressor
10.395,6.65694314056471,GradientBoostingRegressor
1.642,2.6196515198823422,GradientBoostingRegressor
2.04,2.733604453036395,GradientBoostingRegressor
2.875,4.1414898683451495,GradientBoostingRegressor
2.097,2.636880320684215,GradientBoostingRegressor
7.461,6.829640000000001,RandomForestRegressor
5.479,6.141240000000006,RandomForestRegressor
6.023,6.2746699999999995,RandomForestRegressor
3.006,2.6599399999999993,RandomForestRegressor
1.364,1.9796500000000001,RandomForestRegressor
1.306,1.6782700000000008,RandomForestRegressor
0.602,0.9994000000000001,RandomForestRegressor
8.221,8.305459999999998,RandomForestRegressor
4.329,4.5693899999999985,RandomForestRegressor
2.136,2.1201900000000005,RandomForestRegressor
4.211,4.097899999999998,RandomForestRegressor
8.094,6.87558,RandomForestRegressor
5.567,4.4989799999999995,RandomForestRegressor
8.221,8.06499,RandomForestRegressor
1.472,1.66782,RandomForestRegressor
-0.69,1.2900000000000005,RandomForestRegressor
10.395,7.888729999999998,RandomForestRegressor
1.642,2.0162800000000005,RandomForestRegressor
2.04,2.1574699999999982,RandomForestRegressor
2.875,3.630979999999998,RandomForestRegressor
2.097,2.036089999999999,RandomForestRegressor
7.461,6.457578947368421,AdaBoostRegressor
5.479,6.457578947368421,AdaBoostRegressor
6.023,6.480829787234042,AdaBoostRegressor
3.006,2.5472258064516127,AdaBoostRegressor
1.364,1.702625,AdaBoostRegressor
1.306,1.9432352941176465,AdaBoostRegressor
0.602,1.0965681818181823,AdaBoostRegressor
8.221,8.332092307692312,AdaBoostRegressor
4.329,4.418896551724138,AdaBoostRegressor
2.136,2.5472258064516127,AdaBoostRegressor
4.211,4.207208333333335,AdaBoostRegressor
8.094,6.480829787234042,AdaBoostRegressor
5.567,4.40162962962963,AdaBoostRegressor
8.221,8.332092307692312,AdaBoostRegressor
1.472,1.7566129032258062,AdaBoostRegressor
-0.69,0.6665833333333334,AdaBoostRegressor
