Actual,Predicted,Model
7.461,8.182883991763465,Ridge
5.479,6.7412643544141755,Ridge
6.023,4.455672951415684,Ridge
3.006,3.579019222527963,Ridge
1.364,3.4022919432544585,Ridge
1.306,2.220417654963055,Ridge
0.602,0.64068118283318,Ridge
8.221,7.984797519931734,Ridge
4.329,2.4981471060660057,Ridge
2.136,2.1170090968019206,Ridge
4.211,2.089557256403674,Ridge
8.094,7.345982071764561,Ridge
5.567,5.02586064941149,Ridge
8.221,6.45212749273456,Ridge
1.472,-0.13208758411061794,Ridge
-0.69,-1.3658819888770832,Ridge
10.395,11.790783772824263,Ridge
1.642,1.6089472521966863,Ridge
2.04,1.6103343935591146,Ridge
2.875,2.9979327645906784,Ridge
2.097,3.1146928705335206,Ridge
7.461,7.066,DecisionTreeRegressor
5.479,5.479,DecisionTreeRegressor
6.023,6.928,DecisionTreeRegressor
3.006,2.304,DecisionTreeRegressor
1.364,0.138,DecisionTreeRegressor
1.306,1.401,DecisionTreeRegressor
0.602,1.705,DecisionTreeRegressor
8.221,9.012,DecisionTreeRegressor
4.329,4.877,DecisionTreeRegressor
2.136,2.304,DecisionTreeRegressor
4.211,4.877,DecisionTreeRegressor
8.094,7.08,DecisionTreeRegressor
5.567,5.025,DecisionTreeRegressor
8.221,9.012,DecisionTreeRegressor
1.472,-0.251,DecisionTreeRegressor
-0.69,1.146,DecisionTreeRegressor
10.395,7.431,DecisionTreeRegressor
1.642,3.635,DecisionTreeRegressor
2.04,2.362,DecisionTreeRegressor
2.875,3.2,DecisionTreeRegressor
2.097,1.736,DecisionTreeRegressor
7.461,5.715523521159793,GradientBoostingRegressor
5.479,5.670924586912815,GradientBoostingRegressor
6.023,5.715523521159793,GradientBoostingRegressor
3.006,2.9759425929968932,GradientBoostingRegressor
1.364,2.6196515198823427,GradientBoostingRegressor
1.306,2.6196515198823427,GradientBoostingRegressor
0.602,2.221587009960822,GradientBoostingRegressor
8.221,6.656943140564709,GradientBoostingRegressor
4.329,4.446664477381872,GradientBoostingRegressor
2.136,2.9587137921950206,GradientBoostingRegressor
4.211,4.446664477381872,GradientBoostingRegressor
8.094,5.715523521159793,GradientBoostingRegressor
5.567,4.514841543293293,GradientBoostingRegressor
8.221,6.656943140564709,GradientBoostingRegressor
1.472,2.6196515198823427,GradientBoostingRegressor
-0.69,1.6107764494315258,GradientBoostingRegressor
10.395,6.656943140564709,GradientBoostingRegressor
1.642,2.6196515198823427,GradientBoostingRegressor
2.04,2.7336044530363957,GradientBoostingRegressor
2.875,4.1414898683451495,GradientBoostingRegressor
2.097,2.6368803206842153,GradientBoostingRegressor
7.461,6.716190000000001,RandomForestRegressor
5.479,6.137430000000004,RandomForestRegressor
6.023,6.061799999999997,RandomForestRegressor
3.006,2.8858300000000003,RandomForestRegressor
1.364,1.7953599999999996,RandomForestRegressor
1.306,1.6616800000000018,RandomForestRegressor
0.602,0.8535699999999999,RandomForestRegressor
8.221,8.338670000000002,RandomForestRegressor
4.329,4.36554,RandomForestRegressor
2.136,2.0513399999999997,RandomForestRegressor
4.211,4.178269999999997,RandomForestRegressor
8.094,6.810530000000003,RandomForestRegressor
5.567,4.671949999999997,RandomForestRegressor
8.221,8.18614,RandomForestRegressor
1.472,1.70175,RandomForestRegressor
-0.69,1.2398600000000004,RandomForestRegressor
10.395,7.978919999999997,RandomForestRegressor
1.642,1.8848500000000012,RandomForestRegressor
2.04,2.1790599999999993,RandomForestRegressor
2.875,3.4137899999999983,RandomForestRegressor
2.097,2.0325100000000003,RandomForestRegressor
7.461,6.69848,AdaBoostRegressor
5.479,6.0610800000000005,AdaBoostRegressor
6.023,6.47883870967742,AdaBoostRegressor
3.006,2.5775000000000006,AdaBoostRegressor
1.364,1.738863636363636,AdaBoostRegressor
1.306,2.0052222222222227,AdaBoostRegressor
0.602,0.8731904761904762,AdaBoostRegressor
8.221,8.540865384615385,AdaBoostRegressor
4.329,4.369296296296295,AdaBoostRegressor
2.136,2.571,AdaBoostRegressor
4.211,4.359111111111112,AdaBoostRegressor
8.094,6.811405405405405,AdaBoostRegressor
5.567,4.492583333333335,AdaBoostRegressor
8.221,8.540865384615385,AdaBoostRegressor
1.472,2.138852941176471,AdaBoostRegressor
-0.69,0.21986666666666668,AdaBoostRegressor
10.395,8.19714285714286,AdaBoostRegressor
1.642,2.3370789473684215,AdaBoostRegressor
2.04,1.6408333333333334,AdaBoostRegressor
2.875,4.200571428571429,AdaBoostRegressor
2.097,2.0052222222222227,AdaBoostRegressor
7.461,6.898811799210407,KNeighborsRegressor
5.479,6.410602265879089,KNeighborsRegressor
6.023,5.017901021021859,KNeighborsRegressor
3.006,3.932164761862084,KNeighborsRegressor
1.364,1.7030613356019353,KNeighborsRegressor
1.306,1.6810810578962783,KNeighborsRegressor
0.602,1.1964077573999206,KNeighborsRegressor
8.221,8.126608572861567,KNeighborsRegressor
4.329,5.213220438535086,KNeighborsRegressor
2.136,2.5432299423264944,KNeighborsRegressor
4.211,1.9727723224754852,KNeighborsRegressor
8.094,6.705589361206699,KNeighborsRegressor
5.567,3.27836618335551,KNeighborsRegressor
8.221,7.721758820515128,KNeighborsRegressor
1.472,2.3242228755420635,KNeighborsRegressor
