Actual,Predicted,Model
7.461,8.182883991763465,Ridge
5.479,6.7412643544141755,Ridge
6.023,4.455672951415684,Ridge
3.006,3.579019222527963,Ridge
1.364,3.4022919432544585,Ridge
1.306,2.220417654963055,Ridge
0.602,0.64068118283318,Ridge
8.221,7.984797519931734,Ridge
4.329,2.4981471060660057,Ridge
2.136,2.1170090968019206,Ridge
4.211,2.089557256403674,Ridge
8.094,7.345982071764561,Ridge
5.567,5.02586064941149,Ridge
8.221,6.45212749273456,Ridge
1.472,-0.13208758411061794,Ridge
-0.69,-1.3658819888770832,Ridge
10.395,11.790783772824263,Ridge
1.642,1.6089472521966863,Ridge
2.04,1.6103343935591146,Ridge
2.875,2.9979327645906784,Ridge
2.097,3.1146928705335206,Ridge
7.461,7.7684999999999995,DecisionTreeRegressor
5.479,6.546,DecisionTreeRegressor
6.023,5.306,DecisionTreeRegressor
3.006,3.044,DecisionTreeRegressor
1.364,2.056,DecisionTreeRegressor
1.306,1.336,DecisionTreeRegressor
0.602,-0.05049999999999999,DecisionTreeRegressor
8.221,8.221,DecisionTreeRegressor
4.329,4.5855,DecisionTreeRegressor
2.136,2.761,DecisionTreeRegressor
4.211,5.1739999999999995,DecisionTreeRegressor
8.094,7.461,DecisionTreeRegressor
5.567,5.0705,DecisionTreeRegressor
8.221,8.221,DecisionTreeRegressor
1.472,1.6600000000000001,DecisionTreeRegressor
-0.69,0.2555,DecisionTreeRegressor
10.395,6.64,DecisionTreeRegressor
1.642,2.2089999999999996,DecisionTreeRegressor
2.04,2.66,DecisionTreeRegressor
2.875,3.049,DecisionTreeRegressor
2.097,1.697,DecisionTreeRegressor
7.461,5.715523521159793,GradientBoostingRegressor
5.479,5.670924586912815,GradientBoostingRegressor
6.023,5.715523521159793,GradientBoostingRegressor
3.006,2.9759425929968932,GradientBoostingRegressor
1.364,2.6196515198823422,GradientBoostingRegressor
1.306,2.6196515198823422,GradientBoostingRegressor
0.602,2.221587009960822,GradientBoostingRegressor
8.221,6.656943140564709,GradientBoostingRegressor
4.329,4.446664477381872,GradientBoostingRegressor
2.136,2.9587137921950206,GradientBoostingRegressor
4.211,4.446664477381872,GradientBoostingRegressor
8.094,5.715523521159793,GradientBoostingRegressor
5.567,4.514841543293293,GradientBoostingRegressor
8.221,6.656943140564709,GradientBoostingRegressor
1.472,2.6196515198823422,GradientBoostingRegressor
-0.69,1.6107764494315258,GradientBoostingRegressor
10.395,6.656943140564709,GradientBoostingRegressor
1.642,2.6196515198823422,GradientBoostingRegressor
2.04,2.733604453036395,GradientBoostingRegressor
2.875,4.1414898683451495,GradientBoostingRegressor
2.097,2.636880320684215,GradientBoostingRegressor
7.461,6.846539999999997,RandomForestRegressor
5.479,6.046520000000003,RandomForestRegressor
6.023,6.313279999999997,RandomForestRegressor
3.006,2.5979399999999995,RandomForestRegressor
1.364,1.7837399999999999,RandomForestRegressor
1.306,1.6502399999999997,RandomForestRegressor
0.602,0.9161399999999996,RandomForestRegressor
8.221,8.29714,RandomForestRegressor
4.329,4.4188,RandomForestRegressor
2.136,2.2034599999999993,RandomForestRegressor
4.211,3.71806,RandomForestRegressor
8.094,6.699440000000001,RandomForestRegressor
5.567,4.5844,RandomForestRegressor
8.221,8.19744,RandomForestRegressor
1.472,1.7700799999999999,RandomForestRegressor
-0.69,1.2860800000000001,RandomForestRegressor
10.395,7.7291599999999985,RandomForestRegressor
1.642,2.101940000000001,RandomForestRegressor
2.04,2.242519999999999,RandomForestRegressor
2.875,3.2735000000000007,RandomForestRegressor
2.097,2.40598,RandomForestRegressor
7.461,6.472451612903227,AdaBoostRegressor
5.479,6.2609574468085105,AdaBoostRegressor
6.023,6.413973684210528,AdaBoostRegressor
3.006,2.6857586206896547,AdaBoostRegressor
1.364,1.3325555555555557,AdaBoostRegressor
1.306,1.8405625000000005,AdaBoostRegressor
0.602,1.079875,AdaBoostRegressor
8.221,8.710892857142857,AdaBoostRegressor
4.329,4.299863636363638,AdaBoostRegressor
2.136,2.6822631578947367,AdaBoostRegressor
4.211,4.1950312499999995,AdaBoostRegressor
8.094,6.657920000000001,AdaBoostRegressor
5.567,4.336414634146341,AdaBoostRegressor
8.221,8.710892857142857,AdaBoostRegressor
1.472,1.8296521739130431,AdaBoostRegressor
-0.69,0.5085937500000001,AdaBoostRegressor
10.395,8.241585365853663,AdaBoostRegressor
1.642,1.8405625000000005,AdaBoostRegressor
2.04,1.5539,AdaBoostRegressor
2.875,4.113434782608696,AdaBoostRegressor
2.097,1.8296521739130431,AdaBoostRegressor
7.461,6.898811799210407,KNeighborsRegressor
5.479,6.410602265879089,KNeighborsRegressor
6.023,5.017901021021859,KNeighborsRegressor
3.006,3.932164761862084,KNeighborsRegressor
1.364,1.7030613356019353,KNeighborsRegressor
1.306,1.6810810578962783,KNeighborsRegressor
0.602,1.1964077573999206,KNeighborsRegressor
8.221,8.126608572861567,KNeighborsRegressor
4.329,5.213220438535086,KNeighborsRegressor
2.136,2.5432299423264944,KNeighborsRegressor
4.211,1.9727723224754852,KNeighborsRegressor
8.094,6.705589361206699,KNeighborsRegressor
5.567,3.27836618335551,KNeighborsRegressor
8.221,7.721758820515128,KNeighborsRegressor
