Actual,Predicted,Model
7.461,8.182527569777056,Ridge
5.479,6.74170232065979,Ridge
6.023,4.455706236887795,Ridge
3.006,3.5794060948553383,Ridge
1.364,3.4018108573999797,Ridge
1.306,2.220905455244058,Ridge
0.602,0.6420298440056471,Ridge
8.221,7.984764827755489,Ridge
4.329,2.498881727018313,Ridge
2.136,2.11722768722539,Ridge
4.211,2.088569586699825,Ridge
8.094,7.345597356773461,Ridge
5.567,5.025739393667123,Ridge
8.221,6.4532073081992625,Ridge
1.472,-0.13045298917775483,Ridge
-0.69,-1.3652654905517467,Ridge
10.395,11.789552564689657,Ridge
1.642,1.609068834987354,Ridge
2.04,1.609826330617571,Ridge
2.875,2.9972873643061946,Ridge
2.097,3.1147849467432343,Ridge
7.461,7.412,DecisionTreeRegressor
5.479,5.4915,DecisionTreeRegressor
6.023,6.685,DecisionTreeRegressor
3.006,2.4779999999999998,DecisionTreeRegressor
1.364,0.138,DecisionTreeRegressor
1.306,1.771,DecisionTreeRegressor
0.602,0.532,DecisionTreeRegressor
8.221,9.012,DecisionTreeRegressor
4.329,4.5165,DecisionTreeRegressor
2.136,2.189,DecisionTreeRegressor
4.211,3.133,DecisionTreeRegressor
8.094,8.125,DecisionTreeRegressor
5.567,5.021,DecisionTreeRegressor
8.221,9.012,DecisionTreeRegressor
1.472,1.6835,DecisionTreeRegressor
-0.69,0.138,DecisionTreeRegressor
10.395,9.209,DecisionTreeRegressor
1.642,0.895,DecisionTreeRegressor
2.04,2.292,DecisionTreeRegressor
2.875,3.133,DecisionTreeRegressor
2.097,1.771,DecisionTreeRegressor
7.461,5.715523521159793,GradientBoostingRegressor
5.479,5.670924586912815,GradientBoostingRegressor
6.023,5.715523521159793,GradientBoostingRegressor
3.006,2.9759425929968932,GradientBoostingRegressor
1.364,2.6196515198823427,GradientBoostingRegressor
1.306,2.6196515198823427,GradientBoostingRegressor
0.602,2.2215870099608224,GradientBoostingRegressor
8.221,6.656943140564709,GradientBoostingRegressor
4.329,4.446664477381872,GradientBoostingRegressor
2.136,2.9587137921950206,GradientBoostingRegressor
4.211,4.446664477381872,GradientBoostingRegressor
8.094,5.715523521159793,GradientBoostingRegressor
5.567,4.514841543293293,GradientBoostingRegressor
8.221,6.656943140564709,GradientBoostingRegressor
1.472,2.6196515198823427,GradientBoostingRegressor
-0.69,1.6107764494315262,GradientBoostingRegressor
10.395,6.656943140564709,GradientBoostingRegressor
1.642,2.6196515198823427,GradientBoostingRegressor
2.04,2.7336044530363957,GradientBoostingRegressor
2.875,4.1414898683451495,GradientBoostingRegressor
2.097,2.6368803206842153,GradientBoostingRegressor
7.461,6.697889714285715,RandomForestRegressor
5.479,6.344224634920638,RandomForestRegressor
6.023,5.943531595238097,RandomForestRegressor
3.006,2.8745749999999997,RandomForestRegressor
1.364,1.90779680952381,RandomForestRegressor
1.306,1.8643847936507938,RandomForestRegressor
0.602,0.8548709920634923,RandomForestRegressor
8.221,8.513713682539684,RandomForestRegressor
4.329,4.300219357142858,RandomForestRegressor
2.136,2.1601745555555554,RandomForestRegressor
4.211,3.8479799761904756,RandomForestRegressor
8.094,6.486626214285712,RandomForestRegressor
5.567,4.674406547619046,RandomForestRegressor
8.221,7.861765023809524,RandomForestRegressor
1.472,1.8025857936507939,RandomForestRegressor
-0.69,1.0246617539682543,RandomForestRegressor
10.395,7.527374796536796,RandomForestRegressor
1.642,1.8205828571428575,RandomForestRegressor
2.04,2.1693856428571423,RandomForestRegressor
2.875,3.5524996428571427,RandomForestRegressor
2.097,2.068150277777778,RandomForestRegressor
7.461,6.370648648648649,AdaBoostRegressor
5.479,6.027642857142858,AdaBoostRegressor
6.023,6.026190476190477,AdaBoostRegressor
3.006,2.8688,AdaBoostRegressor
1.364,1.5841176470588239,AdaBoostRegressor
1.306,1.8142307692307693,AdaBoostRegressor
0.602,0.8106666666666666,AdaBoostRegressor
8.221,8.483964285714283,AdaBoostRegressor
4.329,4.397968750000001,AdaBoostRegressor
2.136,2.704631578947369,AdaBoostRegressor
4.211,4.314869565217391,AdaBoostRegressor
8.094,6.643372549019607,AdaBoostRegressor
5.567,4.823245614035091,AdaBoostRegressor
8.221,8.516333333333332,AdaBoostRegressor
1.472,1.815477272727272,AdaBoostRegressor
-0.69,0.3564193548387097,AdaBoostRegressor
10.395,8.381249999999998,AdaBoostRegressor
1.642,1.8641739130434782,AdaBoostRegressor
2.04,1.6217804878048778,AdaBoostRegressor
2.875,4.059323529411766,AdaBoostRegressor
2.097,1.7737500000000002,AdaBoostRegressor
7.461,6.898811799210407,KNeighborsRegressor
5.479,6.410602265879089,KNeighborsRegressor
6.023,5.017901021021859,KNeighborsRegressor
3.006,3.932164761862084,KNeighborsRegressor
1.364,1.7030613356019353,KNeighborsRegressor
1.306,1.6810810578962783,KNeighborsRegressor
0.602,1.1964077573999206,KNeighborsRegressor
8.221,8.126608572861567,KNeighborsRegressor
4.329,5.213220438535086,KNeighborsRegressor
2.136,2.5432299423264944,KNeighborsRegressor
4.211,1.9727723224754852,KNeighborsRegressor
8.094,6.705589361206699,KNeighborsRegressor
5.567,3.27836618335551,KNeighborsRegressor
8.221,7.721758820515128,KNeighborsRegressor
1.472,2.3242228755420635,KNeighborsRegressor
-0.69,0.5529070216215196,KNeighborsRegressor
10.395,8.760619417609364,KNeighborsRegressor
1.642,2.038433146669148,KNeighborsRegressor
2.04,2.2595991335123133,KNeighborsRegressor
2.875,2.9534595388944713,KNeighborsRegressor
2.097,2.4090761762440414,KNeighborsRegressor
7.461,7.399658621364279,MLPRegressor
5.479,5.782313189220462,MLPRegressor
6.023,6.181266673456454,MLPRegressor
3.006,3.462859533255851,MLPRegressor
1.364,2.384175884785919,MLPRegressor
1.306,1.3929262650576972,MLPRegressor
0.602,-0.170451892392937,MLPRegressor
8.221,8.114518711251575,MLPRegressor
4.329,4.068757374892479,MLPRegressor
2.136,1.9633221532362675,MLPRegressor
4.211,3.9665130211955204,MLPRegressor
8.094,7.768391002875164,MLPRegressor
