Actual,Predicted,Model
7.461,8.182883991763465,Ridge
5.479,6.7412643544141755,Ridge
6.023,4.455672951415684,Ridge
3.006,3.579019222527963,Ridge
1.364,3.4022919432544585,Ridge
1.306,2.220417654963055,Ridge
0.602,0.64068118283318,Ridge
8.221,7.984797519931734,Ridge
4.329,2.4981471060660057,Ridge
2.136,2.1170090968019206,Ridge
4.211,2.089557256403674,Ridge
8.094,7.345982071764561,Ridge
5.567,5.02586064941149,Ridge
8.221,6.45212749273456,Ridge
1.472,-0.13208758411061794,Ridge
-0.69,-1.3658819888770832,Ridge
10.395,11.790783772824263,Ridge
1.642,1.6089472521966863,Ridge
2.04,1.6103343935591146,Ridge
2.875,2.9979327645906784,Ridge
2.097,3.1146928705335206,Ridge
7.461,6.1125,DecisionTreeRegressor
5.479,5.487333333333333,DecisionTreeRegressor
6.023,5.059,DecisionTreeRegressor
3.006,2.41,DecisionTreeRegressor
1.364,0.531,DecisionTreeRegressor
1.306,1.8856666666666666,DecisionTreeRegressor
0.602,0.012333333333333344,DecisionTreeRegressor
8.221,9.209,DecisionTreeRegressor
4.329,4.682666666666666,DecisionTreeRegressor
2.136,2.41,DecisionTreeRegressor
4.211,0.531,DecisionTreeRegressor
8.094,1.419,DecisionTreeRegressor
5.567,2.096666666666667,DecisionTreeRegressor
8.221,8.419,DecisionTreeRegressor
1.472,2.6205,DecisionTreeRegressor
-0.69,1.7380000000000002,DecisionTreeRegressor
10.395,5.296,DecisionTreeRegressor
1.642,2.795666666666667,DecisionTreeRegressor
2.04,2.722,DecisionTreeRegressor
2.875,3.1245000000000003,DecisionTreeRegressor
2.097,2.396,DecisionTreeRegressor
7.461,5.715523521159794,GradientBoostingRegressor
5.479,5.6709245869128155,GradientBoostingRegressor
6.023,5.715523521159794,GradientBoostingRegressor
3.006,2.9759425929968932,GradientBoostingRegressor
1.364,2.6196515198823422,GradientBoostingRegressor
1.306,2.6196515198823422,GradientBoostingRegressor
0.602,2.2215870099608224,GradientBoostingRegressor
8.221,6.65694314056471,GradientBoostingRegressor
4.329,4.446664477381872,GradientBoostingRegressor
2.136,2.9587137921950206,GradientBoostingRegressor
4.211,4.446664477381872,GradientBoostingRegressor
8.094,5.715523521159794,GradientBoostingRegressor
5.567,4.514841543293293,GradientBoostingRegressor
8.221,6.65694314056471,GradientBoostingRegressor
1.472,2.6196515198823422,GradientBoostingRegressor
-0.69,1.6107764494315258,GradientBoostingRegressor
10.395,6.65694314056471,GradientBoostingRegressor
1.642,2.6196515198823422,GradientBoostingRegressor
2.04,2.733604453036395,GradientBoostingRegressor
2.875,4.1414898683451495,GradientBoostingRegressor
2.097,2.636880320684215,GradientBoostingRegressor
7.461,6.891899999999997,RandomForestRegressor
5.479,6.396440000000001,RandomForestRegressor
6.023,6.36226,RandomForestRegressor
3.006,3.0631600000000003,RandomForestRegressor
1.364,1.7155000000000005,RandomForestRegressor
1.306,1.7207400000000002,RandomForestRegressor
0.602,1.1722200000000003,RandomForestRegressor
8.221,8.64456,RandomForestRegressor
4.329,4.353420000000001,RandomForestRegressor
2.136,2.20932,RandomForestRegressor
4.211,3.9084000000000003,RandomForestRegressor
8.094,6.766260000000001,RandomForestRegressor
5.567,4.2620000000000005,RandomForestRegressor
8.221,8.024500000000002,RandomForestRegressor
1.472,1.9000799999999998,RandomForestRegressor
-0.69,1.1113000000000002,RandomForestRegressor
10.395,8.01664,RandomForestRegressor
1.642,2.1554400000000005,RandomForestRegressor
2.04,1.7972399999999993,RandomForestRegressor
2.875,3.3377200000000022,RandomForestRegressor
2.097,2.07042,RandomForestRegressor
7.461,6.341954545454545,AdaBoostRegressor
5.479,6.276999999999999,AdaBoostRegressor
6.023,6.261578947368424,AdaBoostRegressor
3.006,2.7619583333333324,AdaBoostRegressor
1.364,1.5939375000000002,AdaBoostRegressor
1.306,1.8551851851851848,AdaBoostRegressor
0.602,0.9029999999999999,AdaBoostRegressor
8.221,8.794380952380951,AdaBoostRegressor
4.329,4.311896551724138,AdaBoostRegressor
2.136,2.7619583333333324,AdaBoostRegressor
4.211,4.045470588235295,AdaBoostRegressor
8.094,6.600846153846157,AdaBoostRegressor
5.567,4.311896551724138,AdaBoostRegressor
8.221,8.794380952380951,AdaBoostRegressor
1.472,1.7445588235294112,AdaBoostRegressor
-0.69,0.3256470588235294,AdaBoostRegressor
10.395,8.13745,AdaBoostRegressor
1.642,2.193782608695652,AdaBoostRegressor
2.04,1.62,AdaBoostRegressor
2.875,4.045470588235295,AdaBoostRegressor
2.097,1.7445588235294112,AdaBoostRegressor
7.461,6.898811799210407,KNeighborsRegressor
5.479,6.410602265879089,KNeighborsRegressor
6.023,5.017901021021859,KNeighborsRegressor
3.006,3.932164761862084,KNeighborsRegressor
1.364,1.7030613356019353,KNeighborsRegressor
1.306,1.6810810578962783,KNeighborsRegressor
0.602,1.1964077573999206,KNeighborsRegressor
8.221,8.126608572861567,KNeighborsRegressor
4.329,5.213220438535086,KNeighborsRegressor
2.136,2.5432299423264944,KNeighborsRegressor
4.211,1.9727723224754852,KNeighborsRegressor
8.094,6.705589361206699,KNeighborsRegressor
5.567,3.27836618335551,KNeighborsRegressor
8.221,7.721758820515128,KNeighborsRegressor
