Actual,Predicted,Model
7.461,8.183461185542836,Ridge
5.479,6.741639522384389,Ridge
6.023,4.456109759650798,Ridge
3.006,3.5791507369883018,Ridge
1.364,3.4018791859905164,Ridge
1.306,2.220830820877328,Ridge
0.602,0.6407774785725393,Ridge
8.221,7.984683013479318,Ridge
4.329,2.4985399588682013,Ridge
2.136,2.11706205670094,Ridge
4.211,2.0886623395852646,Ridge
8.094,7.346817229752776,Ridge
5.567,5.025998940353906,Ridge
8.221,6.4529145062184865,Ridge
1.472,-0.1310979930977343,Ridge
-0.69,-1.3649097070152276,Ridge
10.395,11.791431095043066,Ridge
1.642,1.6084364690136348,Ridge
2.04,1.6103010693982043,Ridge
2.875,2.9966842122764383,Ridge
2.097,3.114955044684723,Ridge
7.461,2.6685,DecisionTreeRegressor
5.479,5.479,DecisionTreeRegressor
6.023,5.306,DecisionTreeRegressor
3.006,4.738666666666667,DecisionTreeRegressor
1.364,3.731,DecisionTreeRegressor
1.306,1.593,DecisionTreeRegressor
0.602,0.5113333333333333,DecisionTreeRegressor
8.221,8.748333333333333,DecisionTreeRegressor
4.329,3.6390000000000002,DecisionTreeRegressor
2.136,1.8163333333333334,DecisionTreeRegressor
4.211,3.6390000000000002,DecisionTreeRegressor
8.094,6.532,DecisionTreeRegressor
5.567,3.527,DecisionTreeRegressor
8.221,8.748333333333333,DecisionTreeRegressor
1.472,0.6666666666666666,DecisionTreeRegressor
-0.69,0.138,DecisionTreeRegressor
10.395,5.296,DecisionTreeRegressor
1.642,1.639,DecisionTreeRegressor
2.04,1.9536666666666667,DecisionTreeRegressor
2.875,3.6390000000000002,DecisionTreeRegressor
2.097,2.74,DecisionTreeRegressor
7.461,5.715523521159793,GradientBoostingRegressor
5.479,5.670924586912815,GradientBoostingRegressor
6.023,5.715523521159793,GradientBoostingRegressor
3.006,2.9759425929968932,GradientBoostingRegressor
1.364,2.6196515198823422,GradientBoostingRegressor
1.306,2.6196515198823422,GradientBoostingRegressor
0.602,2.2215870099608224,GradientBoostingRegressor
8.221,6.656943140564709,GradientBoostingRegressor
4.329,4.446664477381872,GradientBoostingRegressor
2.136,2.9587137921950206,GradientBoostingRegressor
4.211,4.446664477381872,GradientBoostingRegressor
8.094,5.715523521159793,GradientBoostingRegressor
5.567,4.514841543293293,GradientBoostingRegressor
8.221,6.656943140564709,GradientBoostingRegressor
1.472,2.6196515198823422,GradientBoostingRegressor
-0.69,1.6107764494315258,GradientBoostingRegressor
10.395,6.656943140564709,GradientBoostingRegressor
1.642,2.6196515198823422,GradientBoostingRegressor
2.04,2.733604453036395,GradientBoostingRegressor
2.875,4.1414898683451495,GradientBoostingRegressor
2.097,2.636880320684215,GradientBoostingRegressor
7.461,6.898879999999999,RandomForestRegressor
5.479,6.037200000000001,RandomForestRegressor
6.023,6.624419999999998,RandomForestRegressor
3.006,2.8392599999999995,RandomForestRegressor
1.364,1.6705200000000002,RandomForestRegressor
1.306,1.6242599999999996,RandomForestRegressor
0.602,1.1413999999999995,RandomForestRegressor
8.221,8.74502,RandomForestRegressor
4.329,4.322299999999999,RandomForestRegressor
2.136,2.17502,RandomForestRegressor
4.211,3.8506400000000003,RandomForestRegressor
8.094,6.918839999999998,RandomForestRegressor
5.567,4.25816,RandomForestRegressor
8.221,8.04486,RandomForestRegressor
1.472,1.9281399999999997,RandomForestRegressor
-0.69,0.9788000000000001,RandomForestRegressor
10.395,7.980999999999998,RandomForestRegressor
1.642,1.8090800000000005,RandomForestRegressor
2.04,2.202,RandomForestRegressor
2.875,3.392920000000001,RandomForestRegressor
2.097,1.9372400000000007,RandomForestRegressor
7.461,6.577888888888894,AdaBoostRegressor
5.479,6.205437500000001,AdaBoostRegressor
6.023,6.448045454545454,AdaBoostRegressor
3.006,2.733571428571428,AdaBoostRegressor
1.364,1.5159545454545453,AdaBoostRegressor
1.306,1.731840909090909,AdaBoostRegressor
0.602,0.7055333333333333,AdaBoostRegressor
8.221,8.668704545454547,AdaBoostRegressor
4.329,4.249411764705883,AdaBoostRegressor
2.136,2.6948,AdaBoostRegressor
4.211,4.142816326530611,AdaBoostRegressor
8.094,6.796969696969696,AdaBoostRegressor
5.567,4.62817857142857,AdaBoostRegressor
8.221,8.668704545454547,AdaBoostRegressor
1.472,1.5781276595744678,AdaBoostRegressor
-0.69,0.3013125,AdaBoostRegressor
10.395,8.440271186440677,AdaBoostRegressor
1.642,1.7515599999999998,AdaBoostRegressor
2.04,1.5781276595744678,AdaBoostRegressor
2.875,4.010555555555555,AdaBoostRegressor
2.097,1.5869599999999997,AdaBoostRegressor
7.461,6.898811799210407,KNeighborsRegressor
5.479,6.410602265879089,KNeighborsRegressor
6.023,5.017901021021859,KNeighborsRegressor
3.006,3.932164761862084,KNeighborsRegressor
1.364,1.7030613356019353,KNeighborsRegressor
1.306,1.6810810578962783,KNeighborsRegressor
0.602,1.1964077573999206,KNeighborsRegressor
8.221,8.126608572861567,KNeighborsRegressor
4.329,5.213220438535086,KNeighborsRegressor
2.136,2.5432299423264944,KNeighborsRegressor
4.211,1.9727723224754852,KNeighborsRegressor
8.094,6.705589361206699,KNeighborsRegressor
5.567,3.27836618335551,KNeighborsRegressor
8.221,7.721758820515128,KNeighborsRegressor
1.472,2.3242228755420635,KNeighborsRegressor
-0.69,0.5529070216215196,KNeighborsRegressor
10.395,8.760619417609364,KNeighborsRegressor
1.642,2.038433146669148,KNeighborsRegressor
2.04,2.2595991335123133,KNeighborsRegressor
2.875,2.9534595388944713,KNeighborsRegressor
2.097,2.4090761762440414,KNeighborsRegressor
7.461,7.51018092619353,MLPRegressor
5.479,5.954053641299057,MLPRegressor
6.023,6.270744436776124,MLPRegressor
3.006,3.0362159300509797,MLPRegressor
1.364,3.7230418119765485,MLPRegressor
1.306,1.4623655445057573,MLPRegressor
0.602,-0.49903882084845785,MLPRegressor
8.221,8.150292570700692,MLPRegressor
4.329,3.6656500639811855,MLPRegressor
2.136,1.9577962052275717,MLPRegressor
4.211,3.7711667231159813,MLPRegressor
8.094,7.761978328804817,MLPRegressor
5.567,5.603520144520301,MLPRegressor
8.221,8.684345743664245,MLPRegressor
1.472,0.9835950803136998,MLPRegressor
-0.69,-0.04484590285763147,MLPRegressor
10.395,9.954829425254596,MLPRegressor
1.642,2.0899549666552,MLPRegressor
2.04,2.197016503397945,MLPRegressor
2.875,2.6064734649093872,MLPRegressor
2.097,1.6869458953680032,MLPRegressor
7.461,6.066571944175414,ElasticNet
5.479,6.585003398398888,ElasticNet
6.023,5.0854266953615275,ElasticNet
3.006,3.336135488527795,ElasticNet
1.364,3.295091591185819,ElasticNet
1.306,2.210989686836147,ElasticNet
0.602,2.7735103682135662,ElasticNet
8.221,6.639191110142326,ElasticNet
4.329,4.019400098441259,ElasticNet
2.136,2.352228904804457,ElasticNet
4.211,3.3641252547932505,ElasticNet
8.094,5.385425951293524,ElasticNet
5.567,3.823323080845998,ElasticNet
8.221,6.2308478130454965,ElasticNet
1.472,1.9098286902529895,ElasticNet
-0.69,2.5974340278820516,ElasticNet
10.395,6.53168194228732,ElasticNet
1.642,2.1710391204633552,ElasticNet
2.04,3.0657315347856193,ElasticNet
2.875,3.669333750311326,ElasticNet
2.097,3.183122078764555,ElasticNet
7.461,8.232029357982675,SGDRegressor
5.479,6.681741121673822,SGDRegressor
6.023,4.348903635308428,SGDRegressor
3.006,3.5822524885791176,SGDRegressor
1.364,3.4466950211432588,SGDRegressor
1.306,2.285326923986229,SGDRegressor
0.602,0.6400685366896264,SGDRegressor
8.221,8.021169070861719,SGDRegressor
4.329,2.4463854422506532,SGDRegressor
2.136,2.1211110027475066,SGDRegressor
4.211,2.011163040504634,SGDRegressor
8.094,7.382442058362704,SGDRegressor
5.567,5.074659039949529,SGDRegressor
8.221,6.421650836804708,SGDRegressor
1.472,-0.2155473347474155,SGDRegressor
-0.69,-1.413500308344748,SGDRegressor
10.395,11.958111810855947,SGDRegressor
1.642,1.6880259850077701,SGDRegressor
2.04,1.549756121043095,SGDRegressor
2.875,3.0441080604776247,SGDRegressor
2.097,3.131089587782985,SGDRegressor
7.461,8.058411807604797,BayesianRidge
5.479,6.762263852818858,BayesianRidge
6.023,4.483213539349142,BayesianRidge
3.006,3.633429733245329,BayesianRidge
1.364,3.422061382697892,BayesianRidge
1.306,2.1688017786373117,BayesianRidge
0.602,0.6857139179966052,BayesianRidge
8.221,7.916676372049945,BayesianRidge
4.329,2.582250839064188,BayesianRidge
2.136,2.1439087787113458,BayesianRidge
4.211,2.1289236419096977,BayesianRidge
8.094,7.367532011241367,BayesianRidge
5.567,4.967094586118582,BayesianRidge
8.221,6.496577719074745,BayesianRidge
1.472,-0.12108528270720509,BayesianRidge
-0.69,-1.2887117662596657,BayesianRidge
10.395,11.71064096190904,BayesianRidge
1.642,1.5478753698095753,BayesianRidge
2.04,1.6923139653839265,BayesianRidge
2.875,2.993136561844043,BayesianRidge
2.097,3.1510011001920684,BayesianRidge
7.461,7.555355500322047,KernelRidge
5.479,6.069716581469308,KernelRidge
6.023,5.239186362287779,KernelRidge
3.006,3.3122632142319546,KernelRidge
