Actual,Predicted,Model
7.461,8.183071812691306,Ridge
5.479,6.741686256216075,Ridge
6.023,4.455170446168969,Ridge
3.006,3.57907368898542,Ridge
1.364,3.4019741428820724,Ridge
1.306,2.2207485867200294,Ridge
0.602,0.6412025857404031,Ridge
8.221,7.984942491377671,Ridge
4.329,2.498947026487298,Ridge
2.136,2.116693288665297,Ridge
4.211,2.088252494347253,Ridge
8.094,7.345297234871078,Ridge
5.567,5.02615372970577,Ridge
8.221,6.453261917088929,Ridge
1.472,-0.13149945925426998,Ridge
-0.69,-1.3649720729498087,Ridge
10.395,11.78957834900762,Ridge
1.642,1.6083967866058342,Ridge
2.04,1.6105525008087191,Ridge
2.875,2.997490309984284,Ridge
2.097,3.114760832092259,Ridge
7.461,7.066,DecisionTreeRegressor
5.479,5.479,DecisionTreeRegressor
6.023,6.4475,DecisionTreeRegressor
3.006,3.148,DecisionTreeRegressor
1.364,0.742,DecisionTreeRegressor
1.306,3.635,DecisionTreeRegressor
0.602,-0.334,DecisionTreeRegressor
8.221,9.012,DecisionTreeRegressor
4.329,4.541,DecisionTreeRegressor
2.136,3.635,DecisionTreeRegressor
4.211,4.907,DecisionTreeRegressor
8.094,7.5375,DecisionTreeRegressor
5.567,3.4085,DecisionTreeRegressor
8.221,8.814,DecisionTreeRegressor
1.472,2.2355,DecisionTreeRegressor
-0.69,1.112,DecisionTreeRegressor
10.395,7.8260000000000005,DecisionTreeRegressor
1.642,0.594,DecisionTreeRegressor
2.04,2.016,DecisionTreeRegressor
2.875,3.2,DecisionTreeRegressor
2.097,2.2355,DecisionTreeRegressor
7.461,5.715523521159793,GradientBoostingRegressor
5.479,5.670924586912815,GradientBoostingRegressor
6.023,5.715523521159793,GradientBoostingRegressor
3.006,2.9759425929968932,GradientBoostingRegressor
1.364,2.6196515198823422,GradientBoostingRegressor
1.306,2.6196515198823422,GradientBoostingRegressor
0.602,2.221587009960822,GradientBoostingRegressor
8.221,6.65694314056471,GradientBoostingRegressor
4.329,4.446664477381872,GradientBoostingRegressor
2.136,2.9587137921950206,GradientBoostingRegressor
4.211,4.446664477381872,GradientBoostingRegressor
8.094,5.715523521159793,GradientBoostingRegressor
5.567,4.514841543293293,GradientBoostingRegressor
8.221,6.65694314056471,GradientBoostingRegressor
1.472,2.6196515198823422,GradientBoostingRegressor
-0.69,1.6107764494315258,GradientBoostingRegressor
10.395,6.65694314056471,GradientBoostingRegressor
