Actual,Predicted,Model
7.461,8.182883991763465,Ridge
5.479,6.7412643544141755,Ridge
6.023,4.455672951415684,Ridge
3.006,3.579019222527963,Ridge
1.364,3.4022919432544585,Ridge
1.306,2.220417654963055,Ridge
0.602,0.64068118283318,Ridge
8.221,7.984797519931734,Ridge
4.329,2.4981471060660057,Ridge
2.136,2.1170090968019206,Ridge
4.211,2.089557256403674,Ridge
8.094,7.345982071764561,Ridge
5.567,5.02586064941149,Ridge
8.221,6.45212749273456,Ridge
1.472,-0.13208758411061794,Ridge
-0.69,-1.3658819888770832,Ridge
10.395,11.790783772824263,Ridge
1.642,1.6089472521966863,Ridge
2.04,1.6103343935591146,Ridge
2.875,2.9979327645906784,Ridge
2.097,3.1146928705335206,Ridge
7.461,7.223,DecisionTreeRegressor
5.479,7.43075,DecisionTreeRegressor
6.023,6.480333333333333,DecisionTreeRegressor
3.006,2.0653333333333332,DecisionTreeRegressor
1.364,6.64,DecisionTreeRegressor
1.306,2.447,DecisionTreeRegressor
0.602,2.525,DecisionTreeRegressor
8.221,7.43075,DecisionTreeRegressor
4.329,0.47,DecisionTreeRegressor
2.136,2.447,DecisionTreeRegressor
4.211,0.698,DecisionTreeRegressor
8.094,7.223,DecisionTreeRegressor
5.567,4.8985,DecisionTreeRegressor
8.221,7.43075,DecisionTreeRegressor
1.472,1.62725,DecisionTreeRegressor
-0.69,0.698,DecisionTreeRegressor
10.395,9.45625,DecisionTreeRegressor
1.642,1.77025,DecisionTreeRegressor
2.04,2.362,DecisionTreeRegressor
2.875,3.6215,DecisionTreeRegressor
2.097,2.5317499999999997,DecisionTreeRegressor
7.461,5.715523521159793,GradientBoostingRegressor
5.479,5.670924586912815,GradientBoostingRegressor
6.023,5.715523521159793,GradientBoostingRegressor
3.006,2.9759425929968932,GradientBoostingRegressor
1.364,2.6196515198823422,GradientBoostingRegressor
1.306,2.6196515198823422,GradientBoostingRegressor
0.602,2.221587009960822,GradientBoostingRegressor
8.221,6.65694314056471,GradientBoostingRegressor
4.329,4.446664477381872,GradientBoostingRegressor
2.136,2.9587137921950206,GradientBoostingRegressor
4.211,4.446664477381872,GradientBoostingRegressor
8.094,5.715523521159793,GradientBoostingRegressor
5.567,4.514841543293293,GradientBoostingRegressor
8.221,6.65694314056471,GradientBoostingRegressor
1.472,2.6196515198823422,GradientBoostingRegressor
-0.69,1.6107764494315258,GradientBoostingRegressor
10.395,6.65694314056471,GradientBoostingRegressor
1.642,2.6196515198823422,GradientBoostingRegressor
2.04,2.733604453036395,GradientBoostingRegressor
2.875,4.1414898683451495,GradientBoostingRegressor
2.097,2.636880320684215,GradientBoostingRegressor
7.461,6.76098,RandomForestRegressor
5.479,6.3456399999999995,RandomForestRegressor
6.023,6.5086,RandomForestRegressor
3.006,2.8573799999999996,RandomForestRegressor
1.364,2.11688,RandomForestRegressor
1.306,1.70972,RandomForestRegressor
0.602,0.8651000000000002,RandomForestRegressor
8.221,8.34984,RandomForestRegressor
4.329,4.278379999999999,RandomForestRegressor
2.136,2.2514600000000002,RandomForestRegressor
4.211,3.85544,RandomForestRegressor
8.094,6.686719999999999,RandomForestRegressor
5.567,4.610180000000002,RandomForestRegressor
8.221,7.902819999999999,RandomForestRegressor
1.472,1.9473599999999995,RandomForestRegressor
-0.69,1.2928600000000001,RandomForestRegressor
10.395,7.854679999999998,RandomForestRegressor
1.642,1.9663400000000002,RandomForestRegressor
2.04,2.005079999999999,RandomForestRegressor
2.875,3.459200000000001,RandomForestRegressor
2.097,2.0688,RandomForestRegressor
7.461,6.5167,AdaBoostRegressor
5.479,6.108500000000002,AdaBoostRegressor
6.023,6.345039215686274,AdaBoostRegressor
3.006,2.59225,AdaBoostRegressor
1.364,1.4906666666666664,AdaBoostRegressor
1.306,1.5989310344827588,AdaBoostRegressor
0.602,0.9050740740740741,AdaBoostRegressor
8.221,8.851444444444441,AdaBoostRegressor
4.329,4.390324324324324,AdaBoostRegressor
2.136,2.555,AdaBoostRegressor
4.211,4.338236842105263,AdaBoostRegressor
8.094,6.745178571428572,AdaBoostRegressor
5.567,4.819145454545455,AdaBoostRegressor
8.221,8.844938775510204,AdaBoostRegressor
1.472,1.565830508474576,AdaBoostRegressor
-0.69,0.2581219512195123,AdaBoostRegressor
10.395,8.465074626865668,AdaBoostRegressor
1.642,1.8291999999999995,AdaBoostRegressor
2.04,1.565830508474576,AdaBoostRegressor
2.875,4.0838688524590205,AdaBoostRegressor
2.097,1.5950000000000002,AdaBoostRegressor
7.461,6.898811799210407,KNeighborsRegressor
5.479,6.410602265879089,KNeighborsRegressor
6.023,5.017901021021859,KNeighborsRegressor
3.006,3.932164761862084,KNeighborsRegressor
1.364,1.7030613356019353,KNeighborsRegressor
1.306,1.6810810578962783,KNeighborsRegressor
0.602,1.1964077573999206,KNeighborsRegressor
8.221,8.126608572861567,KNeighborsRegressor
4.329,5.213220438535086,KNeighborsRegressor
2.136,2.5432299423264944,KNeighborsRegressor
4.211,1.9727723224754852,KNeighborsRegressor
8.094,6.705589361206699,KNeighborsRegressor
5.567,3.27836618335551,KNeighborsRegressor
8.221,7.721758820515128,KNeighborsRegressor
1.472,2.3242228755420635,KNeighborsRegressor
