Actual,Predicted,Model
3.485,2.327212474733617,Ridge
2.209,1.6630559023227676,Ridge
0.308,0.4172453423049731,Ridge
1.68,1.7884977601414036,Ridge
0.621,2.7538903810337807,Ridge
10.0,4.017998914879417,Ridge
0.52,0.8108887421117785,Ridge
1.428,1.7183351950917718,Ridge
1.579,1.6876703764769658,Ridge
1.756,1.6822124037782693,Ridge
10.0,10.427514272219113,Ridge
0.218,0.32650069700696704,Ridge
0.193,0.30129385109086115,Ridge
0.823,0.9314649989936328,Ridge
3.896,4.331107185703235,Ridge
10.0,5.284479688434665,Ridge
-0.052,0.056535377245424456,Ridge
5.28,3.5946157429925982,Ridge
3.162,2.2946542817338376,Ridge
1.73,3.8629916013426744,Ridge
3.815,7.550156966438493,Ridge
3.485,2.336,DecisionTreeRegressor
2.209,2.184,DecisionTreeRegressor
0.308,0.36066666666666664,DecisionTreeRegressor
1.68,1.73,DecisionTreeRegressor
0.621,0.6085,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.52,-0.009,DecisionTreeRegressor
1.428,1.2513333333333334,DecisionTreeRegressor
1.579,1.73,DecisionTreeRegressor
1.756,1.806,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.218,0.243,DecisionTreeRegressor
0.193,0.157,DecisionTreeRegressor
0.823,0.7475,DecisionTreeRegressor
3.896,3.854,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
-0.052,1.825,DecisionTreeRegressor
5.28,5.0385,DecisionTreeRegressor
3.162,3.854,DecisionTreeRegressor
1.73,3.3080000000000003,DecisionTreeRegressor
3.815,8.122666666666667,DecisionTreeRegressor
3.485,5.723113912884707,GradientBoostingRegressor
2.209,5.723113912884707,GradientBoostingRegressor
0.308,5.723113912884707,GradientBoostingRegressor
1.68,5.723113912884707,GradientBoostingRegressor
0.621,5.723113912884707,GradientBoostingRegressor
10.0,7.128905798185875,GradientBoostingRegressor
0.52,5.723113912884707,GradientBoostingRegressor
1.428,5.723113912884707,GradientBoostingRegressor
1.579,5.723113912884707,GradientBoostingRegressor
1.756,5.723113912884707,GradientBoostingRegressor
10.0,7.128905798185875,GradientBoostingRegressor
0.218,5.723113912884707,GradientBoostingRegressor
0.193,5.723113912884707,GradientBoostingRegressor
0.823,5.723113912884707,GradientBoostingRegressor
3.896,5.776929916299895,GradientBoostingRegressor
10.0,7.128905798185875,GradientBoostingRegressor
-0.052,5.723113912884707,GradientBoostingRegressor
5.28,5.723113912884707,GradientBoostingRegressor
3.162,5.723113912884707,GradientBoostingRegressor
1.73,5.723113912884707,GradientBoostingRegressor
3.815,5.776929916299895,GradientBoostingRegressor
3.485,3.517,RandomForestRegressor
2.209,2.209,RandomForestRegressor
0.308,0.319,RandomForestRegressor
1.68,1.73,RandomForestRegressor
0.621,0.866,RandomForestRegressor
10.0,10.0,RandomForestRegressor
0.52,0.52,RandomForestRegressor
1.428,1.428,RandomForestRegressor
1.579,1.73,RandomForestRegressor
1.756,1.705,RandomForestRegressor
10.0,10.0,RandomForestRegressor
0.218,0.243,RandomForestRegressor
0.193,0.157,RandomForestRegressor
0.823,0.798,RandomForestRegressor
3.896,5.789,RandomForestRegressor
10.0,10.0,RandomForestRegressor
-0.052,0.117,RandomForestRegressor
5.28,5.603,RandomForestRegressor
3.162,3.854,RandomForestRegressor
1.73,2.487,RandomForestRegressor
3.815,3.707,RandomForestRegressor
3.485,1.4054333333333342,AdaBoostRegressor
2.209,2.436266666666667,AdaBoostRegressor
0.308,1.4054333333333342,AdaBoostRegressor
1.68,1.4054333333333342,AdaBoostRegressor
0.621,1.4054333333333342,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.52,1.4054333333333342,AdaBoostRegressor
1.428,1.4054333333333342,AdaBoostRegressor
1.579,1.4054333333333342,AdaBoostRegressor
1.756,1.4054333333333342,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.218,1.4054333333333342,AdaBoostRegressor
0.193,1.4054333333333342,AdaBoostRegressor
0.823,1.4054333333333342,AdaBoostRegressor
3.896,4.6926000000000005,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
-0.052,1.4054333333333342,AdaBoostRegressor
5.28,4.6926000000000005,AdaBoostRegressor
3.162,4.6926000000000005,AdaBoostRegressor
1.73,1.4054333333333342,AdaBoostRegressor
3.815,3.240363636363637,AdaBoostRegressor
3.485,2.3297913043478258,KNeighborsRegressor
2.209,2.209,KNeighborsRegressor
0.308,0.32614285714285607,KNeighborsRegressor
1.68,1.73,KNeighborsRegressor
0.621,0.621,KNeighborsRegressor
10.0,9.995629253219388,KNeighborsRegressor
0.52,0.5203076923076931,KNeighborsRegressor
1.428,1.428,KNeighborsRegressor
1.579,1.5788000000000033,KNeighborsRegressor
1.756,1.755333333333335,KNeighborsRegressor
10.0,5.520935660208377,KNeighborsRegressor
0.218,0.21770588235293473,KNeighborsRegressor
0.193,0.19241176470588045,KNeighborsRegressor
0.823,1.1633571428570977,KNeighborsRegressor
3.896,5.214546838822206,KNeighborsRegressor
10.0,9.990271835489246,KNeighborsRegressor
-0.052,0.10349355877616738,KNeighborsRegressor
5.28,5.280428571428569,KNeighborsRegressor
3.162,3.8567525300029484,KNeighborsRegressor
1.73,1.7305789473684212,KNeighborsRegressor
