Actual,Predicted,Model
3.485,2.33890693179422,Ridge
2.209,1.6434367022455483,Ridge
0.308,0.41246146840488507,Ridge
1.68,1.7834941861895537,Ridge
0.621,2.786480968412686,Ridge
10.0,4.069261386203024,Ridge
0.52,0.8146557210270124,Ridge
1.428,1.7219567842668724,Ridge
1.579,1.6826829569406883,Ridge
1.756,1.6686119369267196,Ridge
10.0,10.379092515546244,Ridge
0.218,0.3217313620808895,Ridge
0.193,0.296528554768674,Ridge
0.823,0.9265987375741318,Ridge
3.896,4.250288579772921,Ridge
10.0,5.369107932253982,Ridge
-0.052,0.05180929576703619,Ridge
5.28,3.5524715252460837,Ridge
3.162,2.2359339988124276,Ridge
1.73,3.8954044901503018,Ridge
3.815,7.563389776401053,Ridge
3.485,2.2689999999999997,DecisionTreeRegressor
2.209,2.066333333333333,DecisionTreeRegressor
0.308,0.3606666666666667,DecisionTreeRegressor
1.68,1.73,DecisionTreeRegressor
0.621,0.6085,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.52,1.037,DecisionTreeRegressor
1.428,1.327,DecisionTreeRegressor
1.579,1.478,DecisionTreeRegressor
1.756,1.7175,DecisionTreeRegressor
10.0,5.7895,DecisionTreeRegressor
0.218,0.243,DecisionTreeRegressor
0.193,0.122,DecisionTreeRegressor
0.823,0.7136666666666667,DecisionTreeRegressor
3.896,4.494,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
-0.052,0.122,DecisionTreeRegressor
5.28,5.873333333333332,DecisionTreeRegressor
3.162,4.494,DecisionTreeRegressor
1.73,1.4213333333333333,DecisionTreeRegressor
3.815,3.949,DecisionTreeRegressor
3.485,5.723113912884707,GradientBoostingRegressor
2.209,5.723113912884707,GradientBoostingRegressor
0.308,5.723113912884707,GradientBoostingRegressor
1.68,5.723113912884707,GradientBoostingRegressor
0.621,5.723113912884707,GradientBoostingRegressor
10.0,7.128905798185875,GradientBoostingRegressor
0.52,5.723113912884707,GradientBoostingRegressor
1.428,5.723113912884707,GradientBoostingRegressor
1.579,5.723113912884707,GradientBoostingRegressor
1.756,5.723113912884707,GradientBoostingRegressor
10.0,7.128905798185875,GradientBoostingRegressor
0.218,5.723113912884707,GradientBoostingRegressor
0.193,5.723113912884707,GradientBoostingRegressor
0.823,5.723113912884707,GradientBoostingRegressor
3.896,5.776929916299895,GradientBoostingRegressor
10.0,7.128905798185875,GradientBoostingRegressor
-0.052,5.723113912884707,GradientBoostingRegressor
5.28,5.723113912884707,GradientBoostingRegressor
3.162,5.723113912884707,GradientBoostingRegressor
1.73,5.723113912884707,GradientBoostingRegressor
3.815,5.776929916299895,GradientBoostingRegressor
3.485,1.856,RandomForestRegressor
2.209,2.159,RandomForestRegressor
0.308,0.369,RandomForestRegressor
1.68,1.73,RandomForestRegressor
0.621,0.621,RandomForestRegressor
10.0,10.0,RandomForestRegressor
0.52,1.515,RandomForestRegressor
1.428,1.226,RandomForestRegressor
1.579,1.73,RandomForestRegressor
1.756,1.73,RandomForestRegressor
10.0,3.137,RandomForestRegressor
0.218,0.157,RandomForestRegressor
0.193,0.157,RandomForestRegressor
0.823,0.924,RandomForestRegressor
3.896,2.512,RandomForestRegressor
10.0,10.0,RandomForestRegressor
-0.052,0.944,RandomForestRegressor
5.28,5.603,RandomForestRegressor
3.162,3.854,RandomForestRegressor
1.73,1.495,RandomForestRegressor
3.815,3.949,RandomForestRegressor
3.485,1.5585481481481487,AdaBoostRegressor
2.209,1.5585481481481487,AdaBoostRegressor
0.308,1.5585481481481487,AdaBoostRegressor
1.68,1.5585481481481487,AdaBoostRegressor
0.621,1.5585481481481487,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.52,1.5585481481481487,AdaBoostRegressor
1.428,1.5585481481481487,AdaBoostRegressor
1.579,1.5585481481481487,AdaBoostRegressor
1.756,1.5585481481481487,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.218,1.5585481481481487,AdaBoostRegressor
0.193,1.5585481481481487,AdaBoostRegressor
0.823,1.5585481481481487,AdaBoostRegressor
3.896,3.8105172413793102,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
