Actual,Predicted,Model
3.485,2.303608002079521,Ridge
2.209,1.6610680618780123,Ridge
0.308,0.38642342080841274,Ridge
1.68,1.759515028933201,Ridge
0.621,2.705162777124805,Ridge
10.0,3.9604469426152598,Ridge
0.52,0.7341002643420822,Ridge
1.428,1.6427638285423143,Ridge
1.579,1.6585524106887348,Ridge
1.756,1.699581647396272,Ridge
10.0,10.310435557301489,Ridge
0.218,0.29555706438838314,Ridge
0.193,0.27031640982726657,Ridge
0.823,0.9013327738552057,Ridge
3.896,4.163753560573845,Ridge
10.0,5.237937798116281,Ridge
-0.052,0.025229654038820826,Ridge
5.28,3.5618966902106344,Ridge
3.162,2.255535949318567,Ridge
1.73,3.8157515778139874,Ridge
3.815,7.301734930055293,Ridge
3.485,2.336,DecisionTreeRegressor
2.209,2.209,DecisionTreeRegressor
0.308,0.319,DecisionTreeRegressor
1.68,1.73,DecisionTreeRegressor
0.621,0.621,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.52,0.974,DecisionTreeRegressor
1.428,1.428,DecisionTreeRegressor
1.579,1.478,DecisionTreeRegressor
1.756,1.73,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.218,0.243,DecisionTreeRegressor
0.193,0.157,DecisionTreeRegressor
0.823,0.798,DecisionTreeRegressor
3.896,3.854,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
-0.052,0.092,DecisionTreeRegressor
5.28,5.789,DecisionTreeRegressor
3.162,3.854,DecisionTreeRegressor
1.73,1.781,DecisionTreeRegressor
3.815,3.842,DecisionTreeRegressor
3.485,5.723113912884707,GradientBoostingRegressor
2.209,5.723113912884707,GradientBoostingRegressor
0.308,5.723113912884707,GradientBoostingRegressor
1.68,5.723113912884707,GradientBoostingRegressor
0.621,5.723113912884707,GradientBoostingRegressor
10.0,7.128905798185875,GradientBoostingRegressor
0.52,5.723113912884707,GradientBoostingRegressor
1.428,5.723113912884707,GradientBoostingRegressor
1.579,5.723113912884707,GradientBoostingRegressor
1.756,5.723113912884707,GradientBoostingRegressor
10.0,7.128905798185875,GradientBoostingRegressor
0.218,5.723113912884707,GradientBoostingRegressor
0.193,5.723113912884707,GradientBoostingRegressor
0.823,5.723113912884707,GradientBoostingRegressor
3.896,5.776929916299895,GradientBoostingRegressor
10.0,7.128905798185875,GradientBoostingRegressor
-0.052,5.723113912884707,GradientBoostingRegressor
5.28,5.723113912884707,GradientBoostingRegressor
3.162,5.723113912884707,GradientBoostingRegressor
1.73,5.723113912884707,GradientBoostingRegressor
3.815,5.776929916299895,GradientBoostingRegressor
3.485,2.8365,RandomForestRegressor
2.209,2.43025,RandomForestRegressor
0.308,0.3815,RandomForestRegressor
1.68,1.8771666666666669,RandomForestRegressor
0.621,1.7334,RandomForestRegressor
10.0,10.0,RandomForestRegressor
0.52,1.1673333333333333,RandomForestRegressor
1.428,1.1673333333333333,RandomForestRegressor
1.579,1.4113333333333333,RandomForestRegressor
1.756,1.7806666666666668,RandomForestRegressor
10.0,10.0,RandomForestRegressor
0.218,0.20060000000000003,RandomForestRegressor
0.193,0.20060000000000003,RandomForestRegressor
0.823,0.798,RandomForestRegressor
3.896,5.789,RandomForestRegressor
10.0,7.89475,RandomForestRegressor
-0.052,1.7334,RandomForestRegressor
5.28,5.789,RandomForestRegressor
3.162,4.368,RandomForestRegressor
1.73,1.066625,RandomForestRegressor
3.815,5.75925,RandomForestRegressor
3.485,1.2831696428571424,AdaBoostRegressor
2.209,2.5990937500000015,AdaBoostRegressor
0.308,1.2831696428571424,AdaBoostRegressor
1.68,1.2831696428571424,AdaBoostRegressor
0.621,1.2831696428571424,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.52,1.2831696428571424,AdaBoostRegressor
1.428,1.2831696428571424,AdaBoostRegressor
1.579,1.2831696428571424,AdaBoostRegressor
1.756,1.2831696428571424,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.218,1.2831696428571424,AdaBoostRegressor
0.193,1.2831696428571424,AdaBoostRegressor
0.823,1.2831696428571424,AdaBoostRegressor
3.896,5.5732727272727285,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
-0.052,1.2831696428571424,AdaBoostRegressor
5.28,5.5732727272727285,AdaBoostRegressor
3.162,5.5732727272727285,AdaBoostRegressor
1.73,1.2831696428571424,AdaBoostRegressor
3.815,3.1325263157894736,AdaBoostRegressor
3.485,2.3297913043478258,KNeighborsRegressor
2.209,2.209,KNeighborsRegressor
0.308,0.32614285714285607,KNeighborsRegressor
1.68,1.73,KNeighborsRegressor
0.621,0.621,KNeighborsRegressor
10.0,9.995629253219388,KNeighborsRegressor
0.52,0.5203076923076931,KNeighborsRegressor
1.428,1.428,KNeighborsRegressor
1.579,1.5788000000000033,KNeighborsRegressor
1.756,1.755333333333335,KNeighborsRegressor
10.0,5.520935660208377,KNeighborsRegressor
0.218,0.21770588235293473,KNeighborsRegressor
0.193,0.19241176470588045,KNeighborsRegressor
0.823,1.1633571428570977,KNeighborsRegressor
3.896,5.214546838822206,KNeighborsRegressor
10.0,9.990271835489246,KNeighborsRegressor
-0.052,0.10349355877616738,KNeighborsRegressor
5.28,5.280428571428569,KNeighborsRegressor
3.162,3.8567525300029484,KNeighborsRegressor
1.73,1.7305789473684212,KNeighborsRegressor
3.815,6.709251182390919,KNeighborsRegressor
3.485,1.5813934557163376,MLPRegressor
2.209,3.4934490285603115,MLPRegressor
0.308,-0.09901523710958013,MLPRegressor
1.68,1.2714881357553833,MLPRegressor
0.621,1.938800914869424,MLPRegressor
10.0,3.0534426823458176,MLPRegressor
0.52,-0.38843218078750086,MLPRegressor
1.428,0.5185185806672539,MLPRegressor
1.579,1.1707158289270823,MLPRegressor
1.756,1.8481061538939743,MLPRegressor
10.0,14.978013893044666,MLPRegressor
0.218,-0.18971031325506946,MLPRegressor
