Actual,Predicted,Model
3.485,2.34542013869644,Ridge
2.209,1.6235221889698686,Ridge
0.308,0.41912667728983877,Ridge
1.68,1.7901347549983164,Ridge
0.621,2.7874710569996317,Ridge
10.0,4.067412193459177,Ridge
0.52,0.8133126256902088,Ridge
1.428,1.720597382997294,Ridge
1.579,1.6893253375197546,Ridge
1.756,1.6832556464118582,Ridge
10.0,10.342639910133023,Ridge
0.218,0.32839820155912136,Ridge
0.193,0.3031958471894818,Ridge
0.823,0.9332547064305139,Ridge
3.896,4.240951325783406,Ridge
10.0,5.367000618627731,Ridge
-0.052,0.058480986260271095,Ridge
5.28,3.5457184536094495,Ridge
3.162,2.2293219679481595,Ridge
1.73,3.896374649263855,Ridge
3.815,7.566682288026346,Ridge
3.485,2.12375,DecisionTreeRegressor
2.209,2.066333333333333,DecisionTreeRegressor
0.308,0.33125000000000004,DecisionTreeRegressor
1.68,1.73,DecisionTreeRegressor
0.621,0.6085,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.52,0.70725,DecisionTreeRegressor
1.428,1.38375,DecisionTreeRegressor
1.579,1.428,DecisionTreeRegressor
1.756,1.7175,DecisionTreeRegressor
10.0,3.722,DecisionTreeRegressor
0.218,0.8394999999999999,DecisionTreeRegressor
0.193,0.8394999999999999,DecisionTreeRegressor
0.823,0.7136666666666667,DecisionTreeRegressor
3.896,2.066333333333333,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
-0.052,0.6085,DecisionTreeRegressor
5.28,5.0385,DecisionTreeRegressor
3.162,2.3747499999999997,DecisionTreeRegressor
1.73,3.308,DecisionTreeRegressor
3.815,5.0885,DecisionTreeRegressor
3.485,5.723113912884707,GradientBoostingRegressor
2.209,5.723113912884707,GradientBoostingRegressor
0.308,5.723113912884707,GradientBoostingRegressor
1.68,5.723113912884707,GradientBoostingRegressor
0.621,5.723113912884707,GradientBoostingRegressor
10.0,7.128905798185875,GradientBoostingRegressor
0.52,5.723113912884707,GradientBoostingRegressor
1.428,5.723113912884707,GradientBoostingRegressor
1.579,5.723113912884707,GradientBoostingRegressor
1.756,5.723113912884707,GradientBoostingRegressor
10.0,7.128905798185875,GradientBoostingRegressor
0.218,5.723113912884707,GradientBoostingRegressor
0.193,5.723113912884707,GradientBoostingRegressor
0.823,5.723113912884707,GradientBoostingRegressor
3.896,5.776929916299895,GradientBoostingRegressor
10.0,7.128905798185875,GradientBoostingRegressor
-0.052,5.723113912884707,GradientBoostingRegressor
5.28,5.723113912884707,GradientBoostingRegressor
3.162,5.723113912884707,GradientBoostingRegressor
1.73,5.723113912884707,GradientBoostingRegressor
3.815,5.776929916299895,GradientBoostingRegressor
3.485,2.396,RandomForestRegressor
2.209,2.209,RandomForestRegressor
0.308,0.369,RandomForestRegressor
1.68,1.73,RandomForestRegressor
0.621,0.621,RandomForestRegressor
10.0,10.0,RandomForestRegressor
0.52,0.974,RandomForestRegressor
1.428,1.428,RandomForestRegressor
1.579,1.478,RandomForestRegressor
1.756,1.73,RandomForestRegressor
10.0,10.0,RandomForestRegressor
0.218,0.243,RandomForestRegressor
0.193,0.157,RandomForestRegressor
0.823,1.821,RandomForestRegressor
3.896,2.499,RandomForestRegressor
10.0,10.0,RandomForestRegressor
-0.052,0.157,RandomForestRegressor
5.28,5.603,RandomForestRegressor
3.162,2.499,RandomForestRegressor
1.73,1.781,RandomForestRegressor
3.815,3.949,RandomForestRegressor
3.485,1.5522285714285706,AdaBoostRegressor
2.209,1.5522285714285706,AdaBoostRegressor
0.308,1.5522285714285706,AdaBoostRegressor
1.68,1.5522285714285706,AdaBoostRegressor
0.621,1.5522285714285706,AdaBoostRegressor
10.0,10.0,AdaBoostRegressor
0.52,1.5522285714285706,AdaBoostRegressor
1.428,1.5522285714285706,AdaBoostRegressor
1.579,1.5522285714285706,AdaBoostRegressor
1.756,1.5522285714285706,AdaBoostRegressor
