Actual,Predicted,Model
3.485,2.3163309325186425,Ridge
2.209,1.6418704911844166,Ridge
0.308,0.40609203463300503,Ridge
1.68,1.7771173941493323,Ridge
0.621,2.752282292330971,Ridge
10.0,4.0211475749697065,Ridge
0.52,0.7788011039070852,Ridge
1.428,1.6860972977046593,Ridge
1.579,1.6763067059496066,Ridge
1.756,1.6917187862444827,Ridge
10.0,10.505323267964496,Ridge
0.218,0.31536241525324016,Ridge
0.193,0.29015974320330784,Ridge
0.823,0.9202265444516229,Ridge
3.896,4.3839841226948515,Ridge
10.0,5.288594692082814,Ridge
-0.052,0.04544179759846756,Ridge
5.28,3.6318197393311458,Ridge
3.162,2.331485505053873,Ridge
1.73,3.8611998625280144,Ridge
3.815,7.602565730195856,Ridge
3.485,2.49,DecisionTreeRegressor
2.209,2.184,DecisionTreeRegressor
0.308,0.281,DecisionTreeRegressor
1.68,1.73,DecisionTreeRegressor
0.621,0.6085,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
0.52,0.974,DecisionTreeRegressor
1.428,1.428,DecisionTreeRegressor
1.579,1.478,DecisionTreeRegressor
1.756,1.7175,DecisionTreeRegressor
10.0,6.43,DecisionTreeRegressor
0.218,0.281,DecisionTreeRegressor
0.193,0.157,DecisionTreeRegressor
0.823,0.798,DecisionTreeRegressor
3.896,3.854,DecisionTreeRegressor
10.0,10.0,DecisionTreeRegressor
-0.052,0.10450000000000001,DecisionTreeRegressor
5.28,3.854,DecisionTreeRegressor
3.162,3.854,DecisionTreeRegressor
1.73,1.781,DecisionTreeRegressor
3.815,3.041,DecisionTreeRegressor
3.485,5.723113912884707,GradientBoostingRegressor
2.209,5.723113912884707,GradientBoostingRegressor
0.308,5.723113912884707,GradientBoostingRegressor
1.68,5.723113912884707,GradientBoostingRegressor
0.621,5.723113912884707,GradientBoostingRegressor
10.0,7.128905798185875,GradientBoostingRegressor
0.52,5.723113912884707,GradientBoostingRegressor
1.428,5.723113912884707,GradientBoostingRegressor
1.579,5.723113912884707,GradientBoostingRegressor
1.756,5.723113912884707,GradientBoostingRegressor
10.0,7.128905798185875,GradientBoostingRegressor
0.218,5.723113912884707,GradientBoostingRegressor
0.193,5.723113912884707,GradientBoostingRegressor
0.823,5.723113912884707,GradientBoostingRegressor
3.896,5.776929916299895,GradientBoostingRegressor
10.0,7.128905798185875,GradientBoostingRegressor
