id,OF2,OF3,OF4,OF5,OF6,OF7,OF8,OF9,OF10,OF11,OF13,OF14,OF15,OF16,OF17,OF18,OF19,OF20,OF21,OF22,OF23,OF24,OF25,OF26,OF27,OF28,OF30,OF31,OF33,OF34,OF37,OF38,F1,F2,F3_a,F3_b,F3_c,F3_d,F3_e,F3_f,F3_g,F4,F5,F6,F7,F8,F9,F10,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F62,F63,F64,F65,F66b,F67,F68,S1,S2,S4,S5,WS,WS_Benefit,SFST,SFST_Benefit,SR,SR_Benefit,PR,PR_Benefit,NR,NR_Benefit
213.0,4.0,5.0,5.0,6.0,0.0,0.0,4.0,1.0,1.0,5.0,4.0,4.0,2.0,5.0,1.0,0.07,0.0,4.0,4.0,2.0,1.0,3.0,1.0,4.0,2272.0,1.0,0.0,1.0,1.0,0.22072336257611802,0.08774706619037564,4.0,3.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,2.0,2.0,80.0,1.0,3.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,1.0,2.0,4.0,5.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,1.0,3.0,3.0,5.0,0.03143769357180311,0.0,6.889320012681873,213.02602251919535,0.4245895473622012,0.8863202637206441,0.333333333,-0.09489741255516851,0.2526793052707928,0.04010582962962922,2.094,10.0,3.815,5.702,4.12,4.094,4.748,7.164,6.176,10.0
258.0,4.0,5.0,5.0,4.0,3.0,0.0,4.0,4.0,3.0,1.0,5.0,2.0,3.0,5.0,1.0,0.22,0.0,4.0,4.0,2.0,1.0,3.0,3.0,4.0,2272.0,2.0,0.0,0.0,0.0,0.20861972956630748,1.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,1.0,2.0,3.0,2.0,5.0,1.0,5.0,2.0,1.0,3.0,1.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,4.0,2.0,4.0,5.0,1.0,4.0,3.0,2.0,3.0,2.0,5.0,0.0,2.0,6.21651321277198,216.10688850724114,0.40415297286982044,0.7522836517310704,0.333333333,-0.14351396867483865,0.030546693877072817,0.20618742073540808,1.098,10.0,4.198,4.893,3.422,1.124,4.517,2.64,4.88,4.028
220.0,4.0,5.0,5.0,6.0,1.0,0.0,5.0,1.0,1.0,5.0,6.0,3.0,2.0,5.0,4.0,0.13,0.0,4.0,4.0,1.0,1.0,2.0,2.0,4.0,2314.0,2.0,0.0,1.0,1.0,1.0,0.08527180161127185,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,4.0,4.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0,2.0,3.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,5.0,1.0,4.0,2.0,0.0,5.0,2.0,3.0,0.029503277553879256,0.0,5.832421072737278,222.77090186984304,1.0,0.7858759203190621,0.5,0.027919267887848376,-0.15088075530851433,0.38701322727077525,1.395,1.575,4.537,6.614,3.431,4.462,6.606,7.808,5.678,10.0
468.0,1.0,5.0,6.0,2.0,3.0,1.0,4.0,2.0,1.0,3.0,4.0,6.0,6.0,2.0,2.0,0.0356,0.0,4.0,4.0,2.0,2.0,3.0,3.0,6.0,2180.0,0.0,0.0,0.0,0.4006601476894047,0.1670206371670917,0.056632850168108456,4.0,2.0,3.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,3.0,224.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,5.0,5.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,3.0,3.0,2.0,4.0,1.0,2.0,5.0,6.0,4.0,1.0,1.0,4.0,2.0,7.0,0.014230329995030863,1.0,5.09552283824585,181.8824502169175,0.1872329018930762,1.0266560952132306,0.666666667,0.1378510898747315,0.09814166025017385,0.07462127414184117,3.726,4.071,3.924,2.268,3.066,1.062,7.084,1.939,4.226,10.0
501.0,2.0,4.0,4.0,6.0,2.0,1.0,4.0,1.0,3.0,5.0,6.0,4.0,6.0,2.0,2.0,0.08,0.0,4.0,4.0,1.0,3.0,1.0,2.0,4.0,2062.0,2.0,0.0,0.0,0.5687496492517387,0.6476891317519995,0.03077655556701439,4.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,1.0,80.0,3.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,5.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,3.0,3.0,2.0,4.0,1.0,2.0,5.0,1.0,4.0,1.0,1.0,5.0,2.0,7.0,-0.005801356537165812,0.0,6.685219317841771,175.3278659027151,0.14400292776976217,0.9772244157569953,0.333333333,-0.12257657490681442,0.10253946677983905,-0.024657510167025554,3.019,6.66,4.648,6.771,4.145,5.14,4.586,8.217,4.514,7.5
275.0,1.0,5.0,5.0,3.0,2.0,0.0,3.0,4.0,3.0,5.0,6.0,6.0,6.0,2.0,2.0,0.49,0.0,4.0,4.0,2.0,1.0,3.0,1.0,4.0,1846.0,2.0,0.0,0.0,0.4318229107456062,0.40917307474956477,0.02849689085154833,3.0,4.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,5.0,2.0,104.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,5.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,2.0,3.0,1.0,5.0,0.0,0.0,3.0,6.0,4.0,1.0,1.0,6.0,1.0,7.0,0.0,1.0,5.936524942497881,157.48540397930861,0.2256486952415975,0.6475752804355362,0.0,0.10063460457265867,0.11196782131904176,0.0372792024289173,2.648,1.85,5.49,6.072,4.492,3.894,5.072,5.981,5.283,4.167
349.0,3.0,3.0,4.0,7.0,1.0,3.0,3.0,4.0,3.0,6.0,7.0,3.0,5.0,2.0,4.0,0.3008,0.0,4.0,4.0,3.0,1.0,2.0,1.0,4.0,1936.0,2.0,0.0,0.0,0.41983067955299513,0.4828908277526476,0.0,3.0,4.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,5.0,1.0,192.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,1.0,2.0,2.0,3.0,4.0,1.0,5.0,4.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,2.0,5.0,1.0,4.0,1.0,1.0,6.0,1.0,7.0,0.00637425754972161,1.0,6.83,159.66392231975718,0.19282118550802788,0.8269874942574466,0.5,0.032137970695376716,0.051775703937368356,-0.05882084007596544,3.121,2.602,5.597,7.392,5.159,4.458,6.746,7.047,5.585,5.972
355.0,1.0,4.0,5.0,6.0,3.0,3.0,4.0,5.0,3.0,6.0,7.0,4.0,6.0,2.0,2.0,0.51,0.0,4.0,4.0,2.0,1.0,2.0,2.0,4.0,1657.0,2.0,0.0,0.0,0.640393722806653,0.7669342625480375,-0.003869220267736284,3.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,3.0,0.0,64.0,3.0,3.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,3.0,4.0,5.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,3.0,3.0,1.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,1.0,6.0,1.0,7.0,-0.012736353297545883,1.0,6.121774507017408,133.75571118017967,0.10554245633617718,0.6607727150627699,0.0,-0.02740511379595581,0.08315093711263083,-0.10765709651064759,2.417,3.15,6.037,6.317,3.75,4.122,6.093,6.381,4.404,5.417
169.0,3.0,5.0,7.0,1.0,0.0,0.0,4.0,4.0,3.0,5.0,7.0,6.0,6.0,5.0,4.0,0.43,0.0,4.0,4.0,2.0,1.0,3.0,3.0,4.0,1342.0,0.0,0.0,0.0,0.305762529586724,0.008587047334933873,0.0,4.0,3.0,0.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,63.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0,3.0,4.0,2.0,3.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,2.0,3.0,2.0,5.0,0.0,0.0,5.0,1.0,4.0,1.0,1.0,6.0,1.0,7.0,0.0,0.0,7.35,380.0,0.0,0.0,0.0,0.0,0.0,0.0,3.323,1.075,7.028,3.235,3.995,3.922,4.94,6.031,5.031,4.167
102.0,4.0,5.0,7.0,1.0,0.0,0.0,5.0,4.0,3.0,1.0,5.0,2.0,4.0,5.0,4.0,0.52,0.0,4.0,4.0,2.0,1.0,3.0,3.0,4.0,1985.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,63.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,5.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,5.0,1.0,4.0,1.0,1.0,6.0,1.0,7.0,0.0,1.0,6.56,81.0,0.0,0.0,0.0,-0.17491349227120437,-0.07986600938032115,0.05363420127126317,4.865,2.04,2.934,2.597,3.788,3.985,4.394,6.236,5.282,4.444
